,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,GD000001,STORE_GD00001,광고팔복도가니탕 강동점,bomolu,설렁탕 국물이 진국이고 내용물도 괜찮네요 근데 설렁탕보다 김치가 정말로 지리네요 요근래 먹어본 김치중에 최고 입니다 깍두기는 보통입니다 김치먹으러 또 갑니다 오지고 지리고 렛잇고 아참 그리고 가게가 오래됐는데 정말 깔끔하고 청결합니다 굿 ,5,2021.05.20.
1,GD000002,STORE_GD00001,광고팔복도가니탕 강동점,m24erp,"내용물 양 겁나 적어욤 소금 때려 박아도 걍 싱겁구요 프림이나 기타 첨가물 안 넣는다고 엄청 도배되어 있는데 차라리 그냥 넣는게 어땠을까 하는 느낌,,",1,2021.04.09.
2,GD000003,STORE_GD00001,광고팔복도가니탕 강동점,12tggre,여러번 방문 했었는데 전보다 도가니 양이 마니 줄었어요. 김치  깍두기 넘 익어서 먹기 힘들었어요. ,3,2020.10.04.
3,GD000004,STORE_GD00001,광고팔복도가니탕 강동점,11ibmic,보통인 이유~~  도가니가 생가보다 양이 적었고 김치 깍두기가 너무 익어서 시었습니다 갓무친 겉절이가 맛있을텐데 너무 아쉬웠습니다,3,2020.09.03.
4,GD000005,STORE_GD00001,광고팔복도가니탕 강동점,ep0v0t,"가게가 노후된듯 하나 직원분들이 청소관리를 잘 하신듯..  주차장 넓지만, 점심때는 사람몰리고 주차난 생김.  국물은 식당국물치고 진한편으로 느껴짐.  메뉴에 수육메뉴가 없는걸로 봐서는 국물낼때 고기는 안쓰는듯..",4,2020.07.29.
5,GD000006,STORE_GD00001,광고팔복도가니탕 강동점,n8nmqj,NaN,5,2020.03.25.
6,GD000007,STORE_GD00001,광고팔복도가니탕 강동점,130iaai,"원래 도가니탕을 안먹었는데  몸에 좋다하여 팔복도가니탕 집 에서 먹는것에 도전하여 성공,, 초보자도 먹을수있게 냄새도없고  고소한맛이 느껴져 계속생각나는도가니탕  넘!!!맛있읍니다",5,2020.01.03.
7,GD000008,STORE_GD00001,광고팔복도가니탕 강동점,edkif2,NaN,3,2019.11.03.
8,GD000009,STORE_GD00001,광고팔복도가니탕 강동점,101inpj,NaN,4,2019.08.19.
9,GD000010,STORE_GD00001,광고팔복도가니탕 강동점,bekaiu,가격에 비해 허접하다. 국물은 좋다,2,2019.04.29.
10,GD000011,STORE_GD00001,광고팔복도가니탕 강동점,vnc0n8,다른 곳에서 먹을 수 없는 국물 맛! 아주 맛있어요~,5,2019.04.15.
11,GD000012,STORE_GD00001,광고팔복도가니탕 강동점,8v1rmf,진한국물!! 어릴때 먹던 그 맛을 찾았음!!,5,2018.10.04.
12,GD000013,STORE_GD00001,광고팔복도가니탕 강동점,10loopk,쏘쏘!,3,2018.08.25.
13,GD000014,STORE_GD00001,광고팔복도가니탕 강동점,ll6qjs,카페 타이밍이 너무 맞지 않아서 밥이나 먹자는 맘으로 방문한 이곳! 이집 도가니탕 제대로구만!!!! 양도 많고 맛도 진국 도가니도 실하고 매우 만족한다 히히^^,4,2018.05.23.
14,GD000015,STORE_GD00001,광고팔복도가니탕 강동점,109on08,국물이 진해요,3,2018.02.13.
15,GD000016,STORE_GD00001,광고팔복도가니탕 강동점,10im0pr,주차하기 좋아서 가끔 후다닥 한그릇,3,2017.07.10.
16,GD000017,STORE_GD00001,광고팔복도가니탕 강동점,NaN,NaN,3,2017.04.03.
17,GD000018,STORE_GD00001,광고팔복도가니탕 강동점,NaN,먹는다,3,2016.12.08.
18,GD000019,STORE_GD00001,광고팔복도가니탕 강동점,NaN,국물진하고 맛도 괜찮으나 김치와 반찬이 맛없어염~~~,3,2016.09.08.
19,GD000020,STORE_GD00001,광고팔복도가니탕 강동점,NaN,NaN,4,2016.08.14.
20,GD000021,STORE_GD00001,광고팔복도가니탕 강동점,NaN,블루리본 서베이 3년연속 선정. 100% 무릎도가니 사용. 국물 진함.,NaN,2015.12.30.
21,GD000022,STORE_GD00001,광고팔복도가니탕 강동점,NaN,도가니탕 @,NaN,2015.08.19.
22,GD000023,STORE_GD00001,광고팔복도가니탕 강동점,NaN,설농탕  진국인곳   맛집 찾아가는 사람들은 다아는곳  15년 현재 설농탕이 없어졌어요 모든 설농탕이라  거기에 도가니 우족등이 들어가서 설농탕 맛이 않나요,NaN,2015.07.25.
23,GD000024,STORE_GD00001,광고팔복도가니탕 강동점,NaN,아산병원 치료 받고~점심식사 통도가니탕 먹고  제천으로~2014년12월16일~~ 전국택배가능~1577-0688 농협;1577-0688-19 예금주;팔복농산,NaN,2014.12.18.
24,GD000025,STORE_GD00001,광고팔복도가니탕 강동점,NaN,진국 도가니탕을 판매하는 곳 큼직한 도가니가 쫄깃하니 맛난다  내 평가 : +++,NaN,2014.07.30.
25,GD000026,STORE_GD00001,광고팔복도가니탕 강동점,NaN,주차장넓고  도가니탕이 걸죽함,NaN,2013.10.08.
26,GD000027,STORE_GD00001,광고팔복도가니탕 강동점,NaN,간신히 서울 도착 저녁 식사 장소,NaN,2013.09.01.
27,GD000028,STORE_GD00001,광고팔복도가니탕 강동점,NaN,도가니 맛있는 집,NaN,2013.05.01.
28,GD000029,STORE_GD00001,광고팔복도가니탕 강동점,NaN,오너일가가 자한당빠들,1,2018.06.02.
29,GD000030,STORE_GD00001,광고팔복도가니탕 강동점,NaN,국물이 너무 하얀것 아닌지 ? 장시간 우려내면 안된다고 하던데 ??,3,2018.03.27.
30,GD000031,STORE_GD00001,광고팔복도가니탕 강동점,NaN,여기군요 100%도가니라고 써 있는데 힘줄이랑 섞어서 쓰던가게가...먹거리 X파일에 나오더라구요,1,2016.05.09.
31,GD000032,STORE_GD00001,광고팔복도가니탕 강동점,NaN,추운날씨에 딱이네요 ㅎㅎㅎ,5,2016.02.22.
32,GD000033,STORE_GD00001,광고팔복도가니탕 강동점,NaN,인정하는 맛집중 하나,5,2016.02.17.
33,GD000034,STORE_GD00001,광고팔복도가니탕 강동점,NaN,제가 평소 건강을 많이 생각하는데 첨가물을 사용하지않는다길래 찾아가봤어요 맛걱정도 했었는데 너무 맛도있고 기분좋게먹고가여,5,2016.02.15.
34,GD000035,STORE_GD00001,광고팔복도가니탕 강동점,NaN,우리 아이들도 잘먹을지 걱정됬었는데 왠일 제가다먹어버렸네요 그리고 우리아이들도 너무 맛있게 먹었구요 건강해지는 느낌이라서 더욱 좋네요,5,2016.02.11.
35,GD000036,STORE_GD00001,광고팔복도가니탕 강동점,NaN,뜨끈한국물이 먹고싶어서 찾아갔는데 너무 맛있었어요 국물이 아주 .. 그래서 매장주문가능하다길래 주문시켰어요 잘먹을게요 ㅎㅎㅎㅎㅎ,5,2016.02.11.
36,GD000037,STORE_GD00002,광고양진말웅골,1ga2nlh,NaN,5,2021.06.22.
37,GD000038,STORE_GD00002,광고양진말웅골,utktnv,웅골 샤브샤브는 진짜 가격대비 갑입니다.  점심특선 샤브샤브 가격대비 최고였고  고기류는 갈비살 먹어봤는데 가격도 착하고 맛도 소고기 생각하면 나는 딱 그 맛이라  부담없이 가서 먹을수 있는 고기집입니다.,5,2021.05.14.
38,GD000039,STORE_GD00002,광고양진말웅골,msrmb2,평범함,3,2021.03.31.
39,GD000040,STORE_GD00002,광고양진말웅골,atfpg1,평이 좋아 가봤는데 돈이 아까운 맛과 서비스. 올림픽공원 남문쪽 샤브집들도 별건 없지만 차라리 낫다. 지나치게 높은 평점은 광고 의심해보시길.,1,2021.03.28.
40,GD000041,STORE_GD00002,광고양진말웅골,ut14q4,젤 중요한 음식이 정갈하고 맛나요 친절하고 필요한거 확인하고 바로 해결해주세요  모임하기도 좋고 가족끼리 가도 좋아요 점심특선 샤브도 좋고 점심메뉴도 반찬도 다 맛나고 좋아요,5,2021.02.07.
41,GD000042,STORE_GD00002,광고양진말웅골,9269am,재료도 좋고 특히 고기 찍어먹는 간장소스? 맛있었어요. 맑은 샤브는 앞으로 여기서 먹어야겠네요. 직원분들도 다들 친절하세요. ,5,2020.04.25.
42,GD000043,STORE_GD00002,광고양진말웅골,bqev5t,"너무 맛있게 잘먹었습니다! 샤브샤브도, 밑반찬도, 후식으로 나오는 식혜도 너무맛있어요! 직원분들도 너무 친절하시네요",5,2020.01.26.
43,GD000044,STORE_GD00002,광고양진말웅골,12lilp8,샤브샤브 강추합니다. 재료신선하고 진짜 맛있어요.,5,2020.01.15.
44,GD000045,STORE_GD00002,광고양진말웅골,e7kvl9,맛있어요!,5,2019.12.28.
45,GD000046,STORE_GD00002,광고양진말웅골,10mdtgd,추운날씨에 따뜻한 국물 최고죵 샤브 국물 캬~,5,2019.12.22.
46,GD000047,STORE_GD00002,광고양진말웅골,11j4etu,맛있어요.   단골집으로 추천해도 좋아요!!! ,5,2019.11.12.
