,store_code,ItemID,address,local,category
0,STORE_GD00001,광고팔복도가니탕 강동점,경기 하남시 서하남로 24,(지번) 감북동 444-13,설렁탕
1,STORE_GD00002,광고양진말웅골,서울 강동구 강동대로53길 18 진스빌딩 2층,(지번) 성내동 442-16,샤브샤브
2,STORE_GD00003,스윗솔트,서울 강동구 상암로 286,(지번) 명일동 222-3,디저트카페
3,STORE_GD00004,백년화편,서울 강동구 양재대로81길 18,(지번) 성내동 441-8,"떡,한과"
4,STORE_GD00005,차이나린찐,서울 강동구 강동대로 217 인텍스파크뷰 1층,(지번) 성내동 448-24,중화요리
5,STORE_GD00006,스테이지28,서울 강동구 아리수로61길 105 1층,(지번) 고덕동 397-24,패밀리레스토랑
6,STORE_GD00007,갓잇 올림픽공원점,서울 강동구 성안로 14,(지번) 성내동 446-22,"멕시칸,브라질"
7,STORE_GD00008,긴자 올림픽공원점,서울 강동구 강동대로 223,(지번) 성내동 448-21,일식집
8,STORE_GD00009,브랜뉴하이몬드,"서울 강동구 천호옛14길 11 1,2층",(지번) 성내동 43-19,디저트카페
9,STORE_GD00010,로니로티 천호점,서울 강동구 천호대로 1027 2층,(지번) 천호동 454-15,이탈리안
10,STORE_GD00011,강동반상,서울 강동구 상일로6길 39 강동타워 지하1층,(지번) 상일동 502,한정식
11,STORE_GD00012,풍년상회쪽갈비,서울 강동구 천호옛14길 23-6,(지번) 성내동 12-39,갈비
12,STORE_GD00013,이한진숙성회,서울 강동구 구천면로 247-1 2층,(지번) 천호동 393-15,회
13,STORE_GD00014,더식당,서울 강동구 천호대로157길 24 2층,(지번) 천호동 453-23,양식
14,STORE_GD00015,온전히,서울 강동구 양재대로102가길 7,(지번) 둔촌동 446-9,"초밥,롤"
15,STORE_GD00016,인정원월남쌈 본점,서울 강동구 천호대로 1158 1층,(지번) 둔촌동 425-1,동남아음식
16,STORE_GD00017,커피몽타주,서울 강동구 올림픽로48길 23-12 1층,(지번) 성내동 555-5,커피전문점
17,STORE_GD00018,신흥정육식당,서울 강동구 양재대로89길 16,(지번) 성내동 428-2,"육류,고기"
18,STORE_GD00019,버섯잔치집,서울 강동구 성내로 52,(지번) 성내동 549-4,한식
19,STORE_GD00020,족발선생,서울 강동구 올림픽로70길 51-6,(지번) 천호동 415-27,"족발,보쌈"
20,STORE_GD00021,수라연,서울 강동구 강동대로 143-64 태창타워 2층,(지번) 성내동 451-2,한정식
