,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,GB000001,STORE_GB0001,대보명가 서울본점,npairc,믿고 먹는 약초쟁반 이번엔 자연산 송이가 빠져있네요 ㅠㅠ 이렇게 살살 가격은 못올리시고 질이 떨어지네요! 제발 그러지 않았으면 궁물향에서 버섯냄새가 않나요! 점점 샤브샤브가 되어가네욤 ㅋ,3,2021.08.09.
1,GB000002,STORE_GB0001,대보명가 서울본점,1i8jo20,"정말 최고의 밥입니다 ~~ 인스턴트를  좋아하는 분들은 입에 맛이 없다고 할 수도 있지만 ,우리 아이들은 보약향을 너무 좋아하고 반찬들도 흔하지 않아서 모든 반찬을 남기지 않고 먹습니다 ~ 보약 같은 약초쟁반을 먹고나면 속이 아주 편하고 내내 행복해집니다~~~ 연구를 거듭한 멋진 밥상을 맛보시길 추천합니다 ",5,2021.04.13.
2,GB000003,STORE_GB0001,대보명가 서울본점,fqa9v3,"들어가자 마자 한약제 냄새가 드리웁니다.   제대로 한 끼 먹었구나 라는 생각이 드는 곳입니다. 자극적이지 않고, 순수한 맛을 추구한 곳.  어르신들 모시고 가면 너무나 좋아하실 곳입니다.  너무 오랜만에 밥다운 밥을 먹었습니다.  특히 추가로 시킨 전의 맛은 지금도 아른거립니다.   이 곳의 음식들은 식감들이 아주 좋습니다. 전 또한 그렇습니다. ",5,2021.03.07.
3,GB000004,STORE_GB0001,대보명가 서울본점,qq66rm,마 튀김?을 먹는데 털이 튀김 옷 안쪽에 들어가있었어요. 놀라서 주변 종업원분께 말씀드렸더니 잘안보인다고 하셔서 그거 폰으로 사진찍으려 했더니 접시 달라 했는데 휙 뺏어가시더라구요 그리고 사과라도 할 줄 알았죠..하지만 그냥 다시 요리해다주시고 끝. 어이없고 화났지만 다음 일정 있어서 시간도 없어 다른 식당으로 자리도 못옮기고 식사하고 나왔어요 기분이 매우...,1,2021.03.06.
4,GB000005,STORE_GB0001,대보명가 서울본점,1bofagp,별 1개도 아까움. 인원대비 음식을 많이 시켜서 그 중 약초쟁반을 포장해달라고 함. 포장된 걸 보니 육수가 거의 없어서 더 달라고 했더니 아무 말도 안하고 눈으로 욕하면서 쳐다보기만 함. 육수가 충분해야 집에서 먹지 않겠냐고 했더니 그제서야 가져다줘서 내가 직접 포장용기에 육수 더 넣어 가져옴. 뭐 물어보면 짜증 섞인 말투에 불친절하고 먹는 내내 사람 불편...,1,2021.02.25.
5,GB000006,STORE_GB0001,대보명가 서울본점,1139q8m,정말 괜찮은 한정식집  양식 싫어하고 어딜가나 이정도면 집에서 해먹으면 더 낫고 어쩌고 하는 우리엄마 입맛도 만족시킨 집  어른들이랑 가기도 좋고.. 한식 좋아하는 친구들 소개시켜줘도 백이면 백 다 만족함 기회가 된다면 제천점도 가고싶당 다 먹고 주변 산책하기도 매우 좋음 ,5,2021.02.16.
6,GB000007,STORE_GB0001,대보명가 서울본점,n0i5ig,"혼자가도, 둘이가도 실망하지않는 곳~약초정식만 먹어봤는데 항상 맛있었어요.",5,2020.12.04.
7,GB000008,STORE_GB0001,대보명가 서울본점,174i00e,"음식 재료의 독창성, 신선함",5,2020.11.28.
8,GB000009,STORE_GB0001,대보명가 서울본점,1bdoq10,건강한 음식,4,2020.08.24.
9,GB000010,STORE_GB0001,대보명가 서울본점,kikimr,한약 냄새가 좋아서 가끔 방문해요. 돌솥밥도 맛있고~,5,2020.08.01.
10,GB000011,STORE_GB0001,대보명가 서울본점,1139h8q,너무 심한 한약같은 향이 나서 별루였어요..,1,2020.07.17.
11,GB000012,STORE_GB0001,대보명가 서울본점,1878mi1,손님을 뭘로보는지? 참나 앉아있는데 굳이 그 건너편에 테이블 셋팅해주고 대놓고 무시하네 ㅋㅋ 기분이 확 상함 ㅋㅋ,1,2020.05.11.
