,place_code,ItemID,address,local,category
0,STORE_GB0001,대보명가 서울본점,서울 강북구 4.19로 69,(지번) 수유동 563-14,한식
1,STORE_GB0002,다래함박스텍,서울 강북구 수유로 20-2,(지번) 수유동 56-45,"돈까스,우동"
2,STORE_GB0003,진호횟집,서울 강북구 도봉로98길 33,(지번) 번동 470-1,회
3,STORE_GB0004,엘림들깨수제비칼국수,서울 강북구 삼각산로 67,(지번) 수유동 521-20,국수
4,STORE_GB0005,장수마늘보쌈,서울 강북구 덕릉로 192,(지번) 번동 430-42,"족발,보쌈"
5,STORE_GB0006,카페어니언 미아점,서울 강북구 솔매로50길 55 1층,(지번) 미아동 127-9,카페
6,STORE_GB0007,대가집,서울 강북구 한천로 1158,(지번) 수유동 273-65,감자탕
7,STORE_GB0008,제일분식,서울 강북구 도봉로 45 숭인시장,(지번) 미아동 465-6,분식
8,STORE_GB0009,경계선,서울 강북구 삼각산로 22-7,(지번) 수유동 516-62,커피전문점
9,STORE_GB0010,미즐카페엠,서울 강북구 4.19로 107,(지번) 수유동 535-11,카페
10,STORE_GB0011,샘터마루,서울 강북구 4.19로12길 35,(지번) 수유동 596-4,한식
11,STORE_GB0012,흥부전놀부전,서울 강북구 노해로 42-1,(지번) 수유동 221-55,"호프,요리주점"
12,STORE_GB0013,스시노칸도 수유점,서울 강북구 한천로139나길 1 3층,(지번) 수유동 192-3,"초밥,롤"
13,STORE_GB0014,산성골,서울 강북구 덕릉로 126,(지번) 번동 441-28,"육류,고기"
14,STORE_GB0015,대광어회집,서울 강북구 노해로 31,(지번) 수유동 10-40,회
15,STORE_GB0016,황주집,서울 강북구 도봉로 372,(지번) 번동 463-45,"곱창,막창"
16,STORE_GB0017,깃든,서울 강북구 월계로7나길 46-5,(지번) 미아동 54-188,"육류,고기"
17,STORE_GB0018,카페멘디,서울 강북구 4.19로8길 7-2,(지번) 수유동 582-12,카페
18,STORE_GB0019,무너미,서울 강북구 노해로8가길 40 1층,(지번) 수유동 222-78,카페
19,STORE_GB0020,문가네정육식당,서울 강북구 덕릉로 95,(지번) 번동 448-13,"육류,고기"
20,STORE_GB0021,늘봄아갑찜 미아본점,서울 강북구 도봉로 45 1층,(지번) 미아동 61-80,아구
21,STORE_GB0022,이설함흥냉면,서울 강북구 4.19로 42,(지번) 수유동 568-14,냉면
22,STORE_GB0023,보배반점 미아직영점,서울 강북구 솔샘로 293 1층,(지번) 미아동 707-2,중화요리
23,STORE_GB0024,불판집,서울 강북구 노해로8길 29,(지번) 수유동 224-15,"육류,고기"
24,STORE_GB0025,카페산아래,서울 강북구 삼양로181길 56,(지번) 우이동 217-1,카페
25,STORE_GB0026,신매콤터,서울 강북구 오패산로 412,(지번) 번동 415-7,분식
26,STORE_GB0027,착한낙지 수유점,서울 강북구 4.19로 82,(지번) 수유동 535-362,"해물,생선"
27,STORE_GB0028,동네함박,서울 강북구 도봉로15길 11 2층,(지번) 미아동 460-116,양식
28,STORE_GB0029,원조할매곱창 미아점,서울 강북구 월계로3길 68,(지번) 미아동 55-46,"곱창,막창"
29,STORE_GB0030,소담촌 수유점,서울 강북구 도봉로 388 테마빌딩 8층,(지번) 번동 464-43,샤브샤브
30,STORE_GB0031,수유손칼국수,서울 강북구 도봉로101길 45,(지번) 수유동 167-3,국수
31,STORE_GB0032,곰보냉면,서울 강북구 노해로33길 64,(지번) 수유동 711-15,냉면
32,STORE_GB0033,여러분평양냉면,서울 강북구 한천로 1074 1층,(지번) 수유동 182-42,냉면
33,STORE_GB0034,화로상회 수유점,서울 강북구 한천로140길 22,(지번) 수유동 174-40,고기뷔페
34,STORE_GB0035,라공방 수유점,서울 강북구 한천로139길 42 영남빌딩 1층,(지번) 수유동 192-61,중화요리
35,STORE_GB0036,옥류헌,서울 강북구 삼양로181길 142,(지번) 우이동 236,한정식
36,STORE_GB0037,소담촌 미아사거리점,서울 강북구 월계로 3 덕신빌딩 5층,(지번) 미아동 42-11,샤브샤브
37,STORE_GB0038,백곱식당 수유점,서울 강북구 도봉로87길 47,(지번) 수유동 223-2,"곱창,막창"
38,STORE_GB0039,벼랑순대국 본점,서울 강북구 한천로 924,(지번) 번동 428-90,순대
39,STORE_GB0040,춘천골닭갈비,서울 강북구 한천로 1050,(지번) 수유동 177-18,닭요리
40,STORE_GB0041,할머니해장국,서울 강북구 월계로37길 137-6,(지번) 번동 269-7,해장국
41,STORE_GB0042,만두향,서울 강북구 한천로123길 61 1층,(지번) 번동 411-53,분식
42,STORE_GB0043,삼덕식당 미아사거리점,서울 강북구 월계로7나길 29 1층,(지번) 미아동 54-211,삼겹살
43,STORE_GB0044,조개일번지,서울 강북구 도봉로8길 37,(지번) 송중동 860-29,조개
44,STORE_GB0045,노르웨이안우드,서울 강북구 인수봉로 314 지하 1층,(지번) 수유동 569-59,카페
45,STORE_GB0046,풍천장어마을,서울 강북구 삼양로181길 45,(지번) 우이동 216-14,장어
46,STORE_GB0047,조연탄 수유점,서울 강북구 한천로140길 20,(지번) 수유동 174-37,"육류,고기"
47,STORE_GB0048,잼파파,서울 강북구 한천로 1040,(지번) 수유동 177-48,"제과,베이커리"
48,STORE_GB0049,한상차림밥상 보문동직영점,서울 강북구 삼각산로 103,(지번) 수유동 605-345,한식
49,STORE_GB0050,크을농,서울 강북구 4.19로 91 1층,(지번) 수유동 535-17,한식
50,STORE_GB0051,송현초밥,서울 강북구 월계로7길 34,(지번) 미아동 50-1,"초밥,롤"
51,STORE_GB0052,리얼파스타 수유점,서울 강북구 도봉로87길 26-12,(지번) 수유동 192-19,양식
52,STORE_GB0053,홍익짬뽕 수유직영점,서울 강북구 노해로 33,(지번) 수유동 10-26,중화요리
53,STORE_GB0054,호조참치,서울 강북구 한천로 1062,(지번) 수유동 178-19,참치회
54,STORE_GB0055,낙지일번지,서울 강북구 도봉로89길 10 1층,(지번) 수유동 191-38,"해물,생선"
55,STORE_GB0056,세인트블랙,서울 강북구 4.19로 109,(지번) 수유동 535-144,양식
56,STORE_GB0057,우이산장 키토산오리집,서울 강북구 삼양로181길 141-5,(지번) 우이동 234-1,오리
57,STORE_GB0058,춘천막국수,서울 강북구 삼양로141길 4-4,(지번) 우이동 71-15,국수
58,STORE_GB0059,청화가든,서울 강북구 4.19로12길 75,(지번) 수유동 598,곰탕
59,STORE_GB0060,쿠우쿠우 강북구청점,서울 강북구 도봉로 308 북한산스카이빌딩 9층,(지번) 번동 449-1,해산물뷔페
60,STORE_GB0061,상미식당,서울 강북구 수유로 82,(지번) 수유동 7-17,일식
61,STORE_GB0062,제이제곱,서울 강북구 도봉로10나길 17 1층,(지번) 미아동 54-46,카페
62,STORE_GB0063,수유리우동집 본점,서울 강북구 덕릉로 98,(지번) 미아동 159-53,"돈까스,우동"
63,STORE_GB0064,짚신매운갈비찜 미아본점,서울 강북구 월계로7나길 30-9,(지번) 미아동 54-258,갈비
64,STORE_GB0065,스시광,서울 강북구 도봉로 182 1층,(지번) 미아동 125-31,"초밥,롤"
65,STORE_GB0066,천회초밥,서울 강북구 노해로 69 1층,(지번) 수유동 39-7,"초밥,롤"
66,STORE_GB0067,상미규카츠 수유본점,서울 강북구 도봉로87길 32 1층,(지번) 수유동 192-35,"돈까스,우동"
67,STORE_GB0068,100년서서갈비 수유본점,서울 강북구 덕릉로 108 1층,(지번) 미아동 158-10,갈비
68,STORE_GB0069,애슐리퀸즈 미아사거리역점,서울 강북구 도봉로 52 와이스퀘어 5층,(지번) 미아동 1364,패밀리레스토랑
69,STORE_GB0070,에이머그,서울 강북구 노해로 21 1층,(지번) 수유동 2-2,카페
70,STORE_GB0071,수유리조트,서울 강북구 노해로8가길 45,(지번) 수유동 221-18,카페
71,STORE_GB0072,역전할머니맥주 수유리점,서울 강북구 한천로140길 18 1층,(지번) 수유동 174-35,"호프,요리주점"
72,STORE_GB0073,양다리걸쳤네,서울 강북구 노해로8길 16 우암센스뷰 102호,(지번) 수유동 229-50,양꼬치
73,STORE_GB0074,대마족발 미아점,서울 강북구 솔매로46길 6,(지번) 미아동 303-6,"족발,보쌈"
74,STORE_GB0075,큰두레참숯 국내산무한리필,서울 강북구 도봉로 284 1층,(지번) 미아동 160-9,"육류,고기"
75,STORE_GB0076,엄마손기사님식당 수유본점,서울 강북구 한천로 1138,(지번) 수유동 267-1,기사식당
76,STORE_GB0077,수유골목냉면,서울 강북구 솔매로45길 92,(지번) 미아동 202-5,냉면
77,STORE_GB0078,왕가,서울 강북구 삼양로 681,(지번) 우이동 4-8,"육류,고기"
78,STORE_GB0079,송연95닭갈비,서울 강북구 도봉로8길 62,(지번) 미아동 860-21,닭요리
79,STORE_GB0080,메이린,서울 강북구 월계로 173,(지번) 번동 90,중화요리
80,STORE_GB0081,능이마을,서울 강북구 솔샘로 330,(지번) 미아동 65-5,오리
81,STORE_GB0082,분코,서울 강북구 도봉로87길 34-4,(지번) 수유동 192-38,일본식주점
82,STORE_GB0083,카페시집,서울 강북구 솔샘로 301 지하 1층,(지번) 미아동 329-70,카페
83,STORE_GB0084,릴렉스,서울 강북구 삼양로181길 142,(지번) 우이동 236,카페
84,STORE_GB0085,맥도날드 서울번동DT점,서울 강북구 월계로 191,(지번) 번동 106,패스트푸드
85,STORE_GB0086,청산가든,서울 강북구 삼양로181길 56,(지번) 우이동 217-1,닭요리
86,STORE_GB0087,파조쿠치나,서울 강북구 인수봉로 239 1층 파조쿠치나,(지번) 수유동 521-50,양식
87,STORE_GB0088,대하정,서울 강북구 삼양로181길 283,(지번) 우이동 산 71-1,닭요리
88,STORE_GB0089,맹박골갈비예찬 미아점,서울 강북구 도봉로 156,(지번) 미아동 126-7,갈비
89,STORE_GB0090,호치민쌀국수,서울 강북구 덕릉로30길 3 1층,(지번) 미아동 158-43,베트남음식
90,STORE_GB0091,은행골 수유점,서울 강북구 한천로139길 10 1층,(지번) 수유동 190-49,"초밥,롤"
91,STORE_GB0092,맥도날드 수유점,서울 강북구 도봉로 342,(지번) 번동 418-18,패스트푸드
92,STORE_GB0093,전주선지순대추어탕,서울 강북구 오현로31길 173,(지번) 번동 433-54,순대
93,STORE_GB0094,투썸플레이스 미아사거리역점,서울 강북구 도봉로10길 6 1층,(지번) 미아동 860-187,커피전문점
