,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,GA000001,STORE_GA00001,광고옥돌집,11plh1b,"최악. 위생, 서비스, 음식 총체적 난국 생선은 재활용했는지 누린내나고 기름 범벅. 음식은 죄다 짜거나 달기만 할뿐. 음식을 떠나서 직원들 태도가 제일 별론데, 일행이 화장실 물어봤더니 '알아서 찾아봐요'라고 말하곤 둘이서 뒷담화를 함. 듣는데 불쾌함을 넘어 무례를 느낌. 그리고 무엇보다 주인 아주머니가 재료손질 할 때 마스크도 안끼고 손질함. 주인의식도 ...",1,2021.06.05.
1,GA000002,STORE_GA00001,광고옥돌집,rnkn0a,태어나서 먹은 갈비탕 중 제일 냄새났어요,1,2021.03.13.
2,GA000003,STORE_GA00001,광고옥돌집,11nds46,NaN,1,2020.05.13.
3,GA000004,STORE_GA00001,광고옥돌집,upn58s,갈비진짜... 맛있네요!! 두툼한게 딱 내 스타일이였음요!!,5,2019.11.14.
4,GA000005,STORE_GA00001,광고옥돌집,tpjec2,"밑반찬들 정말 맛있고, 돌솥밥도 최고였어요 ㅎㅎ 고기질도 좋고 만족스러웠어요",5,2019.11.12.
5,GA000006,STORE_GA00001,광고옥돌집,uqlpiv,너무너무 맛있고 최고에요!! 진짜 다음에 가족들기리 또와서 들려야겠어요 정말 최고 굿굿,5,2019.11.12.
6,GA000007,STORE_GA00001,광고옥돌집,fo5i71,숯불갈비 맛집입니다 반찬도 깔끔하니 맛나네요 양넴소갈비 강츄 합니다^^,5,2019.10.19.
7,GA000008,STORE_GA00001,광고옥돌집,NaN,고기도 마싯지만 밑반찬이 참으로맛있음 특히 양념게장,NaN,2013.08.07.
8,GA000009,STORE_GA00001,광고옥돌집,NaN,점심에 백반 먹었는데 맛도 가격도 주변 음식점보다 좋았네요.  갈비도 유명하다는데 다음엔 갈비도 먹어볼께요~,5,2018.11.22.
9,GA000010,STORE_GA00001,광고옥돌집,NaN,밑반찬만으로 밥한공기 다 먹고 두공기 싹 비우고 나왔네요 ㅋㅋ ,5,2018.11.22.
10,GA000011,STORE_GA00001,광고옥돌집,NaN,지난주에 친구따라서 갈비먹으러 갔는데. 와~ 반찬이 맛있음.  보통 고기많이먹는데 반찬도 여기는 많이 먹었던것 같음.  처음가본 곳이지만 누구와도 가도 괜찮은곳은 인정!,5,2017.11.27.
11,GA000012,STORE_GA00001,광고옥돌집,NaN,간장게장이랑 냉면을 먹었는데 이냉치냉인지 정말 맛있었습니다 .가족끼리 갔는데 다같이 맛있게 먹고 사장님도 친절하게 해주셔서 정말 최고였어요!!,5,2017.11.27.
12,GA000013,STORE_GA00001,광고옥돌집,NaN,가끔 가는 식당이지만 10년 더 되었네요. 고기맛이나 반찬도상당히 만족합니다. 너무 번잡스러운 분위기가 아닌점도 좋고~ 굿~,4,2016.02.19.
13,GA000014,STORE_GA00001,광고옥돌집,NaN,역시 맛있네요!! 10년 단골인데 돌솥밥과 갈비찜은 역시 최고인거같아요 ㅋㅋ,5,2015.12.23.
14,GA000015,STORE_GA00002,쟝블랑제리,upmfe9,케이크가 맛있고 크고 가성비 최강.. 에그타르트도 맛남! 기대했던 생크림단팥빵과 슈크림단팥빵은 무난.. 정말 크긴 했음,4,2021.08.14.
15,GA000016,STORE_GA00002,쟝블랑제리,qofaas,가격이 계속오른다. 단팥빵 1200원이 2200원까지올랐다. 너무 비싸졌다 ㅠ,1,2021.08.14.
16,GA000017,STORE_GA00002,쟝블랑제리,1i63lhl,인터넷평이 하도 좋아서  방문함..맘모스빵과 단팥빵구매. 맘모스빵은 소문대로 크고 무거움..맛은 이런빵도 있다정도..단팥빵도 20~30% 타빵집보다  크고 가격도 30%정도 비쌈 ..표면 가운데 깨 팥소안에 작은 호두알갱이  많진않음. 단팥빵은 중중상 정도? 즉 멀리서 일부러 갈만한 맛은 아님..기존에 내가 즐겨먹는곳A와B가 더 맛있고 재료도 충실함...유...,2,2021.08.13.
17,GA000018,STORE_GA00002,쟝블랑제리,10ut9kg,#NAME?,5,2021.08.12.
18,GA000019,STORE_GA00002,쟝블랑제리,l2o4ld,직원분이 잘 안들리시는 할아버지께 답답하다는 듯이 소리 지르심,1,2021.08.10.
19,GA000020,STORE_GA00002,쟝블랑제리,fm3rak,"가격이 자꾸 오른다. 단팥빵, 맘모스빵 외에는 별로 그 외 빵들은 양은 많은데 푸석하다",4,2021.08.10.
20,GA000021,STORE_GA00002,쟝블랑제리,tjd86o,막 찾아가서 사먹을 정도는 아님 걍 가성비정돈데 가격도 싸지도 않음,2,2021.08.09.
21,GA000022,STORE_GA00002,쟝블랑제리,1872lev,맛있어요 ,5,2021.08.06.
22,GA000023,STORE_GA00002,쟝블랑제리,u0usvp,소문대로 맛있네요 ,5,2021.08.02.
23,GA000024,STORE_GA00002,쟝블랑제리,8uto8m,NaN,3,2021.08.01.
24,GA000025,STORE_GA00002,쟝블랑제리,o7008a,NaN,5,2021.07.31.
25,GA000026,STORE_GA00002,쟝블랑제리,NaN,맛있어용 빵이 전체젓으로 다 빅사이즈!,5,2021.07.25.
26,GA000027,STORE_GA00002,쟝블랑제리,1a1vhpd,숨은 까눌레 맛집 딴것도 맛있는데 이제 너무 유명해져버린.. 옛날 감성 그립네여,4,2021.07.23.
27,GA000028,STORE_GA00002,쟝블랑제리,f7fjhs,진짜 최고 맛있어용..  ,5,2021.07.22.
28,GA000029,STORE_GA00002,쟝블랑제리,keibpt,가격이 5년전에 단팥빵 1200원 지금 2200원 사는사람있으니까 팔겠지만 조만간 단팥빵 5000원에 파시겠네요 그쵸^^,1,2021.07.16.
29,GA000030,STORE_GA00002,쟝블랑제리,18d1s86,"가격이 오르기도 했지만, 가장 아쉬운 점은 쟝블랑제리의 매력은 사실 엄청 맛있는 맛이라기 보다는 '아낌없이 들어간 재료에 비해 저렴한 가격' 즉 가성비였음.  근데 이제 가격도 오르고 하다 보니  다른 빵집과 뭐가 다른 건지 모르겠고 점점 쟝블랑제리의 매력을 잃어감ㅜ  동네 주민인데 가격이 거의 분기별로 오르는 듯",2,2021.07.15.
30,GA000031,STORE_GA00002,쟝블랑제리,1lp6h9l,가격도 오르고 예전만큼 맛있지도 않네요,1,2021.07.13.
31,GA000032,STORE_GA00002,쟝블랑제리,u3v5fd,단팥빵이 예전같지 않아서 아쉬워요 다른 빵들은 맛있어요,3,2021.07.08.
32,GA000033,STORE_GA00002,쟝블랑제리,fmgjj5,NaN,5,2021.07.05.
33,GA000034,STORE_GA00002,쟝블랑제리,fai5ua,여기 크림단팥빵 진짜 ♬♪♩♩ 개존맛입니다 ... 맨날 생각나서 미치겠어요 맘모스도 맛있어요 ㅠㅠㅠ 걍 기다리지 말고 주니어 사세요 맛 똑같음 .. 빵 종류 엄청 많긴 한데 다른 데서도 먹을 수 있는 빵 사지 마시고 무조건 크림단팥빵 쓸어담으세요 제발,5,2021.06.23.
34,GA000035,STORE_GA00002,쟝블랑제리,11ej1l5,빵 종류가 정말 많아요. 가게에 들어가면 직원분들이 1:1로 밀착 감시 하세요. 그동안 여기 빵을 훔치는 사람들이 많았어서 그렇게 하시는 것 같아요.  빵 맛: 기대가 너무 컸나봐요. 맛은 보통 빵집 정도예요.  밑에 댓글 공감합니다. 코 시국에 빵은 포장 된 상태로 판매하셨으면 좋겠네요.^^,3,2021.06.22.
35,GA000036,STORE_GA00002,쟝블랑제리,sq0b1r,생크림  단팥빵  큼직하니  풍성하고 달지않은 크림 과  어우려진 단팥이  너무 맛있구요   슈크림 단팥빵도   듬뿍 담은 노란 슈크림이  제 취향였어요      초코범벅은  달긴 하지만  차갑게 먹으니 초코렛과  꾸덕한 초코빵 이  아메리카노와 와 찰떡이고   양파 바게트빵은 평범했어요  가격대비  묵직한  빵들의  맛과 퀄리티 는 만족 였는데 별 두개 ...,3,2021.06.21.
36,GA000037,STORE_GA00002,쟝블랑제리,1kst2df,"맘모스빵 기대하며, 다른 여러 종류의 빵들과 함께 주말에 사왔습니다. 그런데 빵의 크림 부분에서 여러 겹으로 꼰 흰색 실 (길이 약 7cm, 두께 약 2mm) 이 나왔습니다. 어머니께서 드시다가 뱉어내셨으니 다행이지, 혹시라도 삼키셨으면 어땠을지 상상만 해도 끔찍하네요. 맛있다는 소문듣고 기대하고 멀리에서 일부러 찾아가 사왔는데, 실망이 무척 큽니다. 결국...",1,2021.06.20.
37,GA000038,STORE_GA00002,쟝블랑제리,174i03p,맘모스빵은 잘 모르겠고 단팥생크림빵 개맛있어요 진짜 개개개맛있어요 남친이 먹어보고 와 이거뭐야? 이러면서 감탄했어요,5,2021.06.18.
38,GA000039,STORE_GA00002,쟝블랑제리,uq48m2,크로플짱,5,2021.06.14.
39,GA000040,STORE_GA00002,쟝블랑제리,10icp5i,단팥빵 팥실하게들었는데 2000원으로 올라서 아쉽아쉽~ 맘모스빵 앙버터바게트 스콘 다맛있음,4,2021.06.10.
40,GA000041,STORE_GA00002,쟝블랑제리,1228v5c,맘모스 - 30분 이상 기다려서 먹을 충격적인 맛은 아니지만 내용물 양도 많고 맛있음! 깨찰빵 - 깨찰빵하면 생각나는 그 맛 까눌레 - 살면서 먹어본 까눌레 중에 제일 별로.. 오래된 젤리 맛/식감ㅜ,2,2021.06.08.
41,GA000042,STORE_GA00002,쟝블랑제리,rkn8em,타 베이커리에 비해 가격 좋고 맛있음,5,2021.06.06.
42,GA000043,STORE_GA00002,쟝블랑제리,101qrof,슈크림 단팥빵이 맛있는집,5,2021.06.05.
43,GA000044,STORE_GA00002,쟝블랑제리,eu51bb,NaN,5,2021.06.02.
44,GA000045,STORE_GA00002,쟝블랑제리,1hp0ira,일단 빵종류가 다양하고 갓성비(?)인거 같아서 좋았어요. 평일엔 줄없고 자유롭게 빵 고를 수 있습니다. 맘모스빵은 나오는 시간이 정해져 있는데 주니어 맘모스는 상시 팔고 있으니 맘모스빵 못사신분들은 주니어 맘모스 사세요.  주니어 맘모스 - 달달하면서 윗부분에 소보로가루가 바삭해서 식감과 맛 모두 잡았더라구요. 마늘바게트 - 개인적으로 마늘소스(?)에 더 ...,5,2021.05.22.
45,GA000046,STORE_GA00002,쟝블랑제리,10f7a9g,오랜 단골집 줄이 너무 길어진 것 빼고는 학교 다닐때부터 자주 간 곳입니다 가격대비 맛이 정말 훌륭해요,5,2021.05.19.
46,GA000047,STORE_GA00002,쟝블랑제리,cso36v,"빵 아무거나 골랐는데 다 퀄리티 좋고 맛있어요. 딸기케이크, 체리시케이크도 맛있네요. 가격도 괜찮은 편입니다.",5,2021.05.15.
47,GA000048,STORE_GA00002,쟝블랑제리,7npu5s,맛난 빵.. 붐비지만 성심껏 응대하는 매장,4,2021.05.01.
48,GA000049,STORE_GA00002,쟝블랑제리,18ui19f,NaN,5,2021.05.01.
49,GA000050,STORE_GA00002,쟝블랑제리,bg2rnf,평범한데 줄서는 이유가 뭘지? 가까이 빵도동이 있는데..,3,2021.04.28.
50,GA000051,STORE_GA00002,쟝블랑제리,186p8hp,여기 별로라고 하시는분들 이해 안됩니다 진짜 맘모스빵 한번만 먹어보면 계속 생각나서 자꾸 오게되요 관악구에 살고있는게 감사할지경이에요 초코범벅도 어나더 레벨이고 나머지 빵들도 다 다다다 맛있어요 “평균 이상이다” 이정도가 아니고 그냥 다 천상계의 맛이에요...서비스도 좋고 직원들도 다들 친절해요 번창했음 좋겠어요 진짜 맘모스빵은 없어서 못먹어요 ㅠㅠ ,5,2021.04.27.
51,GA000052,STORE_GA00002,쟝블랑제리,nuns9a,난 여전히 맛있는데 ㅠㅠ... 맘모스빵이랑 초코범벅 굿! 엄청 저렴함,4,2021.04.24.
52,GA000053,STORE_GA00002,쟝블랑제리,e4j0fu,NaN,3,2021.04.24.
53,GA000054,STORE_GA00002,쟝블랑제리,17nderj,빵 맛있다아아,5,2021.04.17.
54,GA000055,STORE_GA00002,쟝블랑제리,8ujlgg,맛있어요 ,5,2021.04.09.
55,GA000056,STORE_GA00002,쟝블랑제리,1eecl6a,대체로 맛은 쏘쏘. 가성비 대박. 특히 생크림팥빵이나 슈크림팟빵등 팥빵베이스의 빵들은 다 평타이상입니다. 근처도 아니고 코로나로 줄서서 들어가서 구입해야해서 자주 가진 못하지만 생크림팥빵은 자주 생각날거 같아요. 여기는 항상 빵을 사면 많이 사지않아도 묵직합니다. ,5,2021.04.09.
56,GA000057,STORE_GA00002,쟝블랑제리,11s24pq,20/3  치즈바게트(둥근빵에 치즈가 덧입혀진) 를 먹는데..뭔가 씹혀서 보니 작은 비닐 같은 질감의 이물질이네요. 일단 커피 뚜껑 위에 놓고 찍음. 작아서 그냥 먹었을수도.... 비닐 자르다가 들어간듯. 몇입 먹었다가 버림. 치즈 롱쏘시지빵 너무 딱딱함.  사진 첨부 합니다. 예전에도 맘모스빵에서 뭔가 나와서 카톡으로 얘기하니 주의하겠다는 말만  했던 기...,1,2021.04.04.
