,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,GJ000001,STORE_GJ0001,광고최원석의돼지한판 광장점,ngfsvv,"점심때 갔는데 프런트에 직원도 없고 손님응대도 별로임, 불친절한 느낌 맛은 있어요",3,2021.08.01.
1,GJ000002,STORE_GJ0001,광고최원석의돼지한판 광장점,8ugcmg,삼겹살 먹었는데 넘 맛있었구요. 사장님과 직원분들 모두 넘넘 친절하셔서 좋았어요. 밑반찬도 짱맛!!! 다음에 가족이랑 다시 갈게요!!,5,2021.07.01.
2,GJ000003,STORE_GJ0001,광고최원석의돼지한판 광장점,murh1q,오...존맛탱... 돼지고기에서 이런 맛이 나네요 숙성돼지고기 많이 먹어봤지만 여긴 찐이네용 그리고 된장찌개 존맛탱이에요 두 번 추가해서 먹었어요ㅋㅋㅋㅋㅋ,5,2021.07.01.
3,GJ000004,STORE_GJ0001,광고최원석의돼지한판 광장점,qo13dj,좋아요 여기,5,2021.05.18.
4,GJ000005,STORE_GJ0001,광고최원석의돼지한판 광장점,k5p9pr,맛있고 친절함,5,2021.05.08.
5,GJ000006,STORE_GJ0001,광고최원석의돼지한판 광장점,1742btr,맛있네요 직원분들도 정말 친절하시고,5,2021.03.12.
6,GJ000007,STORE_GJ0001,광고최원석의돼지한판 광장점,bff9o9,"여기가 이 동네 왕이다. 일단 상차림이 미쳤다. 거기다 고기도 진짜 좋다. 직원, 사장님도 친절.. 체인점이라고는 쳐도 진짜 여기가 이 동네 고기 왕이다. ",5,2021.03.11.
7,GJ000008,STORE_GJ0001,광고최원석의돼지한판 광장점,ls9kmq,맛도 고기질도 좋아요~ 두툼한 고깃살!! 배불리 먹고 왔습니다~ 친구들도 만족해하니 제 마음도 뿌듯합니다~ 또 들르겠습니다!!,5,2021.03.11.
8,GJ000009,STORE_GJ0001,광고최원석의돼지한판 광장점,7nr9c2,정말 두꺼운 돼지고기,5,2020.10.11.
9,GJ000010,STORE_GJ0001,광고최원석의돼지한판 광장점,cibcmr,고기도 신선하고 사장님도 종업원분들도 친절하세요 재방문 하고 싶네요,5,2020.08.02.
10,GJ000011,STORE_GJ0001,광고최원석의돼지한판 광장점,doso6i,"여기 사이드부터 고기 너무맛있어오ㅠㅠㅠ 묵사발이랑 감자샐러드도 맛있고 고기 구워주시는데 너무 친절하시고 진짜너무맛있어오ㅠㅠ 집근처였으면 단골 할듯,,,",5,2020.04.05.
11,GJ000012,STORE_GJ0001,광고최원석의돼지한판 광장점,16376pl,직원들이 다 너무 친절하셔서 기분좋게 식사하고갔어요오!!!  꼭한번 다들 먹어보세여~~!! 맛도 최고입니다 ㅎㅎ,5,2020.02.08.
12,GJ000013,STORE_GJ0001,광고최원석의돼지한판 광장점,10gpenq,NaN,5,2019.12.30.
13,GJ000014,STORE_GJ0001,광고최원석의돼지한판 광장점,toj5ba,삼겹살이랑 삼겹살볶음밥이랑 쭈꾸미만두 먹었어요 만두는 그냥그냥.. 고기 싸먹을 양념이랑 재료가 엄청 많고 너무너무 맛있음 ㅠ 직원도 친절하고 일 너무 잘하심 고기도 다 구워주세요 된찌도 존맛탱 강추 단골할거에요,5,2019.12.09.
14,GJ000015,STORE_GJ0001,광고최원석의돼지한판 광장점,c8fo0s,정상적인 식당이 아님.,1,2019.09.13.
15,GJ000016,STORE_GJ0001,광고최원석의돼지한판 광장점,gcark3,고기도 좋고 가격도 괜찮아요♡,5,2019.06.16.
16,GJ000017,STORE_GJ0001,광고최원석의돼지한판 광장점,NaN,먹어본사람은 암 건대점갔다가 여기도 옴 ㅋㅋㅋ 조화가 진짜 대박임,5,2019.01.30.
17,GJ000018,STORE_GJ0001,광고최원석의돼지한판 광장점,NaN,불친절함의 끝을 봤습니다...직원들도 그렇고 사장님?인지 모르겠는데 똑같습니다.,1,2019.01.24.
18,GJ000019,STORE_GJ0001,광고최원석의돼지한판 광장점,NaN,삼겹살도맛있는데 전 쭈꾸미가 진짜 좋아요 ㅋㅋㅋ 같이먹었을때가 제일맛... 삼겹살한점에 쭈꾸미올리고 같이싸먹으면 따로 양념장도필없음,5,2018.07.21.
19,GJ000020,STORE_GJ0002,광고예담밥상,1e76028,가족이랑 오기에딱좋음 금액좀있어도 아깝지않은곳,5,2021.07.12.
20,GJ000021,STORE_GJ0002,광고예담밥상,uq2oas,게장 맛있네요 가족끼리 오기 좋아요 :),5,2021.07.12.
21,GJ000022,STORE_GJ0002,광고예담밥상,upkfja,"놀면뭐하니 나왔다 해서 가봤는데, ㄱㅊㄱㅊ 가족들이랑 같이 갈만해용",5,2021.07.05.
22,GJ000023,STORE_GJ0002,광고예담밥상,n24doa,잘 먹고 가요~ 반찬도 항상 정갈하고 맛이야 뭐 항상 좋네요,5,2021.07.05.
23,GJ000024,STORE_GJ0002,광고예담밥상,11et3ji,너무 맛있게 잘먹고 갑니다 ^^,5,2021.07.05.
24,GJ000025,STORE_GJ0002,광고예담밥상,12mgdoi,맛은 있는데 서비스 진짜 최악. 그렇게 음식을 던지고 쿵쿵 놓고 국자 달라니까 그냥 먹으라고 하고 얼굴 뜨거워져서 나원참,1,2021.07.01.
25,GJ000026,STORE_GJ0002,광고예담밥상,11aomrt,"예전에 기본정식 먹어보고 생각나서 가보았는데 최악이네요~ 별하나를 클릭해야지 리뷰를 쓸 수 있어서 쓰지만 몇천원하는 식사도 아닌데 손님을 뜨내기로 생각하고 다시는 안볼것처럼 사장님이 장사를 하시네요~ 오늘 갈비살2인과 간장게장2인을 시켰는데 간장게장이 주매뉴라고 2인,갈비살 2인을 총4인 주문했는데 게는 괜찮은데 간장은 신선하지가 않고 갈비살은 버터를 너무...",1,2021.06.10.
26,GJ000027,STORE_GJ0002,광고예담밥상,agcg0u,NaN,1,2021.05.31.
27,GJ000028,STORE_GJ0002,광고예담밥상,17uua5j,가성비 최악이네요,1,2021.03.31.
28,GJ000029,STORE_GJ0002,광고예담밥상,12kvdnc,부모님 모시고 갔다왔는데 잘먹고 갑니다 오래된 가게인데 이제 가보네요 ㅎㅎㅎ,5,2020.12.10.
29,GJ000030,STORE_GJ0002,광고예담밥상,vn2ptt,가족끼리 밥먹으려고 찾은 인생간장게장!! 찬들도 너무 맛있고 사장님이 너무 착하세요 굿굿 기분이 좋아지네요 !!! : ),5,2020.12.08.
30,GJ000031,STORE_GJ0002,광고예담밥상,NaN,정식이 가성비좋고 밑반찬도 정갈하게 잘 나와요~!!,1,2020.11.25.
31,GJ000032,STORE_GJ0002,광고예담밥상,1caq32r,It' s a nice place to get a full meal if you are hungry and looking for nothing more. The place is very bright during the day and has a nice indoor atmosphere.,4,2020.11.14.
32,GJ000033,STORE_GJ0002,광고예담밥상,qhfqns,"간장게장 정식 1인 ,양념갈빗살 정식 1인 따로 주문도 된다하시더라구요 저희는 예담특선을 시켰어요 맛있게 잘먹었습니다.",5,2020.10.14.
33,GJ000034,STORE_GJ0002,광고예담밥상,qgrng5,"간장게장 맛은 좋다. 누구나 좋아할 맛이다.  그러나 일본인 상대를 많이 하다 코로나때문에 피해를 받았는지는 모르겠으나, 간장게장의 맛을 제외하고 모든 것이 창렬화 되어 있다. 꽃게는 가장 작은 단위인 6미 짜리를 사용하고 있는 것 같고, 같이 주문한 소갈비구이 25,000원 짜리는 마치 서비스로 나오는 것과 같은 모양새다.  나머지 기본 반찬들도 어떻게 ...",2,2020.10.09.
34,GJ000035,STORE_GJ0002,광고예담밥상,90c4rf,반찬이 너무 짬. 3.5가격에 비해 부실한 게장. (꽃게 한마리) 반찬도 부실함. 종업원은 예의 없음. 예전에 비해 맛이 변했음.,1,2020.09.19.
35,GJ000036,STORE_GJ0002,광고예담밥상,v71p7q,"맛좋게 가족이랑 잘먹고가요, 저희끼리 앉을 수 있는 곳도 있어서 안전하게 먹고 왔어요",5,2020.08.26.
36,GJ000037,STORE_GJ0002,광고예담밥상,1a2c16k,간장게장 최고. 느끼하지 않고 신선하고 개운한 맛이 좋네요.,5,2020.07.21.
37,GJ000038,STORE_GJ0002,광고예담밥상,flo79i,가지 마세요.  포장해서 가지고 와서 집에 먹었다 설사 했습니다. 사장 응대도 꽝입니다.  가격대비 비싸구요.,1,2019.12.24.
38,GJ000039,STORE_GJ0002,광고예담밥상,1352lkd,"단체모임으로 갔습니다. 돌솥에 누룽지 만들어 먹을수있게 따뜻한 물도 제대로 주지도 않았구요. 반찬으로 나오는 손바닥만한 감자전 추가해달라하니 원래는 주문받는건데 그냥 서비스로 한접시 준다하네요.. 가격대비 푸짐하지도,맛있지도,친절하지도 않았어요 그리고 거기 사장으로 있던 주인 아줌마 굉장히 불친절하더라구요. 언제나가나 계속 빤히 쳐다보고있고 상당히 불쾌하더...",1,2019.09.30.
39,GJ000040,STORE_GJ0002,광고예담밥상,vvlaun,그닥 재방문안할거에요,1,2019.05.06.
40,GJ000041,STORE_GJ0002,광고예담밥상,v2h5i2,주인 인성터짐 개터짐 저 인성으로 장사 어떻게 할라는지 안타까웅,1,2019.03.13.
41,GJ000042,STORE_GJ0002,광고예담밥상,NaN,NaN,2,2017.04.29.
42,GJ000043,STORE_GJ0002,광고예담밥상,NaN,갈비살정식,2,2017.02.15.
43,GJ000044,STORE_GJ0002,광고예담밥상,NaN,조금 비싼 불고기정식 시켰는데 실망.식당도 한정식 고급 분위기라기보단 찌개집같은 느낌. 친절하지도 않았고,2,2016.07.29.
44,GJ000045,STORE_GJ0002,광고예담밥상,NaN,가격개비쌈 양도 적음 맛은 뭐 그럭저럭 어르신모실일있을때 가면 괜찮은곳,3,2018.10.14.
45,GJ000046,STORE_GJ0002,광고예담밥상,NaN,"가족 모임으로 갔는데 값은 비싸고 만원짜리 한정식 보다 못한집.  불친절하고 내 평생 다시는 가고 싶지 않은 곳..  나만 느꼈으면 모르겠는데 부모님, 형제들 10명 이상 다 기분 나빠서 나왔단 집임.  우리 회사 5천원 백반이 훨 낫다고 느껴지는 곳이었음.",1,2017.12.22.
46,GJ000047,STORE_GJ0002,광고예담밥상,NaN,성인 여섯에 미취학 아동 둘 갔는데 5명 시켰다고 겁나 눈치줌. 차라리 어린이 메뉴를 만들어 주던지.. ㅉㅉ 양도 별로고 질도 떨어짐. 만원도 아까움. ,1,2017.01.07.
47,GJ000048,STORE_GJ0002,광고예담밥상,NaN,장안동쪽서만 게장먹었었는데 여기도 맛좋았어여 그리고 갈비정식도 먹을수 있으니까 게장못먹는사람들 같이가도 좋을거같아요!,5,2016.10.24.
48,GJ000049,STORE_GJ0002,광고예담밥상,NaN,갈비살정식이랑 게장시켜서 배터지게 먹고 왔어요 짱짱,5,2016.09.01.
49,GJ000050,STORE_GJ0002,광고예담밥상,NaN,게장은 사랑이라고 생각하는 일인으로 지난번에 다른 게장집 갔다가 게도작고 완전 실패했는데 여기가선 밥하나 추가해서 먹고왔어요!! 만족두번했습니다!!,5,2016.08.16.
50,GJ000051,STORE_GJ0002,광고예담밥상,NaN,정갈하고 게장속이 꽉찬게 좋았어요 비린맛도 없었구요,5,2016.08.03.
51,GJ000052,STORE_GJ0002,광고예담밥상,NaN,이번주말에 부모님모시고 갈비살정식에 게장정식 같이먹었는데 음식도 깔끔하고 반찬도 간이 적당해서 먹기 좋더라구요 한정식전문점이라그런지 어르신분들 많이보이시던데 장사도 잘되네요 친절하셨어요 직원분들도^^,5,2016.07.28.
52,GJ000053,STORE_GJ0002,광고예담밥상,NaN,팀장님이 쏘신다고 어디가고싶냐해서 게장먹자 했더니 예담데리고 가셨어요 너무 맛있게 먹었네요,5,2016.07.28.
53,GJ000054,STORE_GJ0002,광고예담밥상,NaN,간장게장 원래 잘 안먹는데 여기 진짜 맛있어요~부모님 모시고 갔는데 너무좋아하시더라구요 항상 사람이 많은 곳은 다 이유가 있는듯..,5,2016.07.28.
54,GJ000055,STORE_GJ0002,광고예담밥상,NaN,"초파리 파리 많이 날라다니면서 음식에 앉고, 물컵에 비린내나고 밥그릇에 설거지가안되서 밥풀이 굳어있고. 전체적으로 비위생적이였어요. 음식은 짜고 맛없는데 불친절하기까지....다신 방문안하고 싶은 곳입니다.",1,2016.06.19.
55,GJ000056,STORE_GJ0002,광고예담밥상,NaN,2점도 아까움; 간장게장이랑 갈비살정식 이정도 맛과 양이면 넷이 4만원도 아까운것같음 정말 별로였고 종류가 특별한것도 아니고 맛이 좋은것도 아님 차라리 마지막에 매실차가 제일 낫다 엄마가 너무 실망하셨음,1,2016.06.16.
56,GJ000057,STORE_GJ0002,광고예담밥상,NaN,진짜 게눈감치듯 먹어치웠어여 비리지않고 꽉꽉 속이찬게 맛났어요,5,2016.05.17.
57,GJ000058,STORE_GJ0002,광고예담밥상,NaN,처음에는 비싸다고 생각해서 망설였는데 맛보고 나서는 돈이 아깝지 않았어요 돌게장 맛은 최고~!  잘차려진 집밥이랄까?! 암튼 맛있는 음식으로 기분 좋아졌어요~,5,2016.03.24.
58,GJ000059,STORE_GJ0002,광고예담밥상,NaN,간장게장 맛은 좋았지만 좀 비싼편이다,3,2016.03.20.
59,GJ000060,STORE_GJ0002,광고예담밥상,NaN,건대에서 게장은 여기가 음식이랑 전체적으로 좀 깔끔한거같아여,5,2016.02.23.
60,GJ000061,STORE_GJ0002,광고예담밥상,NaN,건대가 본점인줄은 알았는데 가볼기회없다가 건대사는 친구가 데리고 갔는데 실망시키지 않는 맛이네요,5,2015.12.01.
61,GJ000062,STORE_GJ0002,광고예담밥상,NaN,게장은 제가 못먹어서 갈비살 정식 먹었는데요 맛이 괜찮더라구요,5,2015.11.23.
62,GJ000063,STORE_GJ0002,광고예담밥상,NaN,간장게장 짜지도 않고 너무 맛있게 잘먹었어요 사장님이신지는 모르겠는데 너무상냥하게 대해주셔서 기분 좋은 식사 할수있었네요~~~,5,2015.11.06.
63,GJ000064,STORE_GJ0002,광고예담밥상,NaN,남산점 한번 가봤다가 괜찮아서 집근처라 엄마아빠 모시고 갔었는데 맛좋다고 하셨어여~음식간도 딱 좋았네요,5,2015.11.05.
64,GJ000065,STORE_GJ0002,광고예담밥상,NaN,예전 댓글보고 고민고민 하다 게장먹고싶어서 가봤는데 저랑 남친은 괜찮았는데 전 괜찮았어요,5,2015.10.30.
65,GJ000066,STORE_GJ0002,광고예담밥상,NaN,너무 비싼 백반이다 . 어른들 모시고 갔다가 먹을거 없다고. . 민망했다는. . 여길 누가 맛집이라고 하는건지. . .게장은 평범 . 갈비정식은 고기가 너무 질기고 반찬들?? 집에서 먹는 반찬이다. . 친절??없다,1,2014.09.27.
66,GJ000067,STORE_GJ0002,광고예담밥상,NaN,"나름 평가도좋아 어떤곳인가 방문 했는데, 입구에 들어 서면서의 의하함이 밥을 먹고 나오는 동안 현실이뎌고 말았네요.누가 이곳에 좋은평을 했는지, 혹 그가게와 연관있는 사람이 아닌지, 음시캆은 비싸기도 하지만 맛이라도 있었으면 아깝지라도 않았을텐데 무엇보다도 친절하지 못한 대우를 받아가며 그런음식을 먹어야 하는지, 앞으로는 절대...",1,2012.03.26.
