,place_code,ItemID,address,local,category
0,STORE_GJ0001,광고최원석의돼지한판 광장점,서울 광진구 아차산로 478 1층,(지번) 구의동 199-15,"육류,고기"
1,STORE_GJ0002,광고예담밥상,서울 광진구 동일로22길 13 1층,(지번) 화양동 44-68,한정식
2,STORE_GJ0003,광고크래버 대게나라 광장점,서울 광진구 천호대로 611 1층,(지번) 중곡동 131-5,"게,대게"
3,STORE_GJ0004,신토불이떡볶이 본점,서울 광진구 자양로43길 42 1층,(지번) 구의동 52-17,떡볶이
4,STORE_GJ0005,서북면옥,서울 광진구 자양로 199-1,(지번) 구의동 80-47,냉면
5,STORE_GJ0006,원조할아버지손두부,서울 광진구 자양로 324 1층,(지번) 구의동 26-15,두부전문점
6,STORE_GJ0007,이이요,서울 광진구 능동로32길 6,(지번) 능동 225-1,일식
7,STORE_GJ0008,로니로티 건대점,서울 광진구 아차산로 225 3층,(지번) 화양동 7-44,이탈리안
8,STORE_GJ0009,송림식당,서울 광진구 자양번영로 79,(지번) 자양동 227-138,기사식당
9,STORE_GJ0010,송화산시도삭면 2호점,서울 광진구 아차산로30길 33,(지번) 자양동 6-63,중화요리
10,STORE_GJ0011,비스타워커힐서울 피자힐,서울 광진구 워커힐로 177 워커힐호텔,(지번) 광장동 5-96,피자
11,STORE_GJ0012,아찌떡볶이,서울 광진구 아차산로29길 53,(지번) 화양동 34-5,분식
12,STORE_GJ0013,아르무아,서울 광진구 동일로22길 117-27 1~2층,(지번) 화양동 5-32,카페
13,STORE_GJ0014,군자대한곱창 본점,서울 광진구 능동로36길 10,(지번) 능동 221-2,"곱창,막창"
14,STORE_GJ0015,영미오리탕 군자점,서울 광진구 동일로60길 53 천수빌딩 1층,(지번) 군자동 467-16,오리
15,STORE_GJ0016,남한강민물매운탕,서울 광진구 동일로 150,(지번) 화양동 24-44,"매운탕,해물탕"
16,STORE_GJ0017,도우터,서울 광진구 아차산로31길 40,(지번) 화양동 11-17,카페
17,STORE_GJ0018,송화양꼬치,서울 광진구 동일로18길 70,(지번) 자양동 11-2,양꼬치
18,STORE_GJ0019,뚝방길홍차가게,서울 광진구 자양강변길 277 1층,(지번) 자양동 589-20,카페
19,STORE_GJ0020,크래버 대게나라 광장점,서울 광진구 천호대로 611 1층,(지번) 중곡동 131-5,"게,대게"
20,STORE_GJ0021,멕시칼리,서울 광진구 능동로36길 181,(지번) 능동 256-8,양식
21,STORE_GJ0022,감성타코 건대점,서울 광진구 능동로13길 39 2층,(지번) 화양동 10-1,"멕시칸,브라질"
22,STORE_GJ0023,뱃놈,서울 광진구 광나루로19길 9 1층,(지번) 군자동 373-9,조개
