,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,GR000001,STORE_GR00001,광고서일순대국전문 구로점,1mfjkfl,순대전문점인데 비린내엄청심하고 불친절해요. 굳이 여기 안와도 될 듯.예전에는 진짜 맛있었는데 오래간만에 왔더니 불친절하고 음식도 별로고 위생이 진짜 안좋았어요 ,1,2021.08.14.
1,GR000002,STORE_GR00001,광고서일순대국전문 구로점,8uto8m,NaN,4,2021.08.01.
2,GR000003,STORE_GR00001,광고서일순대국전문 구로점,d667lc,"순대를 직접 만드시나봄 순대국땡겨서 집근처 맛집 찾아보다 평점 높아서 가본 집인데… 음.. 서비스로 순대 몇 조각 주셨는데 매우 냄새남. 돼지비린내라기 보다는 방아잎 향인가??  순대 개좋아하고 인도 본토음식도 잘쳐먹는, 향에 거부감이 많지 않은 극강입맛인데..뭔가 순대가 내 입맛은 아니었다. 조선족 순대인가?",2,2021.07.11.
3,GR000004,STORE_GR00001,광고서일순대국전문 구로점,upge5g,인생 순대국집 매번 푸짐하고 맛있게 먹고 갑니다,5,2021.07.05.
4,GR000005,STORE_GR00001,광고서일순대국전문 구로점,1d38hvm,구로에 은근히 맛집이 많은 편인데 여긴 정말 순대국 맛집이에요ㅎㅎ 건더기를 많이 줘서 좋아요 국물도 맛있어요,5,2021.04.05.
5,GR000006,STORE_GR00001,광고서일순대국전문 구로점,a7ogbt,NaN,5,2021.02.25.
6,GR000007,STORE_GR00001,광고서일순대국전문 구로점,15mphjt,푸짐 하고 짱 맜있어요.... 최고에요.,5,2020.12.30.
7,GR000008,STORE_GR00001,광고서일순대국전문 구로점,c00m23,기대가 컸던 순대는 그냥 그랬지만 내장 위주의 건더기나 국물은 좋았어요. 그리고 냄새에 민감하면 입장부터 어려울 수 있겠네요.  ,4,2020.11.23.
8,GR000009,STORE_GR00001,광고서일순대국전문 구로점,bl5jc9,NaN,4,2020.11.20.
9,GR000010,STORE_GR00001,광고서일순대국전문 구로점,15g9a3t,비리지않고 푸짐하니 맛있습니다,5,2020.11.04.
10,GR000011,STORE_GR00001,광고서일순대국전문 구로점,1blithk,순대국 맛있고 양도 많고 명불허전,5,2020.09.01.
11,GR000012,STORE_GR00001,광고서일순대국전문 구로점,la9p6j,"서빙아줌마가 불친절...이라고 생각했지만, 내 기분탓인듯. (...)",5,2020.08.24.
12,GR000013,STORE_GR00001,광고서일순대국전문 구로점,17cu538,순대국 진짜 순대 많아서 더 맛있게 먹었어요. 특유의 냄새도 나지 않고 이런게 바로 전문점이구나~ 싶었어요.ㅋㅋㅋ 순대 별로 좋아하지 않는 제 친구도 한 그릇 뚝딱했네요!^^,5,2020.06.26.
13,GR000014,STORE_GR00001,광고서일순대국전문 구로점,kam8kt,특시키면 양이많은게아니라 순대를줍니다 특 하나 꼭 시키시고  나오는 양파 순대국에 넣으면 더맛납니다 그리고 참깨는 무조건 한숟가락 더 ,5,2020.03.06.
14,GR000015,STORE_GR00001,광고서일순대국전문 구로점,mki7t3,순대국에 순대가 가득 나와요. 서비스로 주는 야채순대도 맛있었습니다!! 사장님도 친절,5,2019.12.16.
15,GR000016,STORE_GR00001,광고서일순대국전문 구로점,1405ui4,순대국 특유의 비린내 안나고 고기 건더기가 진짜 많았어요 부산에도 하나 있으면 좋을텐데.. 너무 잘 먹었네용,5,2019.11.13.
16,GR000017,STORE_GR00001,광고서일순대국전문 구로점,bfnv4m,NaN,5,2019.10.27.
17,GR000018,STORE_GR00001,광고서일순대국전문 구로점,uja8uo,순대국 8천원이고 가격에 비해 건더기가 많이 들었어요 맛은 그냥저냥 평타정도고요 계산해달라고 했는데 사장님으로 보이시는 분이 다른 사람한테 맡기고 바깥에 아는 사람? 부르러 나가서 열차 못 탈 뻔했네요 ; 지나가면서 계산해주실만 한데,3,2019.08.24.
18,GR000019,STORE_GR00001,광고서일순대국전문 구로점,upkrhv,"보통 알고있는 순대가 아니라, 야채로 만든 순대로 순대국을 만들어 순대를 씹는 식감이 아삭아삭하고 고소한 맛이 나서 좋다.  순대와 고기의 양도 푸짐한 편. 돼지특유의 잡내와 비린내가 전혀 나지 않아 먹기 편함. 최근에 가격이 8000원으로 오르고 순대의 양이 조금 줄어든 것 같아 아쉬움.",4,2019.07.03.
19,GR000020,STORE_GR00001,광고서일순대국전문 구로점,vvi8lp,국물이 진국이고  가성비 최고 우리 사무실 근처에 있으면 일주일에 한번은 먹고 싶은집~♥ 우리딸도 좋아 하는집~,4,2019.05.30.
20,GR000021,STORE_GR00001,광고서일순대국전문 구로점,v945t0,명불허전이네요~ 맛도 양도 써비스도 최고입니다~,5,2019.03.25.
21,GR000022,STORE_GR00001,광고서일순대국전문 구로점,a3pqr8,최고~~8천원이라 좀 비싸지만 최고~~,5,2018.12.13.
22,GR000023,STORE_GR00001,광고서일순대국전문 구로점,n5ue26,순대국의 기본인 고기가 아주 풍부하고 순대는 기존 알고있는 순대가 아니지만 무척 식감이 좋고 맛있네요,4,2018.07.01.
23,GR000024,STORE_GR00001,광고서일순대국전문 구로점,mppetq,순대국은 여기가 최고에요 아기도 잘먹어요,5,2018.05.08.
24,GR000025,STORE_GR00001,광고서일순대국전문 구로점,10hdctg,NaN,5,2018.01.04.
25,GR000026,STORE_GR00001,광고서일순대국전문 구로점,7l5cj1,특으로 드세요 고기도많고 잡내없이 깔끔해요,4,2017.11.21.
26,GR000027,STORE_GR00001,광고서일순대국전문 구로점,ej8f70,아주 괜찮다ㅗ,5,2016.03.11.
27,GR000028,STORE_GR00001,광고서일순대국전문 구로점,NaN,올때마다 잘왔다고 생각하는집,5,2019.04.05.
28,GR000029,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,3,2017.11.12.
29,GR000030,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,2,2017.11.06.
30,GR000031,STORE_GR00001,광고서일순대국전문 구로점,NaN,순대국 구로지역에서는 최고인듯,5,2017.10.16.
31,GR000032,STORE_GR00001,광고서일순대국전문 구로점,NaN,순대국,3,2017.08.19.
32,GR000033,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,4,2017.07.11.
33,GR000034,STORE_GR00001,광고서일순대국전문 구로점,NaN,순대국에 순대가 가득 나와요. 서비스로 주는 야채순대도 맛있었습니다.,4,2017.06.15.
34,GR000035,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,5,2017.03.30.
35,GR000036,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,3,2017.02.24.
36,GR000037,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,2,2017.01.20.
37,GR000038,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,5,2016.12.27.
38,GR000039,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,3,2016.09.09.
39,GR000040,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,5,2016.08.16.
40,GR000041,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,5,2016.08.16.
41,GR000042,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,5,2016.06.08.
42,GR000043,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,5,2016.05.30.
43,GR000044,STORE_GR00001,광고서일순대국전문 구로점,NaN,깔끔한 순대국,4,2016.01.04.
44,GR000045,STORE_GR00001,광고서일순대국전문 구로점,NaN,...,NaN,2015.03.14.
45,GR000046,STORE_GR00001,광고서일순대국전문 구로점,NaN,NaN,5,2019.01.16.
46,GR000047,STORE_GR00001,광고서일순대국전문 구로점,NaN,냄새.,2,2016.07.29.
47,GR000048,STORE_GR00001,광고서일순대국전문 구로점,NaN,순댓국이 다 거기서 거기라고 생각하고 며칠전 다녀왔는데 여긴 진짜 맛있습니다. 냄새도 덜 나고 굿입니다!,5,2016.03.04.
48,GR000049,STORE_GR00001,광고서일순대국전문 구로점,NaN,체인인지 이전한건지는 모르겠지만 이자리 생긴지 얼마 안됐는데 뭘 옛날부터 친구랑 여길 다녔다는건지 모르겠네요. 사장님인지 근무하시는 분인지 모르겠지만 개업하자마자부터 불친절하더니 여전함. 맛은 soso.,1,2015.08.13.
49,GR000050,STORE_GR00001,광고서일순대국전문 구로점,NaN,순댓국하면 여기죠~ 짱 마시쪄 ㅠㅠ 냄새도 안나고 진짜 마시쪄 ㅠㅠ 이따 가야징ㅋ,5,2015.04.09.
50,GR000051,STORE_GR00001,광고서일순대국전문 구로점,NaN,구로에서 여기모르면 간첩이에요ㅋ 원래 맛집인데 요새 사람이 너무 많아서ㅋ 너무 알려지면 난 싫던데 쩝ㅋㅋㅋㅋㅋㅋ,5,2014.12.18.
51,GR000052,STORE_GR00001,광고서일순대국전문 구로점,NaN,구로에 유일한 맛집!! 항상 쓰린속을 달래주는 최고의 순대국!! 깔끔하고 시원한 국물 ~ 항상 잘먹고있습니다 ㅋㅋ,5,2014.12.16.
52,GR000053,STORE_GR00001,광고서일순대국전문 구로점,NaN,별점 : 10 점 고기가 부드럽고 맛있네요~~추천할 만한 곳 인듯..,5,2014.04.04.
53,GR000054,STORE_GR00001,광고서일순대국전문 구로점,NaN,"이집도 진짜 오래되었네요...  옛날부터 친구들과 자주들렀는데 우리도 어느새 나이가 마흔셋, 이제 다들 만나기도힘들고해서 가끔가다 찾아오는 친구들과 들르는이곳, 항상 갈때마다 친절하게 대해주시는 주인사장님과 사모님 감사드립니다.",5,2013.12.16.
54,GR000055,STORE_GR00001,광고서일순대국전문 구로점,NaN,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 푸짐하게 들어있네요 , 순대국집 웬만하면 국만많고, 실질적으로 건더기는 적더만 여기는 진짜 양심적이게 장사를해서 좋았어요. 맛있게먹었습니다.",5,2013.12.11.
55,GR000056,STORE_GR00001,광고서일순대국전문 구로점,NaN,"가족이랑 외식나와서 순대국먹었는데 , 국도맛있지만 김치랑 깍두기가 너무맛있네요.",5,2013.12.09.
56,GR000057,STORE_GR00001,광고서일순대국전문 구로점,NaN,해장하는데 말이필요없네요. 후 한 인심만큼 배부르게 먹고갑니다. 대박나세요.,5,2013.11.26.
57,GR000058,STORE_GR00001,광고서일순대국전문 구로점,NaN,와 .... 지금 몇시지 ㅋㅋㅋㅋㅋ순대국 한그릇하고 피방왔더니 벌써 12시가넘었네 사장님 썹수 많이주셔서 일부로그인해서 댓글까지남겨요 ㅜㅜ,5,2013.11.23.
