,store_code,ItemID,address,local,category
0,STORE_GR00001,광고서일순대국전문 구로점,서울 구로구 구로중앙로 6 1층,(지번) 구로동 142-77,순대
1,STORE_GR00002,광고우돈생고기,서울 구로구 개봉로2길 81,(지번) 개봉동 276-14,"육류,고기"
2,STORE_GR00003,월래순교자관,서울 구로구 디지털로19길 13,(지번) 가리봉동 127-5,중식
3,STORE_GR00004,평양냉면,서울 구로구 고척로10길 65,(지번) 오류동 13-55,냉면
4,STORE_GR00005,신림춘천집 구로디지털직영점,서울 구로구 디지털로32나길 17-23 우남산업 102호,(지번) 구로동 1124-69,닭요리
5,STORE_GR00006,강촌숯불닭갈비 본점,서울 구로구 공원로6나길 35-2,(지번) 구로동 29-22,닭요리
6,STORE_GR00007,갓파스시 구로점,서울 구로구 디지털로 288 대륭포스트타워1차 214호,(지번) 구로동 212-8,"초밥,롤"
7,STORE_GR00008,메이비,서울 구로구 디지털로32나길 51,(지번) 구로동 1124-49,카페
8,STORE_GR00009,스시메이진 구로점,서울 구로구 디지털로 300 지밸리몰 2층 6호,(지번) 구로동 188-25,"초밥,롤"
9,STORE_GR00010,신도림참족발,서울 구로구 경인로 661,(지번) 신도림동 337,"족발,보쌈"
10,STORE_GR00011,한판참숯소갈비 구로디지털점,서울 구로구 시흥대로163길 12,(지번) 구로동 1127-18,갈비
11,STORE_GR00012,오사카로,서울 구로구 경인로67길 23 대우푸르지오 206호,(지번) 신도림동 338,일본식주점
12,STORE_GR00013,최우영스시,서울 구로구 디지털로 288 대륭포스트타운 지하 1층,(지번) 구로동 212-8,"초밥,롤"
13,STORE_GR00014,라도맨션,서울 구로구 공원로6다길 20 혜성빌딩 3층,(지번) 구로동 31-2,삼겹살
14,STORE_GR00015,화양가옥 구로디지털단지점,서울 구로구 디지털로32나길 17-23,(지번) 구로동 1124-69,"호프,요리주점"
15,STORE_GR00016,송림가,서울 구로구 경인로 398,(지번) 고척동 69-34,갈비
16,STORE_GR00017,옛날마차 신관,서울 구로구 디지털로32길 97-13,(지번) 구로동 1124-14,회
17,STORE_GR00018,이도식당 신도림본점,서울 구로구 경인로 661 푸르지오1차 2층 243호,(지번) 신도림동 337,닭요리
18,STORE_GR00019,세광양대창 구로디지털점,서울 구로구 디지털로32나길 11,(지번) 구로동 1124-59,"곱창,막창"
19,STORE_GR00020,새벽집양곱창 신도림점,서울 구로구 경인로61길 21 크라운빌상가 108호,(지번) 신도림동 694,"곱창,막창"
20,STORE_GR00021,컴포,서울 구로구 경인로67길 23 1층 105호,(지번) 신도림동 338,베트남음식
21,STORE_GR00022,롤링파스타 구로디지털역점,서울 구로구 디지털로32길 79 2층,(지번) 구로동 1124-72,이탈리안
22,STORE_GR00023,라그릴리아 신도림디큐브시티점,서울 구로구 경인로 662 현대백화점 별관 2층,(지번) 신도림동 692,이탈리안
23,STORE_GR00024,초가집부뚜막청국장,서울 구로구 구로중앙로28길 24,(지번) 구로동 528-1,한식
24,STORE_GR00025,백년불고기 구로디지털점,서울 구로구 시흥대로163길 15 1층,(지번) 구로동 1130-1,"불고기,두루치기"
25,STORE_GR00026,오목집 신도림점,"서울 구로구 경인로 661 신도림1차푸르지오 1층 128,137호",(지번) 신도림동 337,"족발,보쌈"
26,STORE_GR00027,다원국수,서울 구로구 경인로 22 109호,(지번) 오류동 108-74,국수
27,STORE_GR00028,이춘복참치 신도림점,서울 구로구 경인로 662 3층,(지번) 신도림동 692,참치회
28,STORE_GR00029,진사향,서울 구로구 새말로 20 코코모호텔 지하1층,(지번) 구로동 569-18,중화요리
29,STORE_GR00030,속초붉은대게,서울 구로구 디지털로32다길 9 라이프플러스 1층 106호,(지번) 구로동 1126-10,"게,대게"
30,STORE_GR00031,맛찬들왕소금구이 구로점,서울 구로구 디지털로32나길 17-28,(지번) 구로동 1124-51,"육류,고기"
31,STORE_GR00032,서울안심축산 구로본점,서울 구로구 공원로 47,(지번) 구로동 110-4,"육류,고기"
32,STORE_GR00033,문어부인삼교비 신도림점,서울 구로구 신도림동 337 신도림 푸르지오아파트 1차 상가 2층 228호,,"육류,고기"
33,STORE_GR00034,데일리스위츠,서울 구로구 중앙로 9 1층,(지번) 고척동 76-28,디저트카페
34,STORE_GR00035,눈꽃한우서래갈비,서울 구로구 공원로 83 2층,(지번) 구로동 544,갈비
35,STORE_GR00036,오비스트로,서울 구로구 구로중앙로15길 12,(지번) 구로동 85-12,이탈리안
36,STORE_GR00037,봉고기 신도림본점,서울 구로구 경인로 619-3,(지번) 신도림동 435-10,"육류,고기"
