,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,NO000001,STORE_NO00001,광고신가네 칼국수,upk4c8,가성비 최고네요  딸래미도 너무 잘먹고 자주 갈거같아요,5,2021.08.13.
1,NO000002,STORE_NO00001,광고신가네 칼국수,upk670,칼국수 맛집!!  점심먹으러 자주가는데 들깨국물 진하고 좋아용! 굿굿!,5,2021.08.13.
2,NO000003,STORE_NO00001,광고신가네 칼국수,upkfja,가격도 정말 어떤 그칼국수집보다도 착하고 무엇보다 맛있다는게 팩트,5,2021.08.13.
3,NO000004,STORE_NO00001,광고신가네 칼국수,7mkq6q,12000원짜리 수육... 고기 몆조각 주는걸로 12000원씩이나 받겠다구요? 너무 하는거 아닙니까? 차라리 중국집에서 탕수육을 먹고말지. 열무김치도 너무 짜고 그리고 아까 계산할때 각자 나눠서 계산하는건데 그걸 갖고 계산복잡하게 한다고 화내시던데 그게 왜 화낼만한 일인지 모르겠네요 ,1,2021.08.11.
4,NO000005,STORE_NO00001,광고신가네 칼국수,1evh8f9,근처 일이 있을때마다 맛있게 잘 먹고 갑니다~ 노원 하계동 맛집은 여기죠~,5,2021.08.07.
5,NO000006,STORE_NO00001,광고신가네 칼국수,19v83ti,"들깨칼국수는 정말 여름에 먹어도 꿀맛입니다... 신가네만의 면, 국물의조화",5,2021.08.03.
6,NO000007,STORE_NO00001,광고신가네 칼국수,16bgpu3,깨끗해서 좋고 맛있습니다!!,5,2021.07.22.
7,NO000008,STORE_NO00001,광고신가네 칼국수,uq74po,"보쌈파전은 진리죠, 비오는날 카톡보고 가면 막걸리도 공짜로 주십니다",5,2021.07.14.
8,NO000009,STORE_NO00001,광고신가네 칼국수,1ed8uc3,을지병원 뒤쪽에있음. 비오는날 파전막걸리 먹으러 자주감,5,2021.07.14.
9,NO000010,STORE_NO00001,광고신가네 칼국수,qoc1lo,너무 정신없고 불친절합니다. 바지락 칼국수 조개에 해감이 덜되었는지 모래가 자글자글 ...편안한 식사는 아니네요...,1,2021.07.10.
10,NO000011,STORE_NO00001,광고신가네 칼국수,1282jb9,"홀에서 드시지 마세요 개인 식사 다 먹을때까지 기다렸는데 하도 안나와서 파전 언제 되냐고 하니까 주문 누락됐다고,  이제 조리 들어간다고,  조금만 기다려 달라고, 결국 취소하고 갑니다 저희만 얘기하는게 아니라 저희 앞에 오신 분들도 파전 언제 나오냐고.. 그 와중에 포장배달은 나가고 있네요 굳이 여기까지 와서 먹을 이유가 없어졌어요 이제는 안 갑니다",1,2021.07.04.
11,NO000012,STORE_NO00001,광고신가네 칼국수,1em9jvh,서리태콩국수 찐맛....감동,5,2021.06.04.
12,NO000013,STORE_NO00001,광고신가네 칼국수,e51mug,음식도 정갈하고 넘 맛있었어요!! 식당도 깨끗하고 직원분들도 친절하셔서 너무 기분좋은 한끼였습니다 ^^,5,2021.05.20.
13,NO000014,STORE_NO00001,광고신가네 칼국수,1bbeq9u,맛나요,5,2021.04.27.
14,NO000015,STORE_NO00001,광고신가네 칼국수,11et3ji,칼국수한그릇인데도 정성이 느껴집니다 맛있어요,5,2021.04.22.
15,NO000016,STORE_NO00001,광고신가네 칼국수,7rvk0g,맛있는 만큼만 먹었습니다,5,2021.03.24.
16,NO000017,STORE_NO00001,광고신가네 칼국수,1d4edls,가족들이랑 ^^,4,2021.03.15.
17,NO000018,STORE_NO00001,광고신가네 칼국수,a1jsno,NaN,3,2021.02.12.
18,NO000019,STORE_NO00001,광고신가네 칼국수,sqg6dg,바지락칼국수랑 들깨칼국수 먹어봄 둘다 맛있음,4,2021.02.01.
19,NO000020,STORE_NO00001,광고신가네 칼국수,152snul,NaN,5,2021.01.14.
20,NO000021,STORE_NO00001,광고신가네 칼국수,s66eli,보쌈 넘맛있어요~~,5,2021.01.11.
21,NO000022,STORE_NO00001,광고신가네 칼국수,egn0ks,가게 자체도 깔끔하고 음식도 깔끔합니다. 바지락 칼국수 먹었는데 바지락양은 적당했지만 국수 전체적으로 해물향은 많이 부족하네요. 맛있었습니다. 매생이 해장국을 먹었습니다. 해장국계의 평양냉면이네요. 깔끔하니 맛있었습니다. 굴도 들어있고요.,4,2021.01.02.
22,NO000023,STORE_NO00001,광고신가네 칼국수,1ei9nn3,사장님 너무좋으시고 오랜시간 자리지켜온맛집.,5,2020.12.28.
23,NO000024,STORE_NO00001,광고신가네 칼국수,uqmj2n,불친절해요,1,2020.12.27.
24,NO000025,STORE_NO00001,광고신가네 칼국수,1dvq0pm,넘 맛있었어요 > <,5,2020.12.14.
25,NO000026,STORE_NO00001,광고신가네 칼국수,12lhl41,시킨 메뉴 모두 맛있어고 그중에 개인적으로는 들깨칼국수 너무 맛있어요^^ 굿굿,5,2020.11.17.
26,NO000027,STORE_NO00001,광고신가네 칼국수,vn2ptt,여자친구랑 우연히 들린 칼국수 집인데 정말 너무 맛있네요 국물도 너무 시원하고  사장님도 너무 친절하시네요!,5,2020.11.12.
27,NO000028,STORE_NO00001,광고신가네 칼국수,NaN,육수가 진국 이네요~ 바지락도 푸짐하게 들어가 있어서 존맛탱 !!,1,2020.11.09.
28,NO000029,STORE_NO00001,광고신가네 칼국수,v71p7q,육수가 진국 이네요~ 바지락도 푸짐하게 들어가 있어서 존맛탱 !!,5,2020.11.03.
29,NO000030,STORE_NO00001,광고신가네 칼국수,1d53v9b,맛있어요,5,2020.10.28.
30,NO000031,STORE_NO00001,광고신가네 칼국수,uqm1e1,칼국수 너무 좋아하는데 이집 진짜 너무 맛있어요  일주일에 한번은 꼭가는 단골집 찐이야!,5,2020.10.22.
31,NO000032,STORE_NO00001,광고신가네 칼국수,1bdhnfr,NaN,5,2020.09.02.
