,store_code,ItemID,address,local,category
0,STORE_NO00001,광고신가네 칼국수,서울 노원구 공릉로59나길 78-14 1층,(지번) 하계동 115-1,한식
1,STORE_NO00002,광고온고을,서울 노원구 동일로 1065,(지번) 공릉동 398-5,한식
2,STORE_NO00003,광고독도게찜,서울 노원구 동일로242가길 50,(지번) 상계동 1131-37,"게,대게"
3,STORE_NO00004,라라브레드 공릉점,서울 노원구 공릉로41길 32,(지번) 공릉동 350-24,디저트카페
4,STORE_NO00005,경복식당,서울 노원구 공릉로39길 10,(지번) 공릉동 740,한식
5,STORE_NO00006,감동식당,서울 노원구 한글비석로47길 58 1층,(지번) 상계동 434-49,갈비
6,STORE_NO00007,강강술래 상계점,서울 노원구 동일로 1628 5층,(지번) 상계동 1025-4,"육류,고기"
7,STORE_NO00008,로니로티 노원점,서울 노원구 상계로 63-7 청우빌딩 2층 201호,(지번) 상계동 603-8,양식
8,STORE_NO00009,제일콩집,서울 노원구 동일로174길 37-8,(지번) 공릉동 633-18,두부전문점
9,STORE_NO00010,공릉본점닭한마리 본점,서울 노원구 동일로 1020,(지번) 공릉동 577-10,닭요리
10,STORE_NO00011,에그머니,서울 노원구 화랑로 421,(지번) 공릉동 683-14,양식
11,STORE_NO00012,크래버대게나라 노원점,서울 노원구 한글비석로 326 1층,(지번) 중계동 369-9,"게,대게"
12,STORE_NO00013,감각,서울 노원구 상계로 77 1층,(지번) 상계동 337,카페
13,STORE_NO00014,쪼매매운떡볶이 공릉점,서울 노원구 공릉로 208,(지번) 공릉동 208-18,떡볶이
14,STORE_NO00015,시드누아 노원본점,서울 노원구 상계로 84,(지번) 상계동 341-5,커피전문점
15,STORE_NO00016,털보고된이 본점,서울 노원구 노해로81길 22-22,(지번) 상계동 332-3,"해물,생선"
16,STORE_NO00017,어글리스토브 노원역점,서울 노원구 노해로81길 12-21 3층,(지번) 상계동 332-8,양식
17,STORE_NO00018,소문난멸치국수,서울 노원구 동일로173가길 81,(지번) 공릉동 571-16,국수
18,STORE_NO00019,경회루,서울 노원구 동일로 1005 지하1층,(지번) 공릉동 597-17,한정식
19,STORE_NO00020,왕십리조개창고 노원점,서울 노원구 상계로1길 38-11 우창프라자 2층 201호,(지번) 상계동 591-2,조개
20,STORE_NO00021,기찻길풍경야채곱창,서울 노원구 공릉로39길 21 1층,(지번) 공릉동 351-1,"곱창,막창"
21,STORE_NO00022,용순가재골수제비,서울 노원구 동일로242길 100 1층,(지번) 상계동 996-8,수제비
22,STORE_NO00023,삼덕식당,서울 노원구 상계로5길 9 1층,(지번) 상계동 354-6,"육류,고기"
23,STORE_NO00024,숟가락반상 마실 노원점,서울 노원구 노원로 412,(지번) 상계동 318-1,한식
24,STORE_NO00025,연어시장,서울 노원구 석계로 13,(지번) 월계동 63-5,회
25,STORE_NO00026,소담촌 노원역점,서울 노원구 상계로 90 마블러스1 2층,(지번) 상계동 341-7,샤브샤브
26,STORE_NO00027,풍미연,서울 노원구 노해로85길 7,(지번) 상계동 323-11,설렁탕
27,STORE_NO00028,원조이모네연탄불곱창,서울 노원구 동일로192길 46,(지번) 공릉동 392-2,"곱창,막창"
28,STORE_NO00029,땅코참숯구이 노원점,서울 노원구 노해로85길 15-5,(지번) 상계동 348-4,"육류,고기"
29,STORE_NO00030,무명칼국수,서울 노원구 석계로7길 4,(지번) 월계동 68-79,국수
30,STORE_NO00031,제형면옥 하계점,서울 노원구 공릉로65길 16,(지번) 하계동 115-5,냉면
31,STORE_NO00032,수락이오냉면 본점,서울 노원구 동일로237다길 7 1층,(지번) 상계동 1048-10,냉면
32,STORE_NO00033,핏짜굽는언니 공릉점,서울 노원구 동일로198길 58 1층,(지번) 공릉동 431-4,피자
33,STORE_NO00034,스시웨이 노원점,서울 노원구 동일로 1374,(지번) 상계동 749,"초밥,롤"
34,STORE_NO00035,해품장 팔팔장어 본점,서울 노원구 노원로 192,(지번) 하계동 69-8,장어
35,STORE_NO00036,72420 노원직영점,서울 노원구 동일로217가길 11 1층,(지번) 상계동 733-2,베트남음식
36,STORE_NO00037,수시로스시,서울 노원구 노원로 479 대광빌딩 1층,(지번) 상계동 401-17,"초밥,롤"
37,STORE_NO00038,아소코 공릉점,서울 노원구 동일로184길 53 1층,(지번) 공릉동 509-41,일식집
38,STORE_NO00039,상상과자점,서울 노원구 동일로186길 77-7,(지번) 공릉동 504-15,디저트카페
39,STORE_NO00040,바네하임,서울 노원구 공릉로32길 54 고려빌딩 1층,(지번) 공릉2동 240-19,"호프,요리주점"
40,STORE_NO00041,샛별제과,서울 노원구 상계로9길 23 101호,(지번) 상계동 397-4,디저트카페
41,STORE_NO00042,마들원,서울 노원구 공릉로62길 27-11,(지번) 하계동 180-1,한식
42,STORE_NO00043,스시노칸도 노원역점,서울 노원구 상계로3길 28 영빈빌딩 4층,(지번) 상계동 358-31,"초밥,롤"
43,STORE_NO00044,돈까스먹는용만이,서울 노원구 한글비석로20길 52,(지번) 중계동 140-42,"돈까스,우동"
44,STORE_NO00045,장천,서울 노원구 동일로217가길 11 2층 202호,(지번) 상계동 733-2,중화요리
45,STORE_NO00046,이춘복참치 노원직영점,서울 노원구 노해로85길 10-7,(지번) 상계동 324-5,참치회
46,STORE_NO00047,쭈꾸미킹 노원점,서울 노원구 상계로1길 34 뉴금오프라자 1층,(지번) 상계동 591-7,"해물,생선"
47,STORE_NO00048,우리집곱창 본점,서울 노원구 덕릉로123길 11,(지번) 상계동 65-2,"곱창,막창"
48,STORE_NO00049,호접몽,서울 노원구 중계로18길 9,(지번) 중계동 366-15,중화요리
49,STORE_NO00050,따미커피,서울 노원구 공릉로 120,(지번) 공릉동 644-24,커피전문점
50,STORE_NO00051,던모스,서울 노원구 공릉로27길 8 1층,(지번) 공릉동 320-107,카페
51,STORE_NO00052,풍성진감자탕,서울 노원구 노해로83길 10-11,(지번) 상계동 326-2,감자탕
52,STORE_NO00053,스타벅스 공릉DT점,서울 노원구 동일로 1015,(지번) 공릉동 597-34,커피전문점
53,STORE_NO00054,아웃백스테이크하우스 노원점,서울 노원구 동일로 1419,(지번) 상계동 711-12,패밀리레스토랑
54,STORE_NO00055,플랫커피,서울 노원구 공릉로39길 20 1층,(지번) 공릉동 349-8,커피전문점
55,STORE_NO00056,롤링파스타 노원역점,서울 노원구 상계로 70 화랑빌딩 2층 1호,(지번) 상계동 598-2,이탈리안
56,STORE_NO00057,위안바오,서울 노원구 동일로 1426,(지번) 상계동 693,중식
57,STORE_NO00058,위플랜트위커피,서울 노원구 동일로178길 59-39 2층,(지번) 공릉동 587-1,커피전문점
58,STORE_NO00059,멍텅구리즉석떡볶이 공릉점,서울 노원구 공릉로51길 14-2,(지번) 공릉동 439-2,떡볶이
59,STORE_NO00060,엄마손칼국수,서울 노원구 상계로39길 5,(지번) 상계동 111-478,국수
60,STORE_NO00061,참만나,서울 노원구 화랑로 443 디벨리움 3층,(지번) 공릉동 670-7,갈비
61,STORE_NO00062,엄마마늘보쌈,서울 노원구 석계로 16,(지번) 월계동 64-10,"족발,보쌈"
62,STORE_NO00063,일상다반,서울 노원구 동일로186길 77-17,(지번) 공릉동 504-28,일식집
63,STORE_NO00064,노원돈부리,서울 노원구 동일로 1343 동일프라자 101~103호,(지번) 상계동 763-7,일식
64,STORE_NO00065,시즌,서울 노원구 상계로3길 38-2 2층,(지번) 상계동 358-6,디저트카페
65,STORE_NO00066,DNJ레스토랑,서울 노원구 노원로 244 1층,(지번) 하계동 256-11,중화요리
66,STORE_NO00067,커피베스코,서울 노원구 상계로 55 2층,(지번) 상계동 693-3,커피전문점
67,STORE_NO00068,공릉동도깨비,서울 노원구 동일로178길 14,(지번) 공릉동 593-3,이탈리안
68,STORE_NO00069,제임스키친,서울 노원구 노해로81길 12-26 2층,(지번) 상계동 328-9,이탈리안
69,STORE_NO00070,썸머타이,서울 노원구 노해로77길 14-3 문화빌딩 1층,(지번) 상계동 710,태국음식
70,STORE_NO00071,표준커피,서울 노원구 공릉로 119-5 1층,(지번) 공릉동 589-21,카페
71,STORE_NO00072,이종구낙지세상,서울 노원구 중계로 90 우암타운 1층,(지번) 중계동 27,"해물,생선"
72,STORE_NO00073,카페드미셸,"서울 노원구 화랑로 441 미라쉘 1,2층",(지번) 공릉동 670-25,카페
73,STORE_NO00074,노원목고기집,서울 노원구 상계로 96,(지번) 상계동 349-24,"육류,고기"
74,STORE_NO00075,노원한우,서울 노원구 동일로218길 35,(지번) 상계동 725-3,"육류,고기"
75,STORE_NO00076,나승준함흥냉면,서울 노원구 상계로 97 위너스빌딩 1층 104호,(지번) 상계동 366-3,냉면
