,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,DB000001,STORE_DB00001,하누소 창동본점,16d9tp6,가지마 이거봤으면 가지마,1,2021.07.27.
1,DB000002,STORE_DB00001,하누소 창동본점,unrrni,고기 올려놓고 손님한테 구우라고 하고 화장실감 공기밥 달라고 세번 얘기해야 가져다줌 안익은 양파 먹으라고 올려줌 다른테이블은 후식 주시던데 저희 테이블은 까먹으신건지 후식 안챙겨줌  ,1,2021.07.25.
2,DB000003,STORE_DB00001,하누소 창동본점,qr530u,"구워주는 고기집에 고기를 올려놓고 화장실 가고.. 손님한테 구우라는 건 뭔가요? 그리고 후식은 일부러 안준건가? 우리 테이블만 안줬던데. 물달라고 세번, 그릇 달라고 두번. 한번에 나온건 반찬밖에 없네요? 고기랑 같이 찌개 달랬는데 다 먹고 나오고.. 달라고 서너번 해야 겨우 나옴. 찌개 다먹고 밥나옴. 직원 교육좀 시키세요..... 기분좋게 고기먹으러 왔...",1,2021.07.25.
3,DB000004,STORE_DB00001,하누소 창동본점,vel3rk,"이동네서는 대형음식점 갈데가 별로 없으니, 배짱식으로 장사하는 곳.  음식 중상, 위생 보통, 분위기 중상, 가격 중상.  (최상>우수>중상>보통>별로>최악)",2,2021.07.17.
4,DB000005,STORE_DB00001,하누소 창동본점,167lsjl,손님말 안듣는 직원들이 근무하는곳이네..,1,2021.07.17.
5,DB000006,STORE_DB00001,하누소 창동본점,10dg42d,우한폐렴~~,1,2021.07.13.
6,DB000007,STORE_DB00001,하누소 창동본점,1l0l30q,홈쇼핑에서 팩으로 사먹은 게 맛있어서 일부러 찾아갔는데 기분만 상하고 왔네요..  비싼 돈 주고 먹는데 직원분들도 불친절하시고 고기 양도 너무 적었어요 다시는 안 갈 것 같네요,1,2021.07.05.
7,DB000008,STORE_DB00001,하누소 창동본점,1eqj1ne,"변두리 이동네에선 마땅히 가족모임 갈만한 곳이 별로 없음. 그나마 여기가 나은데, 그래서그런지 아주 고자세로 배짱장사를 하는것 같음.",1,2021.06.22.
8,DB000009,STORE_DB00001,하누소 창동본점,1503frl,갈비탕.. 예전보다 양이 적어진거 같아요.,1,2021.03.29.
9,DB000010,STORE_DB00001,하누소 창동본점,1coohq6,"일부러 15,000원 짜리 명품갈비탕시켰는데... 그 큰 뚝배기에 달랑 작은 갈비3덩어리뿐 ;; 당황스러운 양이다 맛은 걍 갈비탕맛  주위에 경쟁하는 업소가 없나보다 ㅈ나게 불친철한건 덤",1,2021.03.28.
10,DB000011,STORE_DB00001,하누소 창동본점,t8rr58,명품갈비탕 양이 좀 적은 것 같습니다 주문한다고 바로 옆에서 말해도 못 들은 척 하십니다. 계산하고 잘 먹었습니다 해도 못 들은 척 합니다 대단하십니다.,1,2021.02.09.
11,DB000012,STORE_DB00001,하누소 창동본점,154i5qs,맛있지만 가격때문에 별3,3,2021.01.18.
12,DB000013,STORE_DB00001,하누소 창동본점,1eptpa5,헐~아직도 영업?,1,2020.12.26.
13,DB000014,STORE_DB00001,하누소 창동본점,12g2jql,푸짐한 갈비탕.,4,2020.11.06.
14,DB000015,STORE_DB00001,하누소 창동본점,12ok3uf,딱 가격이 비싼만큼 나오는곳 근데 왕갈비탕하고 명품갈비탕 반찬이 다름...? 피클절임 가지고 가격높은 갈비탕 유도좀 안했으면,2,2020.08.12.
15,DB000016,STORE_DB00001,하누소 창동본점,1b32gtd,NaN,5,2020.08.09.
16,DB000017,STORE_DB00001,하누소 창동본점,18ur2ke,NaN,2,2020.08.07.
17,DB000018,STORE_DB00001,하누소 창동본점,beo34r,내가쓴 평 지워버림!  어의없음 여기 하누소 뉴스에 나온 기사도 사라짐 참고하세요!  다시는 안간다  밑에 별5개짜리는 쓴사람들 평이 하누소평하나만 있음,1,2020.08.01.
18,DB000019,STORE_DB00001,하누소 창동본점,12nvkb8,강북에서 하누소 모르는 분 없을 정도로 유명하죠 음식도 맛있고 가족 행사있으면 연회장도 예약할 수 있고 딱이네요ㅎㅎ   ,5,2020.07.27.
19,DB000020,STORE_DB00001,하누소 창동본점,18srhql,창동 하누소 !! 입소문 난 만큼  괜찮더라고욤,5,2020.06.12.
20,DB000021,STORE_DB00001,하누소 창동본점,18sr7r7,하누소 갈비탕은 아이들이 좋아해서 시켜먹기도 하고 자주 애용하는곳입니다. 가족들이랑 외식하기 딱 좋은곳이예요~,5,2020.06.02.
21,DB000022,STORE_DB00001,하누소 창동본점,18nr409,오랫만에 생갈비 먹엇는데요. 일단 고기가 짱이네요. 역시 강북에서 최고네요. 다음 회사 회식에 강추입니다.,5,2020.05.26.
22,DB000023,STORE_DB00001,하누소 창동본점,18m2hhj,저번주 토요일에 가족들과 고기먹으러 갔는데 맛있고 친절하더라구요.. 배가 터지는데도 후식으로 냉면까지 먹고 왔네요ㅋㅋㅋ 6월말에 여기서 상견례 예약까지 하고 왔어요~,5,2020.05.24.
23,DB000024,STORE_DB00001,하누소 창동본점,toph04,맛있습니다~!  근데 직원들이  보기드물게 불친절하네요 .. ,1,2020.04.19.
24,DB000025,STORE_DB00001,하누소 창동본점,bqiegn,NaN,1,2020.03.27.
25,DB000026,STORE_DB00001,하누소 창동본점,164e71t,"아버지 팔순을 예약 잡았는데, 가장비싼 한정식으로 시켰는데 음식은 식어있고, 모듬회라는것은 말라있었다.그중 최악은 모듬해물 전골이라고 나온것이 세판중에서 한판이 게가 상해있어서 국물은 시금털털하고 게는 악취를 내는것이었다. 국물은 먹다 뱉고 게는 한입을 물자마자 상한 맛 때문에 뱉은 상황. 냄새만을 맡아도 악취가 났다.  총괄매니저라는분을 불러 따졌는데 이...",1,2020.02.10.
26,DB000027,STORE_DB00001,하누소 창동본점,uiqst9,가격표없고 나중에 계산할때 안창살 6만원 도둑놈들,1,2020.01.01.
27,DB000028,STORE_DB00001,하누소 창동본점,c5a7rl,2층에서 식사했는데 사람 많고 카운터 직원 불친절.,2,2019.12.27.
28,DB000029,STORE_DB00001,하누소 창동본점,h3o3vi,단체 뜨내기 손님 상대로 어떻게 뽕 뽑아야 되는지 진수를 보여줌.  개인적 경험으론 뽕 뽑는게 논산훈련소 앞 식당보다 심함,1,2019.12.13.
29,DB000030,STORE_DB00001,하누소 창동본점,n0525h,비싸고 맛없다 왜 사람들이 가는지 모르겠음 그돈이면 다른데서 맛있는거 사먹을 수 있을듯~ 완전 비추,1,2019.11.24.
