,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,DDM000001,STORE_DDM0001,광고동래복국 동대문점,qjajg0,최악임 27천원이나 하는 민어탕 맛이 없어 먹다 남겼음,1,2021.06.26.
1,DDM000002,STORE_DDM0001,광고동래복국 동대문점,17eigv0,NaN,4,2021.06.12.
2,DDM000003,STORE_DDM0001,광고동래복국 동대문점,16prq3m,회사 직원들이랑 복지리탕 먹었는데 간만에 제대로 된 점심 먹은것같네요 ㅎㅎㅎ 든든한 한끼 잘먹었습니다 ! 매장도 깔끔해서 나중에 또 먹으러가려구요~!,5,2021.04.12.
3,DDM000004,STORE_DDM0001,광고동래복국 동대문점,102o6lf,부모님이 좋아하시네요~ 잘먹고갑니다!!,5,2021.04.09.
4,DDM000005,STORE_DDM0001,광고동래복국 동대문점,v6f131,동대문에 이런 집이!! 맛있어요^^,5,2021.04.09.
5,DDM000006,STORE_DDM0001,광고동래복국 동대문점,152gohh,교통편리하고 주차지원되고 넓직해요 서빙해주신 직원 두분 다 반찬리필도 잘해주시고 계속 심부름시켰는데도 매우 친절하셨어요 마지막까지 과일과 커피까지 먹고나니 너무 배부르네요 추천합니다 ,5,2020.07.05.
6,DDM000007,STORE_DDM0001,광고동래복국 동대문점,16ujags,방으로 예약해도 직원들 쉬어야 된다고 홀 자리로 안내해주네요 아빠 생신이라 갔던 건데 홀 시끄럽고 기분도 상하고 코스요리 음식 맛도 전체적으로 별로였습니다,1,2020.06.20.
7,DDM000008,STORE_DDM0001,광고동래복국 동대문점,157p1he,복국은 시원해야되는데 시원하지가 않다 김밥천국에서 나온 복국같다  텁텁한 특유의 조미료맛도 남,2,2020.01.01.
8,DDM000009,STORE_DDM0001,광고동래복국 동대문점,1500goo,손님에게 예약처리 잘못하고 예약확인한 고객에게 8명좌석을 급조하며 하는말이 여기12인석이니 않아서 주문하세요... 죄송하다는 말한마디 없이 .... 사장에게 항의하니 바빠서 30팀 예약못받았단다...우린 예약황닌하고 멀리주차하고 버스타고 시간마추어 도착했는데 가족망년회완전 엉망되고 기분나쁜 상태되고 사과도못받고 그사장이나 점원이나 바뿌면 손님은 안보이고 돈...,1,2019.12.22.
9,DDM000010,STORE_DDM0001,광고동래복국 동대문점,m6784j,NaN,4,2019.10.22.
10,DDM000011,STORE_DDM0001,광고동래복국 동대문점,NaN,뚝배기 복국 시원한 맛이 덜해 아쉽습니다. 복껍질 무침이 맛있습니다.,2,2018.08.08.
11,DDM000012,STORE_DDM0001,광고동래복국 동대문점,NaN,NaN,3,2018.03.17.
12,DDM000013,STORE_DDM0001,광고동래복국 동대문점,NaN,NaN,5,2017.07.09.
13,DDM000014,STORE_DDM0001,광고동래복국 동대문점,NaN,해물을 좋아하진 않는데 동래복국은 너무 맛있어서 배터지게 먹고 왔어요!^^,5,2018.03.21.
14,DDM000015,STORE_DDM0001,광고동래복국 동대문점,NaN,복집이 많지않은데 음식맛이 훌륭하네요,5,2018.03.19.
15,DDM000016,STORE_DDM0001,광고동래복국 동대문점,NaN,얼마전에 다녀온 동래복집! 가족끼리 외식하기 정말 좋은 장소이네용! 굿굿 !!!,5,2018.03.16.
16,DDM000017,STORE_DDM0001,광고동래복국 동대문점,NaN,"복국에서 낚시바늘 나왔는데, 미안하긴 한데 낚시로 잡은 물고기니까 '좋게' 생각하고 넘어가라고 하는 곳...",1,2017.01.25.
17,DDM000018,STORE_DDM0002,광고에베레스트 커리월드레스토랑,15s8m8o,대한민국에서 먹은 커리중 단연 최고,5,2021.05.30.
18,DDM000019,STORE_DDM0002,광고에베레스트 커리월드레스토랑,1k3vmfq,"Chicken makhani ,butter naan &soju ^ very delicious food , you will find easily, attach visiting card ^^",5,2021.05.29.
19,DDM000020,STORE_DDM0002,광고에베레스트 커리월드레스토랑,16prq3m,종로갈때마다 항상 가는곳~! 너무 맛있어요!! 굿굿 사장님도 센스 만점 ㅎㅎ,5,2021.05.27.
20,DDM000021,STORE_DDM0002,광고에베레스트 커리월드레스토랑,1is2f4p,3인세트메뉴을 주문햇는데 탄두리치킨과 2종류의 커리와 2종류의 난 그리고 밥 라씨등등 너무 푸짐한 음식양에  놀라고 착한 가격에 한번더 놀란 식사시간이었다. 특히 플레인난과 라씨는 정말쵝오다~ 기회가 되어 동대문에 간다면 반드시 재방문하고싶은 맛집이다.,5,2021.04.23.
21,DDM000022,STORE_DDM0002,광고에베레스트 커리월드레스토랑,1ir5ond,치킨버터마살라 커리와 파니르난을 먹었는데 가격도 착하고 환상의 맛이라 아주 만족한 시간이었다. 동대문에가면 다시한번 들러고 싶은 맛집이다. 덕분에 즐거웠네요... 번창하세요~~^^,5,2021.04.22.
22,DDM000023,STORE_DDM0002,광고에베레스트 커리월드레스토랑,lvt76a,"저렴한 가격에 저렴한 재료에요  양고기커리의 고기는 씹기힘들고 닭고기는 비린내납니다,, ",1,2021.04.21.
23,DDM000024,STORE_DDM0002,광고에베레스트 커리월드레스토랑,as9r8a,쏘쏘데스네,4,2021.01.30.
24,DDM000025,STORE_DDM0002,광고에베레스트 커리월드레스토랑,9u8vpm,맛있게 먹었어요~~ 사장님도 친절하십니다,5,2021.01.30.
25,DDM000026,STORE_DDM0002,광고에베레스트 커리월드레스토랑,a84d6u,카카오추천 수도권 100선 맛집이라고해서  방문. 네팔식70/인도식30정도의 현지맛..  개인적으로 파키스탄에 오래 주재를해서  파키스탄/인도타입의 머튼커라이를 기대하고  갔는데 이태원과 동대문주변 다른집과  비교해서 그리 권하고 싶은마음은 없음.  특히 로띠(인도식으로는 난이라함)를 한장에2500원을 ..추가주문에 2500원.. 주사위 만한 큐빅양고기몇점...,2,2020.08.06.
26,DDM000027,STORE_DDM0002,광고에베레스트 커리월드레스토랑,14q1gj2,커리소스가 맛있어요 ㅎㅎ,5,2020.07.20.
