,place_code,ItemID,address,local,category
0,STORE_DDM0001,광고동래복국 동대문점,서울 종로구 종로 291,(지번) 창신동 695-1,복어
1,STORE_DDM0002,광고에베레스트 커리월드레스토랑,서울 종로구 종로 305 2층,(지번) 창신동 542,인도음식
2,STORE_DDM0003,나정순할매쭈꾸미,서울 동대문구 무학로 144,(지번) 용두동 119-20,"해물,생선"
3,STORE_DDM0004,어머니대성집,서울 동대문구 왕산로11길 4,(지번) 용두동 232-26,해장국
4,STORE_DDM0005,은하곱창,서울 동대문구 전농로15길 22,(지번) 전농동 295-48,"곱창,막창"
5,STORE_DDM0006,육전식당 본점,서울 동대문구 난계로30길 16,(지번) 신설동 104-3,"육류,고기"
6,STORE_DDM0007,성천막국수,서울 동대문구 답십리로48나길 2 1층,(지번) 답십리동 33-28,국수
7,STORE_DDM0008,할머니냉면,서울 동대문구 왕산로37길 51,(지번) 제기동 470,냉면
8,STORE_DDM0009,영화장,서울 동대문구 휘경로 3-8,(지번) 이문동 288-23,중화요리
9,STORE_DDM0010,즐거운맛돈까스,서울 동대문구 왕산로 15-1 2층,(지번) 신설동 76-36,"돈까스,우동"
10,STORE_DDM0011,일미간장게장 본점,서울 동대문구 장한로24길 7,(지번) 장안동 367-3,"게,대게"
11,STORE_DDM0012,원조홍릉각,서울 동대문구 약령시로 90,(지번) 제기동 838,중화요리
12,STORE_DDM0013,서울뼈구이매운족발,서울 동대문구 왕산로 274-1,(지번) 전농동 602-9,"족발,보쌈"
13,STORE_DDM0014,킹수제만두,서울 동대문구 한빛로 3 1층,(지번) 신설동 80-4,분식
14,STORE_DDM0015,광주식당,서울 동대문구 경동시장로2길 49-4,(지번) 청량리동 773,한식
15,STORE_DDM0016,혜성칼국수,서울 동대문구 왕산로 247-1,(지번) 청량리동 50-18,국수
16,STORE_DDM0017,이문동그집,서울 동대문구 이문로 195 1층,(지번) 이문동 255-380,"육류,고기"
17,STORE_DDM0018,여기가좋겠네,서울 동대문구 회기로21길 25,(지번) 회기동 16-10,닭요리
18,STORE_DDM0019,콘반,서울 동대문구 한천로26길 48-12 듀펠센터 1층,(지번) 장안동 390-3,아시아음식
19,STORE_DDM0020,나정순할매쭈꾸미,서울 동대문구 약령시로 65,(지번) 제기동 886-22,"해물,생선"
