,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,DJ000001,STORE_DJ00001,전주전집,bepcfe,NaN,5,2021.07.18.
1,DJ000002,STORE_DJ00001,전주전집,eq7jtg,포장했는데 너무 맛있어요 직원분들도 너무 친절하네요!! 전집은 무조건 여기로 가야겠어요.,5,2021.07.04.
2,DJ000003,STORE_DJ00001,전주전집,r8ca3s,전은 고만고만함 근데 장사마인드가 싸가지가 바가지네 술맛 떨어짐 진짜,1,2021.06.22.
3,DJ000004,STORE_DJ00001,전주전집,1attg59,"양도 많고, 맛도 있고, 거격도 저렴하고, 거기다가 친절하기까지 함!! 여기 사장님이 대인배임 멋지심!!",5,2021.06.15.
4,DJ000005,STORE_DJ00001,전주전집,nqkmnc,엄청 푸짐 양도 많고 맛도 있고,4,2021.05.02.
5,DJ000006,STORE_DJ00001,전주전집,ce17fl,개인적으로 잘 모르겠어요~! 그냥 막걸리 먹고 싶으면 2차 3차로 가볍게 하기 좋은듯? 내부는 깨끗한 편은 아니에요 ㅠㅠ 여자 화장실도 밖에있고... 유명하다해서 갔는데 그냥 평범했슴다~! 오래 아늑하게 있을 곳은 아님,2,2021.04.10.
6,DJ000007,STORE_DJ00001,전주전집,jtbjur,2번 갔는데 두번다 만족. 전 맛있고 양도 푸짐,4,2021.04.06.
7,DJ000008,STORE_DJ00001,전주전집,l3selb,재방문 의사 있어요,4,2021.03.26.
8,DJ000009,STORE_DJ00001,전주전집,8uto8m,NaN,2,2021.03.25.
9,DJ000010,STORE_DJ00001,전주전집,cvtipc,1년치 전 먹고싶으면 여기,3,2021.03.22.
10,DJ000011,STORE_DJ00001,전주전집,mvg03h,음... 생각보다...... 맛있다고는 평가하기가 애매한데~ 먹을 만 합니다~!,3,2021.02.17.
11,DJ000012,STORE_DJ00001,전주전집,fi95fk,"☆점수기준표☆ 별5개-일부러라도 간다 / 4개-맛있다! 자주 갈만하다 3개- 적당히 생각날때 한번씩간다 / 2개- 2번방문은 그닥? 1개- 이곳을 선택한 과거의 내가 밉다ㅠㅠ  무난하고 다양한 전, 막걸리를 즐길 수 있음",4,2021.01.10.
12,DJ000013,STORE_DJ00001,전주전집,1c5nsq7,직원들 서비스 마인드 빵점. . . 기분드러움,1,2021.01.08.
13,DJ000014,STORE_DJ00001,전주전집,18mbbom,장점: 분위기 좋음. 김치찌개 맛남 단점: 녹두전 덜익음. 바삭한 식감을 원했는데 전혀 없고... 감자전은 그나마 나은데 녹두전 정말 별로;,3,2021.01.03.
14,DJ000015,STORE_DJ00001,전주전집,muks0t,NaN,5,2020.12.20.
15,DJ000016,STORE_DJ00001,전주전집,9btctl,NaN,4,2020.11.13.
16,DJ000017,STORE_DJ00001,전주전집,tostbd,명절대목이여서 그런건지 포장해서 왔는데 생선 비린내가 심하고 동그랑땡의 고기함량이 적어 두부맛만 느꼐집니다.,2,2020.10.12.
17,DJ000018,STORE_DJ00001,전주전집,1cdckvn,맛은 있는데 불친절하고 화장실 최악. 자리도 너무 붙어있어서 사람 많으면 일행 목소리도 잘 안들림. 그래도 지금까지 먹어본 전집 중에 제일 맛있음.,4,2020.10.03.
18,DJ000019,STORE_DJ00001,전주전집,1b09bgs,NaN,5,2020.10.02.
19,DJ000020,STORE_DJ00001,전주전집,7nb3i2,"맛, 위생, 서비스 모두 최악",1,2020.09.22.
20,DJ000021,STORE_DJ00001,전주전집,1bjre4a,코로나 때문에 거리두기 한다고 1층은 엄청 띄엄띄엄 좌석배치하고 창문도 다 열어서 환기시키는 분위기. 1층에 자리 없다고 해서 2층 올라가보니 코로나 종식된줄 알았습니다. 옆테이블이랑 합석한듯한 테이블 간격에 창문도 없고 다닥다닥 붙어앉아 일행 대화소리도 안들릴정도로 시끄럽고 시장 한복판에 있는 느낌이었네요. 직원분이 1층에서 방문자 명단 받으면서 방역수칙...,1,2020.08.30.
21,DJ000022,STORE_DJ00001,전주전집,t859un,정말 최악!!!!!  절대 안감!!!!!!!!!!!!,1,2020.08.19.
22,DJ000023,STORE_DJ00001,전주전집,1b5ciku,별하나도 아까움. 사람들이 왜 많은지 도저히 이해안됨 테이블 다닥다닥 옆사람들과 합석한줄  또 들어가자마자 좌석 지정해줌 개짜증. 주문할때 모듬전은 흔해서 해물파전 시켰더니 바삭하지 않아 컨플레인에 환불요청들어오는데 괜찮겠냐면서 전으로 유도함 그래도 설마하며 시켰더니 냉동해물에 오징어는 질겅거리고 이럴꺼면 메뉴에서 아예 빼야하는거 아님?? 별다섯개들은 다 ...,1,2020.08.12.
23,DJ000024,STORE_DJ00001,전주전집,fmjc9e,대학생부터 다녔던곳인데 둘이먹으면 넘 많음(포장도해주심) 3-4인 가면 좋을듯,4,2020.08.11.
24,DJ000025,STORE_DJ00001,전주전집,etm20c,오래걸림,1,2020.08.08.
25,DJ000026,STORE_DJ00001,전주전집,d9mi05,너무 시끄럽고 사람 너무 많고 전은 빨리 나오긴 하는데 솔직히 찾아가서 먹을 만한 정도는 아니었다,2,2020.08.06.
26,DJ000027,STORE_DJ00001,전주전집,kam8kt,진짜 맛있음 기존에 알던 전은 전이 아닐정도로... 다만 사람이 너무많아서 포장하는걸추천...안에서먹기엔 정신없음,4,2020.08.06.
27,DJ000028,STORE_DJ00001,전주전집,bepf3f,*꼭 가야하는 이유: 막걸리에 전이 땡긴다면 가성비 나쁘지 않음  *굳이 안가도 되는 이유: 테이블 간격 극악. 아무리 술집이라도그렇지 너무 가깝고 다들 시끄러워서 대화 전혀 안됨.,2,2020.07.21.
28,DJ000029,STORE_DJ00001,전주전집,1228v5c,막걸리 종류 다양해서 좋아요 전도 맛있어요 둘이서 먹기에는 기본 세트 양이 엄청많아요!! 세트 구성 한 번 씩 바꿔주면 더 자주 갈 것 같아요 새우전 동그랑땡 깻잎전 추천!,3,2020.07.16.
29,DJ000030,STORE_DJ00001,전주전집,nj1lmm,완전 기분 나쁘게 먹는 곳,1,2020.07.04.
