,store_code,ItemID,address,local,category
0,STORE_DJ00001,전주전집,서울 동작구 동작대로7길 19,(지번) 사당동 1032-1,한식
1,STORE_DJ00002,서일순대국,서울 동작구 여의대방로24길 10-4,(지번) 신대방동 377-1,순대
2,STORE_DJ00003,시간을들이다,서울 동작구 국사봉5길 4 1층,(지번) 상도동 304-12,"제과,베이커리"
3,STORE_DJ00004,방배김밥,서울 동작구 동작대로27길 59-16,(지번) 사당동 127-27,분식
4,STORE_DJ00005,동작노을카페,"서울 동작구 동작대로 335 3,4층",(지번) 동작동 316-3,카페
5,STORE_DJ00006,스시로로,서울 동작구 동작대로23길 29,(지번) 사당동 1006-5,"초밥,롤"
6,STORE_DJ00007,광안리,서울 동작구 동작대로7길 5 1층,(지번) 사당동 1031-37,"해물,생선"
7,STORE_DJ00008,등나무집,서울 동작구 대림로 52,(지번) 신대방동 687-14,"육류,고기"
8,STORE_DJ00009,상남스시,서울 동작구 여의대방로24길 64 1층,(지번) 신대방동 361-50,"초밥,롤"
9,STORE_DJ00010,다래식당,서울 동작구 만양로2길 2,(지번) 상도동 17-61,한식
10,STORE_DJ00011,대성관,서울 동작구 여의대방로 204-1 1층,(지번) 대방동 384-7,중화요리
11,STORE_DJ00012,다독이네숯불구이,서울 동작구 노량진로 106-5 1층,(지번) 노량진동 40-34,"육류,고기"
12,STORE_DJ00013,조가네갑오징어 사당직영3호점,서울 동작구 남부순환로271길 24,(지번) 사당동 1041-5,"해물,생선"
13,STORE_DJ00014,카페퍼블리코 본점,"서울 동작구 상도로 47 헬로우빌딩 1,2층",(지번) 대방동 395-18,카페
14,STORE_DJ00015,페니힐스,서울 동작구 동작대로1길 10-14 1층,(지번) 사당동 1042-13,커피전문점
15,STORE_DJ00016,신온누리에 생돈까스전문점 대방점,서울 동작구 여의대방로24길 107,(지번) 대방동 407-27,"돈까스,우동"
16,STORE_DJ00017,초와밥,서울 동작구 동작대로5길 8,(지번) 사당동 1031-13,일식집
17,STORE_DJ00018,가마솥손두부,서울 동작구 남부순환로271길 20,(지번) 사당동 1041-7,두부전문점
18,STORE_DJ00019,요란한부엌,서울 동작구 사당로30길 126,(지번) 사당동 1032-8,퓨전요리
19,STORE_DJ00020,세녹,서울 동작구 사당로 304,(지번) 사당동 147-50,카페
20,STORE_DJ00021,닥터로빈 흑석점,서울 동작구 현충로 124 뉴지엄 1층,(지번) 흑석동 42-1,양식
21,STORE_DJ00022,노량해전,서울 동작구 만양로16길 4 1층,(지번) 노량진동 119-159,회
22,STORE_DJ00023,해물포차꼴통 1호점,서울 동작구 장승배기로 126,(지번) 노량진동 231-170,실내포장마차
23,STORE_DJ00024,소담촌 사당직영점,서울 동작구 동작대로 43 5층,(지번) 사당동 1030-20,샤브샤브
24,STORE_DJ00025,라시에스타,서울 동작구 동작대로 21 양지빌딩 6층,(지번) 사당동 1031-27,이탈리안
25,STORE_DJ00026,렁트멍,서울 동작구 장승배기로 26 아이파크상가 102호,(지번) 상도동 416,"제과,베이커리"
26,STORE_DJ00027,모스키친,서울 동작구 보라매로 91 1층,(지번) 신대방동 344-15,"돈까스,우동"
27,STORE_DJ00028,골든볼9 본점,"서울 동작구 노량진로14가길 11 지하1,2층",(지번) 노량진동 82,뷔페
28,STORE_DJ00029,원조부안집 이수점,서울 동작구 동작대로27가길 39,(지번) 사당동 147-69,"육류,고기"
29,STORE_DJ00030,오징어야,서울 동작구 만양로14길 9,(지번) 노량진동 119-150,"해물,생선"
30,STORE_DJ00031,운봉산장 참숯불양고기전문점,서울 동작구 장승배기로 118-1,(지번) 노량진동 309-18,"육류,고기"
31,STORE_DJ00032,뚜스뚜스 흑석역점,서울 동작구 현충로 75 1층,(지번) 흑석동 1-3,카페
32,STORE_DJ00033,기꾸참치,서울 동작구 남부순환로271길 14 2층,(지번) 사당동 1041-11,참치회
33,STORE_DJ00034,미스피츠,서울 동작구 동작대로3길 30 1층,(지번) 사당동 1032-48,햄버거
34,STORE_DJ00035,라화방 이수역점,서울 동작구 동작대로27길 22 2층,(지번) 사당동 139-36,중화요리
35,STORE_DJ00036,사리원,서울 동작구 상도로50길 2-15,(지번) 상도1동 244-1,한식
36,STORE_DJ00037,쿠우쿠우 보라매공원점,서울 동작구 보라매로5가길 16 보라매아카데미타워 7층,(지번) 신대방동 395-69,해산물뷔페
37,STORE_DJ00038,와우신내떡 노량진점,서울 동작구 만양로14가길 3,(지번) 노량진동 118-17,떡볶이
38,STORE_DJ00039,사이공리,서울 동작구 장승배기로 105 1층,(지번) 노량진동 312-43,베트남음식
39,STORE_DJ00040,팔팔낙지,서울 동작구 만양로18길 11,(지번) 노량진동 148-65,"해물,생선"
40,STORE_DJ00041,즉석손바지락칼국수,서울 동작구 상도로 77 1층,(지번) 대방동 335-15,국수
41,STORE_DJ00042,이든돈카츠,서울 동작구 만양로14다길 3,(지번) 노량진동 211-70,"돈까스,우동"
42,STORE_DJ00043,방배양곱창,서울 동작구 동작대로23길 27,(지번) 사당동 1006-6,"곱창,막창"
43,STORE_DJ00044,머치커피,서울 동작구 동작대로9길 43 1층,(지번) 사당동 1026-35,카페
44,STORE_DJ00045,펠어커피 상도점,서울 동작구 상도로41가길 12 1층,(지번) 상도1동 468-1,카페
45,STORE_DJ00046,마마부찌,서울 동작구 만양로14길 40,(지번) 노량진동 206-19,"찌개,전골"
46,STORE_DJ00047,호요,서울 동작구 동작대로13길 6-7 1층,(지번) 사당동 1008-10,일본식주점
47,STORE_DJ00048,닭발집,서울 동작구 장승배기로 123-1,(지번) 노량진동 308-18,닭요리
48,STORE_DJ00049,상도실내포장마차,서울 동작구 상도로 288,(지번) 상도1동 784-1,실내포장마차
49,STORE_DJ00050,이수회관,서울 동작구 동작대로27가길 40,(지번) 사당동 147-40,"해물,생선"
50,STORE_DJ00051,호우양꼬치 이수점,서울 동작구 동작대로27다길 9,(지번) 사당동 139-52,양꼬치
51,STORE_DJ00052,브레드덕,서울 동작구 상도동 529 두산위브1차 120동 102-1호,,"제과,베이커리"
52,STORE_DJ00053,사당양꼬치,서울 동작구 사당로30길 163,(지번) 사당동 1042-6,양꼬치
53,STORE_DJ00054,유정우함흥냉면,서울 동작구 동작대로29다길 7-1,(지번) 사당동 91-3,냉면
54,STORE_DJ00055,크라이치즈버거 숭실대점,서울 동작구 상도로61길 28 1층,(지번) 상도동 503-3,햄버거
55,STORE_DJ00056,상도곱창,서울 동작구 상도로 357,(지번) 상도동 488,"곱창,막창"
56,STORE_DJ00057,영빈관,서울 동작구 장승배기로19길 21,(지번) 노량진동 313-91,중화요리
57,STORE_DJ00058,디피스트,서울 동작구 동작대로27길 31 2층,(지번) 사당동 139-22,커피전문점
58,STORE_DJ00059,빕스 대방점,서울 동작구 노량진로 2,(지번) 대방동 341-3,패밀리레스토랑
59,STORE_DJ00060,100족발,서울 동작구 사당로30길 154,(지번) 사당동 1041-28,"족발,보쌈"
60,STORE_DJ00061,산천칡냉면전문,서울 동작구 사당로12길 2 2층,(지번) 사당동 250-7,냉면
61,STORE_DJ00062,골든볼9 메가스터디타워점,서울 동작구 노량진로 140 메가스터디타워 1층 106호,(지번) 노량진동 57-1,뷔페
62,STORE_DJ00063,가네끼스시,서울 동작구 보라매로5가길 16 보라매아카데미타워 2층,(지번) 신대방동 395-69,"초밥,롤"
63,STORE_DJ00064,카페모펀,서울 동작구 동작대로3길 6,(지번) 사당동 1031-26,카페
64,STORE_DJ00065,파니모들,서울 동작구 동작대로 153,(지번) 사당동 79-3,카페
65,STORE_DJ00066,상도늘보리 본점,서울 동작구 상도로26길 19,(지번) 상도동 367-6,"해물,생선"
66,STORE_DJ00067,72420 사당본점,서울 동작구 동작대로1길 50 1층,(지번) 사당동 1039-16,베트남음식
67,STORE_DJ00068,사당모소리,서울 동작구 사당로 243-5 1층,(지번) 사당동 323-4,"육류,고기"
68,STORE_DJ00069,정애맛담,서울 동작구 동작대로29나길 10 1층,(지번) 사당동 91-177,"떡,한과"
69,STORE_DJ00070,방배한가람김밥,서울 동작구 동작대로7길 55,(지번) 사당동 1040-2,분식
70,STORE_DJ00071,아웃백스테이크하우스 신대방점,서울 동작구 보라매로5가길 16 보라매아카데미타워 2층,(지번) 신대방동 395-69,패밀리레스토랑
71,STORE_DJ00072,신사펍 이수점,서울 동작구 동작대로 129 4층,(지번) 사당동 88-4,"호프,요리주점"
72,STORE_DJ00073,천하무족,서울 동작구 동작대로7길 74,(지번) 사당동 1038-27,"족발,보쌈"
73,STORE_DJ00074,역전할머니맥주 노량진점,서울 동작구 만양로 104,(지번) 노량진동 117-24,"호프,요리주점"
74,STORE_DJ00075,신짱스시,서울 동작구 상도로30길 8 2층,(지번) 상도동 170-26,"초밥,롤"
75,STORE_DJ00076,미소네,서울 동작구 동작대로7길 32,(지번) 사당동 1033-24,회
76,STORE_DJ00077,닌자초밥 노량진점,서울 동작구 노량진로 166,(지번) 노량진동 117-2,"초밥,롤"
