,store_code,ItemID,address,local,category
0,STORE_MP00001,광고바브로,서울 마포구 마포대로4다길 31 1층,(지번) 마포동 388-5,퓨전한식
1,STORE_MP00002,광고공덕삼교비,"서울 마포구 만리재로 3 1, 2층",(지번) 공덕동 255-9,삼겹살
2,STORE_MP00003,광고왕가밀 왕가본점,서울 마포구 도화길 24-1,(지번) 도화동 345-1,"육류,고기"
3,STORE_MP00004,프릳츠 도화점,서울 마포구 새창로2길 17,(지번) 도화동 179-9,디저트카페
4,STORE_MP00005,크레이지카츠,서울 마포구 포은로2나길 44,(지번) 합정동 391-5,"돈까스,우동"
5,STORE_MP00006,을밀대 본점,서울 마포구 숭문길 24,(지번) 염리동 147-6,냉면
6,STORE_MP00007,소금집델리 망원,서울 마포구 월드컵로19길 14 2층,(지번) 망원동 57-38,양식
7,STORE_MP00008,어글리베이커리,서울 마포구 월드컵로13길 73,(지번) 망원동 400-1,"제과,베이커리"
8,STORE_MP00009,땡스오트 연남점,서울 마포구 성미산로23길 68,(지번) 연남동 375-113,디저트카페
9,STORE_MP00010,어반플랜트,"서울 마포구 독막로4길 3 1,2층",(지번) 합정동 363-28,디저트카페
10,STORE_MP00011,미쁘동,서울 마포구 동교로38길 33-21 2층,(지번) 연남동 384-7,일식
11,STORE_MP00012,피오니 홍대점,서울 마포구 어울마당로 56 1층,(지번) 서교동 408-8,카페
12,STORE_MP00013,소이연남,서울 마포구 동교로 267,(지번) 연남동 229-67,동남아음식
13,STORE_MP00014,망원동즉석우동전문돈까스 본점,서울 마포구 동교로 83,(지번) 망원동 386-4,"돈까스,우동"
14,STORE_MP00015,연남토마 본점,서울 마포구 월드컵북로6길 61,(지번) 연남동 568-26,일식
15,STORE_MP00016,카와카츠,서울 마포구 동교로 126 1층 102호,(지번) 서교동 465-1,"돈까스,우동"
16,STORE_MP00017,역전회관,서울 마포구 토정로37길 47,(지번) 염리동 173-21,"불고기,두루치기"
17,STORE_MP00018,한강껍데기,서울 마포구 망원로 48-1,(지번) 망원동 416-33,"육류,고기"
18,STORE_MP00019,몽중헌 공덕점,서울 마포구 마포대로 92 공덕해링턴 스퀘어 A동 2층,(지번) 도화동 25-13,중화요리
19,STORE_MP00020,오레노라멘 합정본점,서울 마포구 독막로6길 14,(지번) 합정동 361-1,일본식라면
20,STORE_MP00021,경기떡집,서울 마포구 동교로9길 24,(지번) 망원동 378-7,"떡,한과"
21,STORE_MP00022,앤트러사이트 서교점,서울 마포구 월드컵로12길 11,(지번) 서교동 475-22,카페
22,STORE_MP00023,청어람 본점,서울 마포구 망원로 97 1층,(지번) 망원동 482-3,"곱창,막창"
23,STORE_MP00024,우와 1호점,서울 마포구 와우산로21길 21-16 202호,(지번) 서교동 364-10,철판요리
24,STORE_MP00025,진미식당,서울 마포구 마포대로 186-6,(지번) 공덕동 105-127,"게,대게"
25,STORE_MP00026,비파티세리 공덕점,서울 마포구 마포대로14길 4 1층,(지번) 공덕동 105-67,카페
26,STORE_MP00027,레이어드 연남점,서울 마포구 성미산로 161-4,(지번) 연남동 223-20,디저트카페
27,STORE_MP00028,이치젠,서울 마포구 포은로 109 1층 101호,(지번) 망원동 415-31,일식
28,STORE_MP00029,툭툭누들타이,서울 마포구 성미산로 161-8,(지번) 연남동 223-15,태국음식
29,STORE_MP00030,테이스티버거,서울 마포구 독막로 67-11 행운빌딩 1층,(지번) 상수동 317-2,햄버거
30,STORE_MP00031,연남서식당,서울 마포구 백범로2길 32,(지번) 노고산동 109-69,갈비
31,STORE_MP00032,최강금돈까스,서울 마포구 월드컵로3길 31-30,(지번) 합정동 388-15,"돈까스,우동"
32,STORE_MP00033,포비 합정점,서울 마포구 양화로3길 66,(지번) 합정동 426-18,카페
33,STORE_MP00034,정돈,서울 마포구 어울마당로 46 1층,(지번) 서교동 408-26,"돈까스,우동"
34,STORE_MP00035,앤트러사이트 합정점,서울 마포구 토정로5길 10,(지번) 합정동 357-6,커피전문점
35,STORE_MP00036,마포원조떡볶이,서울 마포구 도화2길 3 1층,(지번) 도화동 345-4,떡볶이
36,STORE_MP00037,도꼭지,서울 마포구 백범로10길 30 1층,(지번) 신수동 36-3,한식
37,STORE_MP00038,스케줄 합정점,서울 마포구 양화로6길 33,(지번) 서교동 394-17,이탈리안
38,STORE_MP00039,마포진짜원조최대포 본점,서울 마포구 마포대로 112,(지번) 공덕동 255-19,"육류,고기"
39,STORE_MP00040,진짜파스타,서울 마포구 와우산로 64 전원빌딩 2층 202호,(지번) 상수동 86-22,이탈리안
40,STORE_MP00041,진진 본관,서울 마포구 잔다리로 123,(지번) 서교동 469-67,중화요리
