review_code,place_code,ItemID,UserID,review,Rating,Timestamp
SDM000001,STORE_SDM00001,광고사조미가,8ugcmg,"부모님과 함께 갔는데 분위기, 맛, 친절 모두모두 좋았습니다. 특히나 개별 룸으로 다 되어 있어서 코시국에 너무 좋았어요. 정겨운 코스(35,000원) 먹었는데 음식 하나하나 다 맛있었습니다. 다음에 또 갈게요!!",4,2021.08.06.
SDM000002,STORE_SDM00001,광고사조미가,qpi889,"음식은 전반적으로 만족하고요, 공휴일 주류/음료 서비스는 ‘주말’로 바꾸세요. 주말 아닌 공휴일에 갔다가 빈정상함",4,2021.05.19.
SDM000003,STORE_SDM00001,광고사조미가,1jht74t,요즘 코로나로 식당에서 음식먹기도고민이되긴 하더라구요 근데 여기는 개별 룸이어서 좋았어요 정갈한 한상~! 음식 깔끔하면서 건강한느낌! 만족하면서 먹었어요 ㅎㅎㅎ,5,2021.05.13.
SDM000004,STORE_SDM00001,광고사조미가,1fbjhqu,한정식인데 회가 나오더라고요  근데 수산물 한정식이라고 하더군요 음식이 깔끔해서 좋았고 백김치가 넘 맛나서 여러번 추가했어요 더욱더 단독범이라고 좋았어요,5,2021.05.11.
SDM000005,STORE_SDM00001,광고사조미가,8t4d82,개별 룸으로 되어있어 독립된 공간에서 식사하니 분위기도 좋고 음식도 정갈하고 깔끔하니 맛있었습니다. 사장님 인상도 좋으시고 직원들도 친절하시고 기분좋은 시간을 보냈습니다. 다음에 또 방문하겠습니다~~^^ ,5,2021.05.11.
SDM000006,STORE_SDM00001,광고사조미가,1g90vvb,딸생일에 밥먹을곳 찾던중 사조미가한정식! 개별룸이어서 좋았고 코스요리에 싱싱한회도좋았고 밥반찬의 짱아찌도 좋았고 서빙언니들의 미소도 좋았어요~,5,2021.05.11.
SDM000007,STORE_SDM00001,광고사조미가,12j0r06,서대문 맛집 검색에 나오길래.. 평가글도 나쁘지않아 일부러 택시까지 타고 찾아가 생일 점심 식사를 했는데..   두세 젓가락 떠먹고 나온 음식들이 영 아니다 싶었습니다.. 평가에 잡채가 맛있다고 하던데 그 잡채는 팅팅 불어있고 면도 여러가닥이 붙어있고..ㅜㅜ 음식은 뜨겁지도 차지도 않고.. 튀김강정같은것은 먹다 질겨 살짝 뱉어내야할정도였구여.. 멀리서 바쁜...,1,2021.04.30.
SDM000008,STORE_SDM00001,광고사조미가,1g9kj56,굴비 정식을먹었는데 살도 통통해서 좋았어요  반찬도 넘 맛있어서  추가했습니다,5,2021.02.06.
SDM000009,STORE_SDM00001,광고사조미가,1g9k98c,저번에 친구들이랑 왔는데  음식도 맛있고  푸짐하게 주셔서 오늘 아들과 또 찾아왔습니다  서빙언니도 넘 친절해서 좋았어요  다음에도 갈거예요,5,2021.02.06.
SDM000010,STORE_SDM00001,광고사조미가,boru1a,"개별룸인거 말고는 크게 장점이 없음 음식맛도 그럭저럭, 전자레인지 데펴나오고 직원도 불친절",2,2021.01.24.
SDM000011,STORE_SDM00001,광고사조미가,k0h5lb,개별룸이라 모임에 적당합니다. 맛은 간이 슴슴하니 깔끔합니다. 그렇다고 기억에 남는 맛은 아니고... 그냥 적당한 맛.,3,2020.12.15.
SDM000012,STORE_SDM00001,광고사조미가,qsjkq0,평범,3,2020.08.16.
SDM000013,STORE_SDM00001,광고사조미가,15vbg4h,개별룸이 큰 장점인 듯~ 친구들하고 시간이 맞아서 들렸는데 음식도 맛있고 오랫동안 이야기도 편하게 하고 왔어요~~,5,2020.08.09.
SDM000014,STORE_SDM00001,광고사조미가,164bgqg,음식도 깔끔하고 룸이라서 더 좋았어요 ,5,2020.08.02.
SDM000015,STORE_SDM00001,광고사조미가,16r5hgf,룸이있어 가족하고 먹기좋네요 무엇보다 음식이 정갈하고 직원분들이 친절해서 좋았어요,5,2020.07.30.
SDM000016,STORE_SDM00001,광고사조미가,v7o8el,정겨운으로 했는데... 인스탄트 먹은 느낌.. 룸을 주는게 그나마 장점,2,2020.07.21.
SDM000017,STORE_SDM00001,광고사조미가,194edan,가족모임 다녀왔습니다 지난번에 부모님 모시고 고기 먹으러 경** 한정식 가서 뭔가 조금 아쉬운게 있었는데;;; 이곳 사조미가에서 정말 깔끔하고 맛있게 먹었습니다 직원분들도 친절하셔서 기분좋은 가족모임이 되었네요 특히 부모님이 나오시면서 정말 맛있게 드셨다고 하니 정말 뿌듯했습니다~~^^ 부모님이 정말정말 좋아하셔서 평가까지 하게 됐네요^^,5,2020.06.12.
SDM000018,STORE_SDM00001,광고사조미가,159v6i9,반찬과 메인 음식 모두 너무 맛있네요~ㅎㅎ 친구들이랑 와봤는데 다음엔 부모님도 모시고 와야겠네요!! 너무 만족하고 잘 먹고갑니다~,5,2020.04.12.
SDM000019,STORE_SDM00001,광고사조미가,17ni60l,깔끔하고 정성이 가득한 음식들을 먹는 기분을 느낄 수 있는 곳!! 맛도 좋고 모두 친절하세요:) 가족외식으로도 추천하고 싶어요,5,2020.04.12.
SDM000020,STORE_SDM00001,광고사조미가,1647jrg,손님접대하기 좋은한정식집 가격저렴하고 맛도깔끔~~^^  매우만족해서 좋았슴~~~,4,2020.02.13.
SDM000021,STORE_SDM00001,광고사조미가,16463ga,음식이 깔끔하고 서비스도 좋았어요,4,2020.02.10.
SDM000022,STORE_SDM00001,광고사조미가,1647iof,NaN,4,2020.02.10.
SDM000023,STORE_SDM00001,광고사조미가,163haam,외국에서 오신 친정식구 가족모임으로 갔는데 대만족이었어요. 음식도 깔끔하고 맛있었고 서비스가 최고였어요. 음식 종류가 다양해 같이 간 외국인에게 한국음식도 알릴수 있었어요. 특히 홀서비스하시는 분들 가족모임이라 요구사항도 많았는데 귀찮아하지 않으시고 친절하게 해주셨어요. ,5,2020.02.09.
SDM000024,STORE_SDM00001,광고사조미가,13r9hco,전 괜찮았는데... 리뷰에 별점 1개 짜리가 많아서 조마조마했는데.. 한정식집인데 회도 괜찮았고 기본적으로 나오는 반찬들도 맛있어서 2번이나 리필했어요 ㅎ 특히 저는 백김치가 시원하고 깔끔해서 좋았습니다!,5,2020.02.08.
SDM000025,STORE_SDM00001,광고사조미가,1632m7b,어제 직원들과 회식한후 만족도가 높아 글을 올립니다. 단독룸이있어 자유롭게 의사소통이 가능했습니다. 음식도 좋고 가격도 만족합니다.단체 모임을 강추합니다.,5,2020.02.08.
SDM000026,STORE_SDM00001,광고사조미가,1632ev3,좋아요,4,2020.02.08.
SDM000027,STORE_SDM00001,광고사조미가,1632ags,와 대박~~정말 정말 맛있어요!!! 정말 깨끗하고 반찬리필도 잘 해주시고 온가족들이 맛있어하네요~담에도 꼭꼭 와야겠어요!!!!!!!,5,2020.02.08.
SDM000028,STORE_SDM00001,광고사조미가,139vqln,"행복한 코스를 주문했는데 메뉴에 써있던 음식들이 아니라 그냥 있는 재료로 만든 음식들이 나옴. 홍어삼합, 해물신선로, 대하구이 안 나오고 그냥 주방에 남은 재료로 대충 만든 다른 음식이 나옴. 미리 양해를 구하는 것도 없고 맘대로 다른 음식 줘 놓고 계산할 때 이야기했더니 그래서 대신 그거 드렸잖아요 그래서 대신 그게 나간거에요 하고 사과 한마디 없이 아주...",1,2020.02.08.
SDM000029,STORE_SDM00001,광고사조미가,1628029,상견례자리로 갔는데 평이 쏘쏘라 기대 안했는데 생각보다 만족하고옴 깔끔하고 맛도 괜찮고 양도 적당. 한정식집 양이야 원래 산처럼 쌓아주지 않으니까~ 제일 비싼 세트?시켰는데 어른들도 음식 잘나오는 편이라고 잘 드시고 생소한 음식이 많았는데 먹어보니 다 맛있어서 다먹고 더 시키면 리필?해주심 자주는 못가겠지만 그돈주고 갈만함,4,2020.02.07.
SDM000030,STORE_SDM00001,광고사조미가,o44dar,넓고 깨끗함. 음식 맛있고 여러가지 종류가 나와서 좋았음~ ,5,2020.02.07.
SDM000031,STORE_SDM00001,광고사조미가,7km8f2,NaN,1,2019.12.22.
SDM000032,STORE_SDM00001,광고사조미가,lglssj,항복한코스였는데..  양이 적으면 질이라도.. 많이 아쉬웠습니다.,1,2019.12.08.
SDM000033,STORE_SDM00001,광고사조미가,bqqsdh,다양하게 음식을 주는 것 보다 1가지라도 제대로 맛있게 주는게 나을거 같아요^^,1,2019.09.14.
SDM000034,STORE_SDM00001,광고사조미가,btm5qv,비싸고 맛없다.  추가하면 음식에 성의가 없다. 아침에 다 담아놓은거 티나고 음식이 차갑다.  정성이 없다.,1,2019.04.19.
SDM000035,STORE_SDM00001,광고사조미가,kk0kc4,깔끔하게 나오는 상차림 좋았어요 가족모임하기 촣네요,5,2019.01.05.
SDM000036,STORE_SDM00001,광고사조미가,NaN,"잡채는 기름쩔은 냄새 냉채류, 연어요리는 다 샐러드로 나오고 전유화는 식어빠진 전으로 호박이랑 브로콜리? 계절탕은 맛도 모호한 누룽지탕 오리고기는 식고 굳은채로 떡갈비는 잘 안뭉쳐져 뚝뚝,  비계덩이 대놓고 나오고 최악은 홍어삼합, 고기는 마를대로 마르고 홍어는 먹다남은 세점 모은듯. 참을까 했지만 절대 못참겠다.",1,2018.10.11.
