,store_code,ItemID,address,local,category
0,STORE_SDM00001,광고사조미가,서울 서대문구 통일로 107-39 사조빌딩 2층,(지번) 충정로2가 157,한정식
1,STORE_SDM00002,광고더풍년,서울 서대문구 독립문로 31-11,(지번) 옥천동 67-3,"호프,요리주점"
2,STORE_SDM00003,광고장호왕곱창,서울 중구 서소문로 83,(지번) 순화동 6-16,"곱창,막창"
3,STORE_SDM00004,목란,서울 서대문구 연희로15길 21,(지번) 연희동 132-28,중식
4,STORE_SDM00005,만동제과,서울 서대문구 연희로 32,(지번) 창천동 448,"제과,베이커리"
5,STORE_SDM00006,카덴 연희본점,서울 서대문구 연희로 173 거화빌딩 1층,(지번) 연희동 81-1,일식
6,STORE_SDM00007,한옥집김치찜 서대문본점,서울 서대문구 통일로9길 12 1층,(지번) 냉천동 20-1,한식
7,STORE_SDM00008,신촌형제갈비,서울 서대문구 명물1길 2,(지번) 창천동 31-26,갈비
8,STORE_SDM00009,콘하스 연희점,서울 서대문구 연희로27길 99,(지번) 연희동 90-1,카페
9,STORE_SDM00010,앤트러사이트 연희점,서울 서대문구 연희로 135,(지번) 연희동 89-19,커피전문점
10,STORE_SDM00011,피터팬1978 본점,서울 서대문구 증가로 10 연궁빌딩 1층,(지번) 연희동 90-5,"제과,베이커리"
11,STORE_SDM00012,시오 연희본점,서울 서대문구 연희로11가길 23 1층,(지번) 연희동 190-4,일식집
12,STORE_SDM00013,철길떡볶이,서울 서대문구 충정로 35-6,(지번) 충정로3가 143-2,떡볶이
13,STORE_SDM00014,락희안 명지대본점,"서울 서대문구 가재울로4길 53 1, 2층",(지번) 남가좌동 336-20,중화요리
14,STORE_SDM00015,연희동칼국수 본점,서울 서대문구 연희맛로 37,(지번) 연희동 132-29,국수
15,STORE_SDM00016,매뉴팩트커피 연희본점,서울 서대문구 연희로11길 29,(지번) 연희동 130-2,카페
16,STORE_SDM00017,정육면체,서울 서대문구 연세로5다길 22-8 1층 101호,(지번) 창천동 62-18,퓨전요리
17,STORE_SDM00018,어머니와아들,서울 서대문구 홍은중앙로 100-1 1층,(지번) 홍은동 9-86,한식
18,STORE_SDM00019,더파이홀,서울 서대문구 연세로5나길 20,(지번) 창천동 57-61,디저트카페
19,STORE_SDM00020,신촌황소곱창 신촌본점,서울 서대문구 연세로9길 31 1층,(지번) 창천동 52-148,"곱창,막창"
20,STORE_SDM00021,또보겠지떡볶이집 신촌히어로점,서울 서대문구 연세로4길 19 2층,(지번) 창천동 13-33,떡볶이
21,STORE_SDM00022,라구식당,서울 서대문구 연세로 42-24,(지번) 창천동 2-44,이탈리안
22,STORE_SDM00023,원조부안집 서대문점,서울 서대문구 통일로9안길 22 1층,(지번) 냉천동 184-29,"육류,고기"
23,STORE_SDM00024,가타쯔무리,서울 서대문구 명지대길 72,(지번) 남가좌동 8-25,"돈까스,우동"
24,STORE_SDM00025,맛있는집,서울 서대문구 거북골로20길 55 지하1층,(지번) 북가좌동 311-6,분식
25,STORE_SDM00026,연경 연희점,서울 서대문구 연희로 145,(지번) 연희동 86-15,중화요리
26,STORE_SDM00027,복성각,서울 서대문구 명물1길 24,(지번) 창천동 31-8,중화요리
27,STORE_SDM00028,수빈,서울 서대문구 연희로25길 31-3,(지번) 연희동 81-23,한정식
28,STORE_SDM00029,연희김밥 본점,서울 서대문구 연희로11가길 2,(지번) 연희동 129-3,분식
