,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,GS000001,STORE_GS00001,광고양송곱창,uj4gf0,"재방문입니다~ 곱창은 언제나 정답이기에, 믿고 가봤는데, 비쥬얼 대박!!. 양파랑 부추를 옆에 같이 구워서 먹었는데 굳굳! 저는 추천입니다",5,2021.06.15.
1,GS000002,STORE_GS00001,광고양송곱창,g2aho0,그냥 그랬음… 심지어 가격도 많이 비쌈… 양도 적었음… 친구들이 추천해줘서 갔는데 난 잘 모르겠당 ㅠㅜ,3,2021.06.08.
2,GS000003,STORE_GS00001,광고양송곱창,v6nnle,"한번 가본 사람들만 안다는 최고의 맛집,, 반찬도 너무 맛있고 특히 곱창 질이 너무 좋아 담백함의 끝판... 볶음밥은 말할것도 없고~ 사장님도 너무 친절하시고 ㅎㅎ 최애 곱창집으로 인정합니다",5,2021.06.04.
3,GS000004,STORE_GS00001,광고양송곱창,17skkc7,곱창 완추완추 볶음밥도 완추완추,5,2021.06.04.
4,GS000005,STORE_GS00001,광고양송곱창,vg6pb1,여기는 깔수가없음. 리얼 찐맛집임...,5,2020.10.12.
5,GS000006,STORE_GS00001,광고양송곱창,vvgntg,넘 존맛임... 깸놀... 근데 모듬 보다는 곱창만 시키는 것이 날듯!!,4,2020.10.08.
6,GS000007,STORE_GS00001,광고양송곱창,vq7i6r,최고임,5,2020.07.25.
7,GS000008,STORE_GS00001,광고양송곱창,17am9vc,곱창 너무 맛있어요. 적당한 기름기에 쫄깃하니 정말 맛있었어요!ㅠㅠ 다음에 또 오고 싶은 집~,5,2020.07.16.
8,GS000009,STORE_GS00001,광고양송곱창,19ua6op,NaN,5,2020.07.16.
9,GS000010,STORE_GS00001,광고양송곱창,124bhhs,시원하게 병맥한잔씩 하고 구이먹다가 소주로 가면서 전골시키면 끝임. 진짜 그렇게 밥까지 볶아먹고 나오면 하루를 보상받는 기분!!,5,2020.07.15.
10,GS000011,STORE_GS00001,광고양송곱창,140p2rj,"곱창 완전 쫄깃하고 육즙 가득한게 짱입니당 ㅎㅎ 맛있게 잘 먹고 왔어욤~ 비린내도 안나고!! 친구랑 곱창, 대창, 염통까지 클리어했습니당~!! 술안주로 짱짱ㅎㅎ",5,2020.07.01.
11,GS000012,STORE_GS00001,광고양송곱창,l7p3m1,NaN,5,2020.06.30.
12,GS000013,STORE_GS00001,광고양송곱창,16r58m1,인터넷 보구 맛나다해서 세명이서 찾아  갔는데 한명이 다른데서 밥을 먹고와서 곱창 먹구 볶음밥 먹을려구  2인분만 달라고 했더니 곱창 추가 안되니 시킬려면 지금 시켜야된다 그러고는 좀 있다 다시와서 또 얘기 하길래  모듬1인분 하고 곱창 2인분 시킴 곱창 나오고 익혀져서 나온거니 납작한 것부터 먹으래서 먹었는데 와 소 누린네가 살다살다 이정도 누린네 첨맡아...,1,2020.03.09.
13,GS000014,STORE_GS00001,광고양송곱창,n0n9sv,별이 마이너스는 없는게 아쉽 맛있다고 해서 멀리서 찾아갔는데 대존망ㅜ 셋이 가서 모듬하나랑 곱창하나 시켜서 먹어보고 맛있는거 추가할랬는데 이모가 나중엔 곱창추가 어려울수있다고 계속말해서 3개시키라는건가보다하고 그냥 모듬하나 곱창두개 시키고 기대하고 있었음 곱창이 한상맛있어보이게 나왔고 첨에 옆에서 구워주시면서 염통이랑 무슨 막창닮았는데 막창보단 얇은 유창인...,1,2020.03.09.
14,GS000015,STORE_GS00001,광고양송곱창,10ue9f1,뭐 시간대나 요일에 서비스의 차이는 있을 수도 있겠지만 저는 동네 주민으로 저녁에 한번씩 가는데 제 지인들 중 안가본 사람들 돌아가면서 데려갈 정도로 맛있는 곱창 맛집이에요. 주말 저녁에 가도 오래 기다려 본적 없고 학생들이 많이 와서 그런지 이모님들이 말도 잘 붙여주시고 진짜 친절하세요. 암튼 좋아하는 1인으로서 응원글 남깁니다~ (추가로 옆에 황*곱창이...,5,2019.07.10.
15,GS000016,STORE_GS00001,광고양송곱창,bvpgth,일단젊은사장님. 친절하고. 직원 누님도. ㅋ. 가장.맛나게. 행복하게 .먹음,5,2018.11.02.
16,GS000017,STORE_GS00001,광고양송곱창,lu3b0g,엿같은게 자리에 앉아서 1시간 넘게 기다려야 나옵니다. 도대체가 생각이 있는건지 없는건지 준비 시간이 길어져서 기다려야 한다고 말이라도 하든가 지네들 인원 감축하고 이윤 높이는 대신에 손님들 뱃가죽이 등에붙고 인내심 테스트시키는 그런 몰상식한 집입니다. 그리고 인원이 부족하니까 지네들 바빠질테고 그러다보니 직원들 하나같이 싸가지 밥말아먹음. 심지어 눈 크게...,1,2018.06.16.
17,GS000018,STORE_GS00001,광고양송곱창,7o3mqm,너무 오래기다림 ......... 정신없어서  불친절까지...최악,1,2018.06.12.
18,GS000019,STORE_GS00002,광고1983영웅고기,upk4c8,갈때마다 너무 만족스럽게 먹네요  직원분들 너무 친절하시고 덕분에 즐거운 회식 했어요 감사해용 ㅎㅎ,5,2021.07.14.
19,GS000020,STORE_GS00002,광고1983영웅고기,1g69sug,맛있는 고기집,5,2021.06.29.
20,GS000021,STORE_GS00002,광고1983영웅고기,tejjdd,자주 가는 식당인데 오늘도 저녁 완전 맛있게 먹고 왓네요 냉삼치곤 두께도 있는편이라 더 만족해요 완전 추천합니다~~^^,5,2020.12.07.
21,GS000022,STORE_GS00002,광고1983영웅고기,uvdopr,마곡에서 일하는 친구가 맛있다고 데려가줬는데 진짜 찐맛집입니다. 올해 가본 고기집 중에서 제일 만족도 높았어요~,5,2020.12.07.
22,GS000023,STORE_GS00002,광고1983영웅고기,v71p7q,저녁시간까지 야근 후에 배고픈 배를 채우기 위해 오랜만에 고기집 다녀왔는데 냉삼 존맛탱이네요 ~~ 가성비 짱짱 또 올게유!,5,2020.12.07.
23,GS000024,STORE_GS00002,광고1983영웅고기,upk670,오랜만에 친구들이랑 냉삼 먹으러 다녀왔는데 양도 많고 직원분들도 친절하시네요^^ 번창하세요!,5,2020.12.07.
