,store_code,ItemID,address,local,category
0,STORE_GS00001,광고양송곱창,서울 강서구 공항대로46길 56,(지번) 화곡동 1116,"곱창,막창"
1,STORE_GS00002,광고1983영웅고기,서울 강서구 마곡중앙5로1길 20,(지번) 마곡동 365-15,"육류,고기"
2,STORE_GS00003,광고풍천황토민물장어,서울 강서구 양천로 410 108호,(지번) 가양동 54-5,장어
3,STORE_GS00004,고양이정원,서울 강서구 개화동로19길 18 1층,(지번) 개화동 559-49,고양이카페
4,STORE_GS00005,영양족발순대국,서울 강서구 초록마을로2길 48 화곡본동시장 가-3호,(지번) 화곡동 98-154,순대
5,STORE_GS00006,금고깃집 마곡본점,"서울 강서구 마곡동로 61 에이스프라자 109호, 203~205호",(지번) 마곡동 727-595,"육류,고기"
6,STORE_GS00007,유림 가양본점,서울 강서구 양천로61길 90,(지번) 염창동 5-17,닭요리
7,STORE_GS00008,키누카누 발산점,"서울 강서구 공항대로 247 퀸즈파크나인 지하1층 103,104호",(지번) 마곡동 797-1,뷔페
8,STORE_GS00009,조연탄,서울 강서구 곰달래로60길 29,(지번) 화곡동 782-12,"육류,고기"
9,STORE_GS00010,강원도고성막국수,서울 강서구 방화대로49길 6-7,(지번) 방화동 323-6,국수
10,STORE_GS00011,공항칼국수,서울 강서구 공항대로 18-1,(지번) 공항동 49-2,국수
11,STORE_GS00012,무한야끼,서울 강서구 마곡중앙6로 42 사이언스타 212호,(지번) 마곡동 727-1062,"육류,고기"
12,STORE_GS00013,타르데마베이커리,서울 강서구 강서로46길 9 1층,(지번) 내발산동 702-22,"제과,베이커리"
13,STORE_GS00014,백제원 등촌점,서울 강서구 공항대로 367 3층,(지번) 등촌동 661-12,한정식
14,STORE_GS00015,도일처,서울 강서구 개화동로 567,(지번) 방화동 621-19,중화요리
15,STORE_GS00016,꾸이꾸이돼지촌쭈꾸미,서울 강서구 초원로 77,(지번) 방화동 247-10,"육류,고기"
16,STORE_GS00017,등촌칼국수,서울 강서구 화곡로64길 68 1~3층,(지번) 등촌동 654-95,국수
17,STORE_GS00018,옥소반 마곡본점,서울 강서구 마곡중앙6로 45 리더스퀘어 1층 119호,(지번) 마곡동 727-593,일식집
18,STORE_GS00019,마부자생삼겹살김치찌개,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호,(지번) 마곡동 367-3,삼겹살
19,STORE_GS00020,발산삼계탕,서울 강서구 강서로 344,(지번) 내발산동 657-1,삼계탕
20,STORE_GS00021,띠아낭,서울 강서구 화곡로64길 72,(지번) 등촌동 654-5,베트남음식
21,STORE_GS00022,봉이밥,서울 강서구 마곡중앙로 171 안강프라이빗2차 1층 103호,(지번) 마곡동 287-1,한식
22,STORE_GS00023,목동분식,서울 강서구 강서로45라길 36,(지번) 내발산동 720,분식
23,STORE_GS00024,뚜스뚜스 등촌점,서울 강서구 공항대로45길 92 1층,(지번) 등촌동 629-7,카페
24,STORE_GS00025,원조수구레,서울 강서구 양천로26길 10-6,(지번) 방화동 179-14,한식
25,STORE_GS00026,긴꼬리초밥,서울 강서구 공항대로 269-15 2층 201호,(지번) 마곡동 727-1206,"초밥,롤"
26,STORE_GS00027,삼정집,서울 강서구 강서로56길 92 1층,(지번) 등촌동 667-1,"육류,고기"
27,STORE_GS00028,카페우드진,서울 강서구 마곡중앙6로 45 리더스퀘어 1층 113호,(지번) 마곡동 727-593,카페
28,STORE_GS00029,강남면옥 마곡점,서울 강서구 마곡동로 55 103호,(지번) 마곡동 774-12,냉면
29,STORE_GS00030,원조나주곰탕,서울 강서구 양천로14길 10 1층,(지번) 방화동 559-1,곰탕
30,STORE_GS00031,냐항바바바,서울 강서구 화곡로64길 16,(지번) 등촌동 656-29,베트남음식
31,STORE_GS00032,이조면옥,서울 강서구 양천로 353,(지번) 가양동 138-11,냉면
32,STORE_GS00033,청산별곡 발산점,서울 강서구 공항대로 290 순봉빌딩 2층 207호,(지번) 내발산동 646-1,한정식
33,STORE_GS00034,닥터로빈 강서점,서울 강서구 공항대로 396,(지번) 화곡동 1094-1,양식
34,STORE_GS00035,원조동글갈비,서울 강서구 화곡로 194-15,(지번) 화곡동 98-238,갈비
35,STORE_GS00036,광주똑순이아구찜,서울 강서구 강서로 375-8 정호빌딩 1층,(지번) 마곡동 722-3,아구
36,STORE_GS00037,다채우렁돌솥쌈밥,서울 강서구 화곡로20길 12,(지번) 화곡동 1072-10,쌈밥
37,STORE_GS00038,코끼리만두,서울 강서구 공항대로51길 27,(지번) 등촌동 654-78,한식
38,STORE_GS00039,고양이똥 3호점,서울 강서구 공항대로45길 30 1층,(지번) 등촌동 655,카페
39,STORE_GS00040,능라도 마곡점,"서울 강서구 마곡동로 56 건와빌딩 2층 202,203호",(지번) 마곡동 797-6,냉면
40,STORE_GS00041,도쿄하나 등촌점,서울 강서구 공항대로 367 2층,(지번) 등촌동 661-12,일식집
41,STORE_GS00042,원조부안집 강서구청점,서울 강서구 화곡로58길 19-5 1층,(지번) 화곡동 1115-4,"육류,고기"
42,STORE_GS00043,백소정 발산역점,서울 강서구 마곡중앙6로 66 퀸즈파크텐 A동 2층 203호,(지번) 마곡동 727-599,"돈까스,우동"
