,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,SD000001,STORE_SD0001,밀도 성수본점,b4fall,1.허니러스크 식빵 겉면 설탕바르고 에프에 구운 식빵   2. 슈크림큐브식빵 연한 슈크림넣은 식빵   3. 초코마리토쪼 퍽퍽한 던킨도넛거피 안에 밍밍하면서 텁텁한 초코크림  아니 악감정 있는게 아니라 유명세를 이해 못할 맛이었어요 서울도 생각보다 맛집이 많은건 아니려나요 ㅠㅠ 어째서 유명한... 다음번에 기본식빵 사봐야겠다 얼탱엄노,4,2021.08.14.
1,SD000002,STORE_SD0001,밀도 성수본점,1gpopnm,"저녁 알바들이 서비스교육이 필요해보이네요. 이십대초반으로 보이는 여자 둘, 남자 하나 일하던데 손님들 줄 서있는거 체크도 안하고 셋이 등돌리고 얘기만 주구장창하다가 늦게나마 주문봐주시네요. 손님들 서있는거 뻔하게 다 알면서… 메뉴재고 물어봐도 눈도 안맞추고 보이는게 전부세요 뿐…",1,2021.08.02.
2,SD000003,STORE_SD0001,밀도 성수본점,eepduh,가격 ㄹㅇ 양심리스. 오픈부터 꾸준히 올리더니 결국 처음보다 1.5배 이상 올리는데 성공했네요 축하드려요! 맛도 뭐... 성수동 빵집들 상향평준화된 마당에 굳이 줄서서 사가실 필요 없다고 생각합니다.,1,2021.07.30.
3,SD000004,STORE_SD0001,밀도 성수본점,1m0tg32,소올직히 빵이 쫄깃하고 맛있긴해 ㅋ 근데 부러 찾아갈정도인가는 의문임..우리동네라면 애용했겠지만...갈 일 있음 들려서 사먹어요 ㅎㅎ,5,2021.07.29.
4,SD000005,STORE_SD0001,밀도 성수본점,lujqts,NaN,4,2021.07.23.
5,SD000006,STORE_SD0001,밀도 성수본점,ch7iob,기다리는줄이 길다고 맛집은아닙니다 성수동에는 기막힌빵집이 널렸지만 여기 컨셉은 그냥 갓만든 빵일뿐 맛집축에 끼는집이아니에요,1,2021.07.18.
6,SD000007,STORE_SD0001,밀도 성수본점,bg0esr,"웨이팅을 서면서 먹을만한 빵집인가 싶긴 하지만, 식빵이 정말 맛있긴 해요. 특히 식빵 속이 정말 가게 이름처럼 밀도 높게 꽉 채워져 있고 쫄깃하면서도 부드러워요.",4,2021.06.23.
7,SD000008,STORE_SD0001,밀도 성수본점,18qio52,감자크림치즈 식빵 핵 존 맛 스콘 맛있음,4,2021.06.20.
8,SD000009,STORE_SD0001,밀도 성수본점,12h0r76,최고!,5,2021.06.14.
9,SD000010,STORE_SD0001,밀도 성수본점,agcg0u,NaN,3,2021.05.31.
10,SD000011,STORE_SD0001,밀도 성수본점,14ar36t,NaN,3,2021.05.25.
11,SD000012,STORE_SD0001,밀도 성수본점,1cc56bi,성수동을 지나가는데 식빵이 먹고싶다면 후회없는 선택,4,2021.05.12.
12,SD000013,STORE_SD0001,밀도 성수본점,7lddib,줄을 서 왜? 물론 맛은 있는편 좋은 버터 쓴듯  괜찮네지 와 맛있다 아님  줄 안서면 한번정도 경험해 볼 정도 ,3,2021.04.29.
13,SD000014,STORE_SD0001,밀도 성수본점,fkkj2t,빵은 맛이 좋으나 빵제조실이 오픈형인데 알바인지 직원인지 모를 남성분이 마스크벗고 조리대에 붙어서 침튀기며 얘기하고 웃고 아이스크림 먹고있네요 다시는안갈듯,2,2021.04.27.
14,SD000015,STORE_SD0001,밀도 성수본점,11uhtdo,일반식빵은 부드러움은 아니고 쫄깃하니 괜찮습니다. 그러나 초코큐브식빵은 별로였습니다 커스타드큐브는 먹어보고싶었으나 매진이여서 못먹었네요,3,2021.04.25.
15,SD000016,STORE_SD0001,밀도 성수본점,16nfpr8,NaN,4,2021.04.22.
16,SD000017,STORE_SD0001,밀도 성수본점,vidkt1,밀도는 자고로 감자크림치즈식빵 입니다,5,2021.04.14.
17,SD000018,STORE_SD0001,밀도 성수본점,k5taqb,리치식빵 존맛 스콘은 보통,5,2021.04.09.
18,SD000019,STORE_SD0001,밀도 성수본점,rlmr09,슈크림식빵은 생크림이 아닌 크림치즈랑 같이 들어가서 제입맛엔 안맞았고.. 쪽파치즈스콘은 크림치즈가 필요한 맛. 감자식빵 괜찮던데요. 담번에 리치식빵 먹어보려고요 ,4,2021.03.31.
19,SD000020,STORE_SD0001,밀도 성수본점,kdkf9s,빵값이 너무 비쌈. 집값욕할거 없음,1,2021.03.30.
20,SD000021,STORE_SD0001,밀도 성수본점,135gg6i,NaN,4,2021.03.24.
21,SD000022,STORE_SD0001,밀도 성수본점,ur566n,"리치 식빵 먹었는데 진짜..너무 맛있다... 생크림이 느껴지고 빵의 향도, 맛도, 식감도 진짜 끝내준다..고급짐의 향연...  한 녀석만 데려온 것이 후회된다  다음에는 세 녀석 데려와야지",5,2021.03.20.
22,SD000023,STORE_SD0001,밀도 성수본점,1498qut,맛나요,5,2021.02.20.
23,SD000024,STORE_SD0001,밀도 성수본점,e51dt6,평일낮에도 줄을..  --;  빵은 맛납니다.,5,2021.02.14.
24,SD000025,STORE_SD0001,밀도 성수본점,12iib7m,자주 가는데 가격이 계속 오르는건 좀 아쉽습니다 계산하는분이 친절하진 않아요 ㅎ,4,2021.02.08.
25,SD000026,STORE_SD0001,밀도 성수본점,1b40flk,식빵 맛있음 ,5,2021.02.05.
26,SD000027,STORE_SD0001,밀도 성수본점,dsfh1m,NaN,5,2021.01.28.
27,SD000028,STORE_SD0001,밀도 성수본점,e6elac,NaN,4,2021.01.11.
28,SD000029,STORE_SD0001,밀도 성수본점,ttcdi5,제가 갔을때는 사람이 없어서 줄서지않고 바로 결제했음 먹어보니 줄서더라도 또 가고 싶은 빵집 스콘이 진짜 퍼석하지않고 부드럽고 향이 너무 좋아서 계속 생각남 바질치즈인가 이건 별로 질김 하지만 대표메뉴인 큐브빵?인가를 먹어봤는데 진짜 대박맛있음 ,5,2021.01.09.
29,SD000030,STORE_SD0001,밀도 성수본점,abc85n,사람들이 잔뜩 줄 서있어서 기대가 컸습니다. 이것저것 욕심에 많이 골랐는데 값이 꽤 나왔네요. 맛은 괜찮았는데 대기시간이나 가격 생각하면 자주 방문하지는 않을 듯합니다.,3,2021.01.06.
30,SD000031,STORE_SD0001,밀도 성수본점,1dra4lk,그냥 식빵에 그냥 스콘. 줄을 굳이 서서 기다릴 필요까지야. ,2,2020.12.06.
31,SD000032,STORE_SD0001,밀도 성수본점,gevomq,계산 포장하는데 1사람이 하고 있어서 너무도 오래 걸리는 큰 단점,4,2020.12.04.
32,SD000033,STORE_SD0001,밀도 성수본점,n1k3rg,NaN,4,2020.12.02.
33,SD000034,STORE_SD0001,밀도 성수본점,12b9ls4,"기본 식빵 맛있음, 항상 줄서는 곳",4,2020.11.01.
