,place_code,ItemID,address,local,category
0,STORE_SD0001,밀도 성수본점,서울 성동구 왕십리로 96 1층,(지번) 성수동1가 656-442,"제과,베이커리"
1,STORE_SD0002,소바식당 성수점,서울 성동구 연무장7가길 6 1층,(지번) 성수동2가 315-49,일식
2,STORE_SD0003,엘더버거,서울 성동구 성수동1가 668-124 1층,,햄버거
3,STORE_SD0004,온량,서울 성동구 서울숲4길 26-10 1층,(지번) 성수동1가 668-54,이탈리안
4,STORE_SD0005,호호식당 성수동점,서울 성동구 서울숲4길 25,(지번) 성수동1가 668-22,일식
5,STORE_SD0006,쎈느,서울 성동구 연무장5길 20,(지번) 성수동2가 314-2,카페
6,STORE_SD0007,춘향미엔,서울 성동구 왕십리로21길 26,(지번) 행당동 299-1,중화요리
7,STORE_SD0008,르프리크,서울 성동구 연무장5길 9-16 B103호,(지번) 성수동2가 302-8,햄버거
8,STORE_SD0009,아우프글렛 금호점,서울 성동구 독서당로51길 7 1층,(지번) 금호동1가 1801-4,카페
9,STORE_SD0010,빵의정석,서울 성동구 서울숲2길 45 1층,(지번) 성수동1가 668-49,"제과,베이커리"
10,STORE_SD0011,타이거풀,서울 성동구 성수이로7가길 7,(지번) 성수동2가 309-143,양식
11,STORE_SD0012,대림창고,서울 성동구 성수이로 78,(지번) 성수동2가 322-32,갤러리카페
12,STORE_SD0013,인더매스 마장,서울 성동구 마장로 270,(지번) 마장동 776-1,카페
13,STORE_SD0014,오레노카츠 성수본점,서울 성동구 성수일로 47 1층 102호,(지번) 성수동1가 16-8,"돈까스,우동"
14,STORE_SD0015,마장동한우촌,"서울 성동구 마장로35길 68 1, 2층",(지번) 마장동 439-1,"육류,고기"
15,STORE_SD0016,밀도 성수본점,서울 성동구 왕십리로 96 1층,(지번) 성수동1가 656-442,"제과,베이커리"
16,STORE_SD0017,소바식당 성수점,서울 성동구 연무장7가길 6 1층,(지번) 성수동2가 315-49,일식
17,STORE_SD0018,엘더버거,서울 성동구 성수동1가 668-124 1층,,햄버거
18,STORE_SD0019,온량,서울 성동구 서울숲4길 26-10 1층,(지번) 성수동1가 668-54,이탈리안
19,STORE_SD0020,호호식당 성수동점,서울 성동구 서울숲4길 25,(지번) 성수동1가 668-22,일식
20,STORE_SD0021,쎈느,서울 성동구 연무장5길 20,(지번) 성수동2가 314-2,카페
21,STORE_SD0022,춘향미엔,서울 성동구 왕십리로21길 26,(지번) 행당동 299-1,중화요리
22,STORE_SD0023,르프리크,서울 성동구 연무장5길 9-16 B103호,(지번) 성수동2가 302-8,햄버거
23,STORE_SD0024,아우프글렛 금호점,서울 성동구 독서당로51길 7 1층,(지번) 금호동1가 1801-4,카페
24,STORE_SD0025,빵의정석,서울 성동구 서울숲2길 45 1층,(지번) 성수동1가 668-49,"제과,베이커리"
25,STORE_SD0026,타이거풀,서울 성동구 성수이로7가길 7,(지번) 성수동2가 309-143,양식
26,STORE_SD0027,대림창고,서울 성동구 성수이로 78,(지번) 성수동2가 322-32,갤러리카페
27,STORE_SD0028,인더매스 마장,서울 성동구 마장로 270,(지번) 마장동 776-1,카페
28,STORE_SD0029,오레노카츠 성수본점,서울 성동구 성수일로 47 1층 102호,(지번) 성수동1가 16-8,"돈까스,우동"
29,STORE_SD0030,마장동한우촌,"서울 성동구 마장로35길 68 1, 2층",(지번) 마장동 439-1,"육류,고기"
30,STORE_SD0031,중앙감속기,서울 성동구 성수일로6길 7-1,(지번) 성수동2가 301-98,퓨전요리
31,STORE_SD0032,어메이징브루잉컴퍼니 성수브루펍,서울 성동구 성수일로4길 4,(지번) 성수동1가 27-12,"호프,요리주점"
32,STORE_SD0033,왕십리조개창고,서울 성동구 왕십리로 331 지하1층,(지번) 하왕십리동 966-12,조개
33,STORE_SD0034,빅토리아베이커리,서울 성동구 서울숲2길 18-7 1층,(지번) 성수동1가 685-451,"제과,베이커리"
