,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,YC000001,STORE_YC00001,팔각도 목동본점,gg6nik,메뉴마다 굽는 방식이 달라 한번에 같이 먹지 못하고 번거로움. (회전율이 안좋은 이유가 이거 아닐까싶은) 가격에 비해 아쉬움이 있어 자주 갈거같진않지만 맛은 있어요.,3,2021.08.09.
1,YC000002,STORE_YC00001,팔각도 목동본점,gh3jfn,더위에 기다린사람 ♪♪~만듬 나이드신 분들 와서 징징되니까 대기없이 먼저들어감  하.. 누군 시간남아돌아서 기다리나 ㅎㅎ,1,2021.07.29.
2,YC000003,STORE_YC00001,팔각도 목동본점,ul6ioc,목동 맛집,4,2021.07.22.
3,YC000004,STORE_YC00001,팔각도 목동본점,19o57ub,기본 닭갈비 싸고 맛있고 무적권 파랑 싸먹어야함 소금이랑 와사비소스가 젤마싯 글고 순찌가 존맛탱임 게라면은 된장국물이라 별로엿어여 그래서 별하나뺌 글고 무슨 타코와사비같은 반찬 있는데 것도 맛잇음,4,2021.07.12.
4,YC000005,STORE_YC00001,팔각도 목동본점,144t7mb,본메뉴 외에 사이드는 다 맛없어요,2,2021.06.25.
5,YC000006,STORE_YC00001,팔각도 목동본점,15sasdb,맛있어요 또 방문할거에요 웨이팅이 있는 편이에요,5,2021.06.01.
6,YC000007,STORE_YC00001,팔각도 목동본점,l1ss50,숯불 닭갈비는 맛있는데 목살은 양념도 별로고 양이 너무 적어요,3,2021.04.10.
7,YC000008,STORE_YC00001,팔각도 목동본점,bejvus,맛은 있는데 일하는분들이 어리버리...,3,2021.03.06.
8,YC000009,STORE_YC00001,팔각도 목동본점,ttusim,NaN,3,2021.01.19.
9,YC000010,STORE_YC00001,팔각도 목동본점,14t3rrv,그냥그래,3,2020.12.28.
10,YC000011,STORE_YC00001,팔각도 목동본점,115fdd3,찬을 먹기 불편함,1,2020.10.11.
11,YC000012,STORE_YC00001,팔각도 목동본점,7lro0a,"주객이 전도된 대표적인 음식이다. 닭갈비에 이 많은 찬은 왜 필요한지 몰랐지만, 초벌해서 나온 닭갈비를 먹는 순간 알겠더라. 간장 베이스의 닭갈비가 품은 단맛을 누르려면 그냥은 많이 먹을 수가 없기 때문이었다. 닭갈비를 소금구이로 먹을 수 없을 거라곤 상상조차 하지 못했고, 첫 주문은 무조건 간장닭갈비 2인분을 먹어야 하는지도 몰랐다. 10호짜리도 안 돼 ...",2,2020.10.09.
12,YC000013,STORE_YC00001,팔각도 목동본점,1bl2p8n,음식 양도 적당하고 맛도 좋았고요! 알바?하시는 남자분 너무 친절하셔서 기분좋았어요! ,5,2020.08.31.
