,store_code,ItemID,address,local,category
0,STORE_YC00001,팔각도 목동본점,서울 양천구 목동동로 266-1 금강빌딩 1층,(지번) 목동 406-227,닭요리
1,STORE_YC00002,락희안 목동점,"서울 양천구 오목로 330 2,3층",(지번) 목동 405-285,중화요리
2,STORE_YC00003,일미락 목동본점,서울 양천구 목동동로 226-16 1층,(지번) 목동 406-126,"육류,고기"
3,STORE_YC00004,더아리엘 목동점,서울 양천구 오목로 300 현대하이페리온2차 206동 지하1층 109~115호,(지번) 목동 961-1,뷔페
4,STORE_YC00005,히노야마,서울 양천구 목동서로 349 센트럴프라자 119호,(지번) 신정동 321-7,"돈까스,우동"
5,STORE_YC00006,살구나무집칼국수,서울 양천구 중앙로32길 35,(지번) 신정1동 1048-7,국수
6,STORE_YC00007,젠틀한식탁,서울 양천구 목동동로14길 6-1 1층,(지번) 목동 405-201,이탈리안
7,STORE_YC00008,먹자대게,서울 양천구 목동서로 213 세신비젼프라자 1층 108호,(지번) 목동 923,"게,대게"
8,STORE_YC00009,삿뽀로 목동점,서울 양천구 목동동로 189 삼성쉐르빌1 지하1층,(지번) 신정동 318-10,일식집
9,STORE_YC00010,이조면옥 목동본점,서울 양천구 신목로 88,(지번) 신정2동 118-1,냉면
10,STORE_YC00011,대박곱창 본점,서울 양천구 오목로 170 태남프라자 1층,(지번) 신정동 949-3,"곱창,막창"
11,STORE_YC00012,금화왕돈까스 신월점,서울 양천구 화곡로 91 1층,(지번) 신월동 24-7,"돈까스,우동"
12,STORE_YC00013,대가,서울 양천구 신정중앙로 66,(지번) 신정4동 905-1,갈비
13,STORE_YC00014,커피별녹색잔,서울 양천구 목동로21길 26,(지번) 신정동 988-14,커피전문점
14,STORE_YC00015,카페제하,서울 양천구 목동동로 177 삼성쉐르빌2차 1층,(지번) 신정동 318-12,카페
15,STORE_YC00016,할범탕수육 본점,서울 양천구 목동중앙북로 15,(지번) 목동 610-26,분식
16,STORE_YC00017,항아리보쌈,서울 양천구 신목로 48,(지번) 신정동 296-69,"족발,보쌈"
17,STORE_YC00018,양천옥설렁탕,서울 양천구 등촌로 86,(지번) 목동 730-2,설렁탕
18,STORE_YC00019,푸주옥,서울 양천구 남부순환로 663,(지번) 신정동 1290-2,설렁탕
19,STORE_YC00020,강릉스낵,서울 양천구 목동동로 228-2 1층,(지번) 목동 406-65,실내포장마차
20,STORE_YC00021,밥초,서울 양천구 오목로48길 10 1층,(지번) 신정동 990-19,"초밥,롤"
21,STORE_YC00022,산들해 목동점,서울 양천구 목동서로 349 지하 1층,(지번) 신정동 321-6,한정식
22,STORE_YC00023,닥터로빈 목동점,서울 양천구 오목로 299,(지번) 목동 962,양식
23,STORE_YC00024,오목집 목동본점,서울 양천구 목동서로 155 목동파라곤 지하상가 45호,(지번) 목동 917,"족발,보쌈"
24,STORE_YC00025,육즙,서울 양천구 오목로 337-10 1층,(지번) 목동 406-271,삼겹살
25,STORE_YC00026,양천뼈다귀 본점,서울 양천구 목동동로 258,(지번) 목동 934,국밥
26,STORE_YC00027,홍마방,서울 양천구 목동중앙북로14길 1 1층,(지번) 목동 527,중식
27,STORE_YC00028,육화식당,"서울 양천구 오목로 337-6 지하1층, 1,2층",(지번) 목동 406-297,"육류,고기"
28,STORE_YC00029,원두막,서울 양천구 신목로 56,(지번) 신정2동 296-77,한식
29,STORE_YC00030,옛날마차,서울 양천구 신정중앙로 84,(지번) 신정동 904-6,실내포장마차
30,STORE_YC00031,스시범,서울 양천구 은행정로 13 성광빌딩 1층,(지번) 신정동 1024-17,"초밥,롤"
31,STORE_YC00032,족발신선생 목동점,서울 양천구 신정중앙로 98 1층,(지번) 신정동 902-6,"족발,보쌈"
32,STORE_YC00033,스시경,서울 양천구 목동중앙북로7가길 10,(지번) 목동 609-22,"초밥,롤"
33,STORE_YC00034,봉피양 신월점,서울 양천구 신월로 112,(지번) 신월동 1003-3,한식
34,STORE_YC00035,착한낙지 목동점,서울 양천구 국회대로 289,(지번) 목동 802-9,"해물,생선"
35,STORE_YC00036,황금오리농장,서울 양천구 국회대로 176,(지번) 신정동 873-1,오리
36,STORE_YC00037,은행골 목동점,서울 양천구 목동서로 155,(지번) 목동 917,"초밥,롤"
37,STORE_YC00038,조개천하 목동직영점,서울 양천구 신정중앙로 68 해풍빌딩 101호,(지번) 신정동 905-2,조개
38,STORE_YC00039,파스타농장,서울 양천구 은행정로4길 22,(지번) 신정동 1015-10,이탈리안
39,STORE_YC00040,더브라운 목동점,서울 양천구 오목로 354 목동센트럴푸르지오 101동 101호,(지번) 목동 404-13,디저트카페
40,STORE_YC00041,냅다청양집 목동직영점,서울 양천구 신정중앙로 85,(지번) 신정동 886-6,"육류,고기"
41,STORE_YC00042,봉스시,서울 양천구 은행정로7길 25,(지번) 신정동 978-1,"초밥,롤"
42,STORE_YC00043,정진식당,서울 양천구 신정중앙로 94 1층,(지번) 신정동 902-3,"육류,고기"
43,STORE_YC00044,만복순대국,서울 양천구 목동로 219 1층,(지번) 신정동 899-5,순대
44,STORE_YC00045,통큰해물탕,서울 양천구 목동중앙북로5길 30,(지번) 목동 608-1,"매운탕,해물탕"
45,STORE_YC00046,칸지,서울 양천구 목동동로 264,(지번) 목동 406-207,일본식주점
46,STORE_YC00047,양평신내해장국 본점,서울 양천구 공항대로 646,(지번) 목동 516,해장국
47,STORE_YC00048,포코아,서울 양천구 목동중앙북로24길 23-13,(지번) 목동 520-27,양식
48,STORE_YC00049,마실,서울 양천구 목동동로 55 신정동밀레니엄프라자 6층,(지번) 신정동 323-17,한정식
49,STORE_YC00050,우리분식멸치국수,서울 양천구 오목로 14,(지번) 신월동 520-1,국수
