,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,YDP000001,STORE_YDP00001,정인면옥,a03bac,1시간 줄서서 먹을만하진 않은 듯함 깔끔하고 무난한 맛,3,2021.08.15.
1,YDP000002,STORE_YDP00001,정인면옥,betlv1,깔끔하고 무난한 평냉의 맛,4,2021.08.14.
2,YDP000003,STORE_YDP00001,정인면옥,cer18s,평냉 정석의 맛… 뭐 더할나위 없음. 일반 평냉보다 순면 육수가 더 간이 된 느낌이었는데 순면이 더 맛있었음(가격도 비쌈…) 만두도 무난하고 좋았음. 다만 주방이 너무 시끄럽고;; 직원들끼리 다투는(?)소리가 들리는 등 정신이 없음… 빨리 먹고 나오기엔 괜찮지만 어른들 모시고 갈 곳은 아니라고 봄,5,2021.08.12.
3,YDP000004,STORE_YDP00001,정인면옥,e4o04n,키 작은 여직원 정말 4가지가 없네요.,1,2021.07.21.
4,YDP000005,STORE_YDP00001,정인면옥,e4hhh1,맛 좋은 편 줄이 너무 길어요 ㅠ,3,2021.07.21.
5,YDP000006,STORE_YDP00001,정인면옥,sim66r,NaN,5,2021.07.19.
6,YDP000007,STORE_YDP00001,정인면옥,v0e2u8,여의도 초기부터 단골집. 광명때 부터 못 간 거이 아숩~ 개인적 Top Level 평랭 집. 사장님 부천점 지도 좀 해주세요 본점하고 너무 차이가 나요~ ,5,2021.07.09.
7,YDP000008,STORE_YDP00001,정인면옥,dg2jkv,끝판왕,5,2021.06.30.
8,YDP000009,STORE_YDP00001,정인면옥,126kre5,NaN,1,2021.06.30.
9,YDP000010,STORE_YDP00001,정인면옥,a7jrcn,평냉 상급지,4,2021.06.27.
10,YDP000011,STORE_YDP00001,정인면옥,18mfu10,육수리필가능  녹두전은 그닥,5,2021.06.26.
11,YDP000012,STORE_YDP00001,정인면옥,1c7iste,여의도 근처에 있으면 가겠지만 찾아갈정도는 아니에요 그래도 맛있습니다,4,2021.06.23.
12,YDP000013,STORE_YDP00001,정인면옥,m00age,대기한 보람이 있습니다 어떤 면에서는 을밀대보다 더 맛있는 것 같기도 합니다 (물론 제 최애는 을밀대),5,2021.06.14.
