,store_code,ItemID,address,local,category
0,STORE_YDP00001,정인면옥,서울 영등포구 국회대로76길 10 1층,(지번) 여의도동 13-1,냉면
1,STORE_YDP00002,진주집,서울 영등포구 국제금융로6길 33 여의도백화점 지하1층,(지번) 여의도동 36-2,국수
2,STORE_YDP00003,대한옥,서울 영등포구 영등포로51길 6,(지번) 영등포동2가 221-1,설렁탕
3,STORE_YDP00004,또순이네,서울 영등포구 선유로47길 16,(지번) 양평동4가 81,"육류,고기"
4,STORE_YDP00005,세상의모든아침 여의도점,"서울 영등포구 여의대로 24 전경련회관 50, 51층",(지번) 여의도동 28-1,양식
5,STORE_YDP00006,코끼리베이글,서울 영등포구 선유로 176 수화공단 1층 60호,(지번) 양평동3가 69,"제과,베이커리"
6,STORE_YDP00007,원조호수삼계탕 본점,서울 영등포구 도림로 274-1,(지번) 신길동 342-325,삼계탕
7,STORE_YDP00008,카페1953위드오드리,서울 영등포구 경인로77가길 12,(지번) 문래동2가 34-10,카페
8,STORE_YDP00009,영일분식,서울 영등포구 도림로141가길 34-1,(지번) 문래동4가 8-26,국수
9,STORE_YDP00010,이한스시,서울 영등포구 선유로22길 3 유선빌딩 2층,(지번) 양평동1가 9-37,"초밥,롤"
10,STORE_YDP00011,양키통닭,서울 영등포구 도림로139길 13 1층,(지번) 문래동2가 49-1,치킨
11,STORE_YDP00012,그믐족발 본점,서울 영등포구 경인로79길 21 1층,(지번) 문래동2가 48-6,"족발,보쌈"
12,STORE_YDP00013,송죽장,서울 영등포구 문래로 203,(지번) 영등포동4가 98-12,중화요리
13,STORE_YDP00014,올드문래,서울 영등포구 도림로 433-6 1층,(지번) 문래동2가 14-28,"호프,요리주점"
14,STORE_YDP00015,삼거리먼지막순대국,서울 영등포구 시흥대로185길 11,(지번) 대림동 963-9,순대
15,STORE_YDP00016,두껍삼 여의도직영점,서울 영등포구 국제금융로2길 25 유수홀딩스빌딩 지하1층,(지번) 여의도동 25-11,삼겹살
16,STORE_YDP00017,호텔707,서울 영등포구 도림로139길 2-2,(지번) 문래동2가 60-4,카페
17,STORE_YDP00018,러스트베이커리,서울 영등포구 경인로79길 15 1층,(지번) 문래동2가 42-19,"제과,베이커리"
18,STORE_YDP00019,오돌,서울 영등포구 국회대로37길 6 1층,(지번) 당산동4가 1-145,"육류,고기"
19,STORE_YDP00020,아루히,서울 영등포구 여의나루로 42 여의도종합상가 2층 221호,(지번) 여의도동 35-5,"초밥,롤"
20,STORE_YDP00021,대한옥 2호점,서울 영등포구 가마산로69가길 7 1층,(지번) 신길동 258-10,설렁탕
21,STORE_YDP00022,허브족발,서울 영등포구 당산로48길 6,(지번) 당산동6가 237-38,"족발,보쌈"
22,STORE_YDP00023,부일갈비,서울 영등포구 영중로6길 23-8,(지번) 영등포동3가 23-11,갈비
23,STORE_YDP00024,3일한우국밥,서울 영등포구 영등포로 204,(지번) 영등포동4가 68-5,국밥
24,STORE_YDP00025,마호가니커피 여의도점,서울 영등포구 여의대로 66 KTB빌딩 1층,(지번) 여의도동 23-3,카페
25,STORE_YDP00026,가양칼국수,서울 영등포구 국제금융로 78 홍우빌딩 지하1층,(지번) 여의도동 43-3,국수
26,STORE_YDP00027,당산옛날곱창,서울 영등포구 당산로47길 14,(지번) 당산동6가 313-1,"곱창,막창"
27,STORE_YDP00028,대관원,서울 영등포구 당산로37길 1 2층,(지번) 당산동4가 49,중화요리
28,STORE_YDP00029,바스버거 여의도점,서울 영등포구 국제금융로 20 율촌빌딩 지하1층,(지번) 여의도동 24-1,햄버거
29,STORE_YDP00030,청수,서울 영등포구 국제금융로 112,(지번) 여의도동 53-11,냉면
30,STORE_YDP00031,소문난식당,서울 영등포구 도림로141가길 32-1,(지번) 문래동4가 8-30,한식
31,STORE_YDP00032,골목집,서울 영등포구 도림로139가길 11,(지번) 문래동2가 42-2,오리
32,STORE_YDP00033,월화고기 문래동본점,서울 영등포구 당산로 34 118호,(지번) 문래동3가 55-5,"육류,고기"
33,STORE_YDP00034,함흥냉면,서울 영등포구 영등포로42길 6,(지번) 영등포동3가 7-32,냉면
34,STORE_YDP00035,문래동돈까스,서울 영등포구 문래동4가 9-7,,"돈까스,우동"
35,STORE_YDP00036,카페드레이프,서울 영등포구 양산로 146,(지번) 당산동1가 258,카페
36,STORE_YDP00037,갈빗,서울 영등포구 도림로125길 14,(지번) 문래동2가 16,갈비
37,STORE_YDP00038,스시나베,서울 영등포구 영등포로 190-1 1층,(지번) 영등포동4가 148-1,"초밥,롤"
38,STORE_YDP00039,강강술래 당산점,서울 영등포구 선유로 251,(지번) 양평동4가 35,"육류,고기"
39,STORE_YDP00040,신길동별난아찌짬뽕,서울 영등포구 영등포로62길 10,(지번) 신길동 48-29,중화요리
40,STORE_YDP00041,63뷔페 파빌리온,서울 영등포구 63로 50 63빌딩 지하1층,(지번) 여의도동 60,뷔페
41,STORE_YDP00042,원조부안집 본점,서울 영등포구 당산로32길 10,(지번) 당산동3가 228-1,"육류,고기"
42,STORE_YDP00043,하동관 국회의사당역직영점,서울 영등포구 은행로 3 삼희익스콘벤처타워 1층,(지번) 여의도동 15-24,곰탕
43,STORE_YDP00044,최우영수산 영등포점,서울 영등포구 영등포로 161 1층,(지번) 당산동1가 79-7,회
44,STORE_YDP00045,이조보쌈집,서울 영등포구 당산로 244,(지번) 당산동6가 295,"족발,보쌈"
45,STORE_YDP00046,쉐프조,서울 영등포구 문래로 98 한영빌딩 1층,(지번) 문래동3가 77-8,"제과,베이커리"
46,STORE_YDP00047,양키스버거,서울 영등포구 도림로 434-1,(지번) 문래동3가 58-75,햄버거
47,STORE_YDP00048,카페진정성 여의도점,서울 영등포구 국제금융로8길 31 SK증권빌딩 1층,(지번) 여의도동 45-1,카페
48,STORE_YDP00049,오월의종 타임스퀘어점,서울 영등포구 영중로 15 112-1호,(지번) 영등포동4가 442,"제과,베이커리"
49,STORE_YDP00050,화목순대국,서울 영등포구 여의대방로 383 경도빌딩 1층,(지번) 여의도동 44-14,순대
50,STORE_YDP00051,진가와 여의도점,서울 영등포구 국제금융로2길 17 3층,(지번) 여의도동 25,일식
51,STORE_YDP00052,하이디라오 영등포점,서울 영등포구 경인로 870 2층,(지번) 영등포동1가 143-3,중화요리
52,STORE_YDP00053,승남집,서울 영등포구 영중로4길 9-4,(지번) 영등포동3가 21-3,"육류,고기"
53,STORE_YDP00054,여로집 본관,서울 영등포구 영중로10길 26,(지번) 영등포동3가 15-1,"해물,생선"
54,STORE_YDP00055,브루클린더버거조인트 여의도점,서울 영등포구 국제금융로2길 24 BNK금융타워 1층,(지번) 여의도동 23-10,햄버거
55,STORE_YDP00056,능이버섯백숙,서울 영등포구 선유로 32,(지번) 문래동4가 9-2,닭요리
56,STORE_YDP00057,송원마포돼지갈비,서울 영등포구 도림로147길 2-1,(지번) 문래동4가 9-8,갈비
57,STORE_YDP00058,창고43 본점,서울 영등포구 국제금융로6길 33 여의도백화점 M2층,(지번) 여의도동 36-2,"육류,고기"
58,STORE_YDP00059,카페솔트,서울 영등포구 도림로133길 12 1층,(지번) 문래동2가 43-5,카페
59,STORE_YDP00060,문래그집,서울 영등포구 선유로22길 3 유선빌딩 1층 102호,(지번) 양평동1가 9-37,"육류,고기"
60,STORE_YDP00061,피그인더가든 여의도점,서울 영등포구 여의대로 56 한화투자증권빌딩 1층,(지번) 여의도동 23-5,카페
61,STORE_YDP00062,더플레이트디저트 더현대서울점,서울 영등포구 여의대로 108 지하1층,(지번) 여의도동 22,디저트카페
62,STORE_YDP00063,라크라센타 문래본점,서울 영등포구 문래로 92-5,(지번) 문래동3가 77-51,카페
63,STORE_YDP00064,마굿간생고기,서울 영등포구 영중로4길 14,(지번) 영등포동3가 10-38,"육류,고기"
64,STORE_YDP00065,공주칼국수,서울 영등포구 도림천로11길 1,(지번) 대림동 1116-15,국수
65,STORE_YDP00066,시즌커피앤베이크,서울 영등포구 양산로9길 12-1,(지번) 양평동3가 41-2,카페
