,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,YS000001,STORE_YS0001,광고서지스테이크,19hhstq,광훈아 잼민이인거 안다,1,2021.08.11.
1,YS000002,STORE_YS0001,광고서지스테이크,bens7o,"은성보다는 좀 싸지만, 안심의 퀄리티는 은성에 미치지 못함. 부대찌개는 간도 적절하고 깔끔하니 아주 맛있었습니다.",4,2021.06.28.
2,YS000003,STORE_YS0001,광고서지스테이크,1cqg1eg,super surge,5,2021.02.23.
3,YS000004,STORE_YS0001,광고서지스테이크,chgb39,워낙 유명한집이라 기대하고 갔는데 기대 이상이었습니다! 평일인데도 사람이 많네요,5,2020.06.29.
4,YS000005,STORE_YS0001,광고서지스테이크,f4f7ai,스테이크집이라 해서 스테이크집인줄 알았는데 왠걸ㅋㅋ 소시지는 좋으나 평범의 범위에서 벗어나지 않는다. 재료사서 집에서 구우면 똑같음,3,2020.05.15.
5,YS000006,STORE_YS0001,광고서지스테이크,129pi8n,맛있어요,5,2020.01.29.
6,YS000007,STORE_YS0001,광고서지스테이크,11v92vq,여기 맛있음 양도 괜찮아요,5,2019.12.18.
7,YS000008,STORE_YS0001,광고서지스테이크,8o7876,스테이크 술안주로 좋은데  양이 너무 적음 부대전골이 좋음,3,2019.11.27.
8,YS000009,STORE_YS0001,광고서지스테이크,cidsl0,고기 상당히 좋은맛으로 맛볼수있는 곳 이곳지역 특색에 맞게 파는집이라고 생각됨 물론 프렌차이즈 음식점이나 요즘 퓨전음식들에 비교한다면 좀 다를수 있지만.. 가꿈 생각나면 찾아가는집,5,2019.06.12.
9,YS000010,STORE_YS0001,광고서지스테이크,108cps1,NaN,3,2019.05.06.
10,YS000011,STORE_YS0001,광고서지스테이크,qkv2p9,NaN,4,2018.10.16.
11,YS000012,STORE_YS0001,광고서지스테이크,10d0kft,가격대비 좋음 미군부대앞 스테이크,3,2018.08.14.
12,YS000013,STORE_YS0001,광고서지스테이크,d3a3sq,NaN,3,2018.05.05.
