,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,OP000001,STORE_OP00001,북한산제빵소,eada9l," 주차장 안내하시는 분(점원분이 직접 나와서 이분이 하라는대로 하라함)이 주차장 안내해주셔서 선불로 3천원 냈고, 카운터에서 2만원 이상 영수증 갖다주면 된다더니 작년에 계약 끝났다고 그냥 가래요. 그럴거면 카운터 앞에 2만원 이상 영수증 왜 내라고 하는지???????????? ",1,2021.08.11.
1,OP000002,STORE_OP00001,북한산제빵소,r5478h,인테리어는 예쁘지만 불친절+빵 맛 그저그럼,1,2021.07.31.
2,OP000003,STORE_OP00001,북한산제빵소,1kevftd,맛있음 찾아가서 먹을정돈 아니고 빵이별로없음,4,2021.07.24.
3,OP000004,STORE_OP00001,북한산제빵소,qkhc4g,평일 오후에 가서 그런지 한적하고 위치와 분위기가 너무 좋았어요ㅎㅎ 직원분들이 모두 친절하시고 까눌레도 좋았어요 일찍 닫아서 아쉬웠습니다,4,2021.07.10.
4,OP000005,STORE_OP00001,북한산제빵소,15hn0ir,커피&음료-맛은 평범 가격 비쌈 빵&케잌-시골 제과점 수준 가격 비쌈  공간은 넓고 초록숲 감상 가능함,1,2021.06.27.
5,OP000006,STORE_OP00001,북한산제빵소,18468fo,"티비 프로그램에 나와서 한번 가봤는데, 직원들도 친절하고 음료 맛도 괜찮고해서 한번 가보세요. 근처 북한산 뷰도 너무 좋네요~",4,2021.06.14.
6,OP000007,STORE_OP00001,북한산제빵소,10k2j6v,Bakery ,3,2021.06.05.
7,OP000008,STORE_OP00001,북한산제빵소,14k9eop,"빵 괜찮고, 음료 맛도 나쁘지 않음. 카페 정말 넓고 앉을 자리 많음. 특히 창가 자리 앉으면 행복함. 하지만 사람 많을 때는 그만큼 정신 없고 시끄럽긴 함. 고즈넉한 카페의 느낌보다는, 빵이 많은 '핫플' 분위기.",3,2021.05.24.
8,OP000009,STORE_OP00001,북한산제빵소,129pi8n,괜찮았음 1년만에 재방문했는데 사람이 더 많아짐 청소만 제대로 해주시면 좋을듯,4,2021.05.14.
9,OP000010,STORE_OP00001,북한산제빵소,udd0t5,잘 먹었습니다~,4,2021.05.09.
10,OP000011,STORE_OP00001,북한산제빵소,k9r6s3,"커피 가격 그리 비싸지 않고 맛도 괜찮아요. 빵은 맛있어요. 못하지 않음, 다만 질 대비 비싸게 느껴지네요. 가장 문제는 카운터 너비가 길고 구조가 별로라 소리가 잘 들리지 않네요. 메뉴판도 잘 보이지 않고 안내 표시도 없음. 케익 위치, 빵 위치 좀 바껴야 될 것 같네요. 계산 줄이 엄청 길어서 시간 빨리 가네요.",3,2021.05.02.
11,OP000012,STORE_OP00001,북한산제빵소,uupqeq,주변 풍경이 좋아요. 모든게 좀 비싸고 주차장 그리 편하지 않아요. 그냥 소소....,3,2021.04.25.
12,OP000013,STORE_OP00001,북한산제빵소,10p5iqd,냠냠,5,2021.04.21.
13,OP000014,STORE_OP00001,북한산제빵소,13tldgc,"건물 내외부 디자인 좋음, 주차장 어딨는지 안내x, 주말 여섯시 반즘 가니 커피말고 다른 음료는 재고 소진",3,2021.04.14.
14,OP000015,STORE_OP00001,북한산제빵소,fee6fo,동네카페인데 1년에 한번 갈까말까 한 곳. 위치가 좋아서 풍경은 최고인데 커피 진짜 맛없고 빵 그저 그렇다. 제일 마음에 안 드는 점은 빵 커팅 안해주는 거... 직접 잘라 먹어야 하는데 제공하는 칼이 정말 안 들어서 하드한 빵 사서 먹으면 사진처럼 다 난장판이 된다. ,1,2021.04.10.
15,OP000016,STORE_OP00001,북한산제빵소,120kn03,NaN,1,2021.02.28.
16,OP000017,STORE_OP00001,북한산제빵소,1gv4qob,진짜 별로에요... 알바생도 불친절하고 빵 가격이 너무 비싼데 맛은 그냥 그래요. 다시 안 갈 것 같아요.,1,2021.02.27.
17,OP000018,STORE_OP00001,북한산제빵소,10cgket,화장실도 좁고 주차도 별로고 가격대비 빵도 맛없고 자리도 없고,1,2021.02.22.
18,OP000019,STORE_OP00001,북한산제빵소,ga5qd9,"코로나여서 매장 착석이 불가한데도 빵값이 깡패임. 우리밀에 유기농재료를 쓴다면 모르겠는데 그것도 아니고 그냥 어디서든 볼 수 있는 빵종류. 손바닥보다 살짝 작은 크기의 빵들이 5-6천원대고, 까눌레/휘낭시에같은 제과류는 3500원 이상.",1,2020.12.10.
19,OP000020,STORE_OP00001,북한산제빵소,qgb57k,주차장이랑 가게 위치가 너무 멀다 그리고 주차비 선불 5천원 실화???? 주차비 추가요금 면하려면 2시간 이내로 나가야댐 충격;; 완전 날강도가 따로없다 심지어 차빼러 나갔더니 주차관리인 사라지고 없음 ㅠㅠ 내 쌩돈 날림 ㅠㅠ 으으으으으 내돈 ㅠㅠㅠㅠ내돈내돈 ㅠㅠㅠㅠㅠ,1,2020.11.09.
20,OP000021,STORE_OP00001,북한산제빵소,usfi5n,"주말 오후에 갔는데, 주차요원이 만차라며 테이크아웃만 가능하다해서 얼떨결에 급하게 커피랑 빵 몇개랑 구매해서 나왔는데, 쏘쏘한 커피맛과 쏘쏘한 빵맛인데 값은 후덜덜....  매장안에서 먹었으면 자릿세라고 생각이나 할텐데, 매장안에도 도떼기시장처럼 정신없음    ",1,2020.11.08.
21,OP000022,STORE_OP00001,북한산제빵소,19qo718,굳이 멀리서 찾아올정도는 절대 아닌곳. 진짜 경기도 외곽 유명한 빵집처럼 주변 뷰가 좋거나 한것도 아님. 그냥 주변동네 주민들만 심심풀이로 산책하다가 올만할 정도. 주변 한옥마을도 그닥 여러번 볼거리도 아니고,2,2020.10.23.
22,OP000023,STORE_OP00001,북한산제빵소,msck4q,뷰가 정말 좋은 북한산앞 카페 빵도 직접 구우시는데 맛은 쏘쏘지만 공간마다 예쁘게 꾸며놓아서 좋다 ,4,2020.10.11.
23,OP000024,STORE_OP00001,북한산제빵소,13sq2a9,평점 낮은거 감안하고 갔는데 이정도일줄은 커피 완전 찌릿한쓴맛에 누텔라스퀘어는 초코소라빵 크림맛임 누텔라 씻은 물로 만든건가? 머랭쿠키는 계란비릿내 진동하고 너무과하게 달음 설탕퍼먹는게 나을듯. 머랭이 맛없을수도 있다는거 처음앎. 브레드푸딩 무난하고 치즈큐브케잌 무난. ,1,2020.10.10.
24,OP000025,STORE_OP00001,북한산제빵소,97319o,분위기는 좋습니다.주말말고 평일에 가면요. 근데 빵값이 비싸요.   그렇다고 엄청 맛있지도않음.. 음료값은 비싸더라도 자리세라 생각하고 그러려니 하며 마시지만  빵값은 좀 내려도 될듯. ,4,2020.10.02.
