,store_code,ItemID,address,local,category
0,STORE_OP00001,북한산제빵소,서울 은평구 연서로48길 52,(지번) 진관동 170-1,"제과,베이커리"
1,STORE_OP00002,1인1잔,"서울 은평구 연서로 534 1,2층",(지번) 진관동 219,카페
2,STORE_OP00003,백년가게 만포면옥 본점,"서울 은평구 연서로 171 1,2층",(지번) 갈현동 463-1,냉면
3,STORE_OP00004,제주도그릴 특상본점,서울 은평구 응암로 373 역촌빌딩 1층,(지번) 녹번동 161-5,"육류,고기"
4,STORE_OP00005,중화원,서울 은평구 통일로66길 10-16,(지번) 불광동 281-128,중화요리
5,STORE_OP00006,횟집울릉도,서울 은평구 서오릉로 29-4,(지번) 녹번동 154-40,회
6,STORE_OP00007,원조두꺼비집불오징어,"서울 은평구 연서로28길 5 1, 2층",(지번) 대조동 185-33,"해물,생선"
7,STORE_OP00008,가야밀냉면해물칼국수,서울 은평구 대서문길 36 북한산성상가 A동 106호,(지번) 진관동 277-17,냉면
8,STORE_OP00009,스시쇼부 1호점,"서울 은평구 은평로13길 11-9 1,2층",(지번) 응암동 85-4,"초밥,롤"
9,STORE_OP00010,벙구갈비,서울 은평구 응암로 269 1층,(지번) 응암동 119-1,갈비
10,STORE_OP00011,갈현동할머니떡볶이,서울 은평구 통일로87길 8-1,(지번) 갈현동 412-5,떡볶이
11,STORE_OP00012,롱브레드 은평한옥마을점,"서울 은평구 연서로 530 1, 2층",(지번) 진관동 219-2,테마카페
12,STORE_OP00013,마마수제만두,서울 은평구 증산로 397 에벤에셀빌딩 1층,(지번) 신사동 336-3,중식
13,STORE_OP00014,옥탑방,서울 은평구 서오릉로 123 1층,(지번) 역촌동 1-12,삼겹살
14,STORE_OP00015,동감,서울 은평구 증산로15나길 1,(지번) 신사동 165-5,카페
15,STORE_OP00016,파술타,서울 은평구 통일로 883 1층,(지번) 갈현동 394-2,"호프,요리주점"
16,STORE_OP00017,역촌왕돈까스 역촌본점,서울 은평구 진흥로 121-1,(지번) 대조동 43-7,"돈까스,우동"
17,STORE_OP00018,근린커피,서울 은평구 응암로21길 23,(지번) 응암동 579-33,카페
18,STORE_OP00019,옥문,서울 은평구 통일로87길 21 2층,(지번) 갈현1동 425-4,중화요리
19,STORE_OP00020,휴식,서울 은평구 연서로26길 14 2층,(지번) 대조동 201-19,이탈리안
20,STORE_OP00021,이가네가마솥설렁탕,서울 은평구 진흥로 130,(지번) 녹번동 141-39,설렁탕
21,STORE_OP00022,구석집,서울 은평구 통일로83길 17-5 1층,(지번) 갈현동 403-36,"호프,요리주점"
22,STORE_OP00023,산들애건강밥상,서울 은평구 대서문길 43-16,(지번) 진관동 278-30,한식
23,STORE_OP00024,카페뤽상부르,서울 은평구 연서로25길 6-11 2층,(지번) 갈현동 481-13,카페
24,STORE_OP00025,성일식당,서울 은평구 갈현로 306-8,(지번) 갈현동 424-1,갈비
25,STORE_OP00026,빅토리아,서울 은평구 응암로21길 11 1층,(지번) 응암동 579-45,"육류,고기"
26,STORE_OP00027,1인1상,서울 은평구 연서로 534,(지번) 진관동 134-31,퓨전한식
27,STORE_OP00028,우주미,서울 은평구 은평로 185,(지번) 녹번동 185,갈비
28,STORE_OP00029,중화원,서울 은평구 연서로26길 9 1층,(지번) 대조동 197-19,중화요리
29,STORE_OP00030,아로이타이,서울 은평구 은평로 108 메트로럭스 2층 201호,(지번) 응암동 110-9,태국음식
30,STORE_OP00031,스시온도,서울 은평구 불광천길 536,(지번) 응암동 113-35,"초밥,롤"
31,STORE_OP00032,충무칼국수,서울 은평구 은평로 193-1,(지번) 녹번동 204,국수
32,STORE_OP00033,플롭,서울 은평구 불광천길 338,(지번) 응암동 591-19,피자
33,STORE_OP00034,플로,서울 은평구 서오릉로 20-1 1층,(지번) 녹번동 82-41,카페
34,STORE_OP00035,골목집갈비살,서울 은평구 연서로27길 12-9 1층,(지번) 갈현동 454-15,갈비
35,STORE_OP00036,메밀잔치,서울 은평구 대서문길 7 1층,(지번) 진관동 279-88,국수
36,STORE_OP00037,불광동황소곱창구이,서울 은평구 진흥로 141,(지번) 대조동 38-9,"곱창,막창"
37,STORE_OP00038,옥토끼제면소,서울 은평구 불광천길 536,(지번) 응암동 113-35,일본식라면
38,STORE_OP00039,풍천장어 응암점,서울 은평구 응암로 340-1 대진빌딩 1층,(지번) 응암동 87-2,장어
39,STORE_OP00040,보들이족발,서울 은평구 연서로 230-10,(지번) 대조동 185-43,"족발,보쌈"
40,STORE_OP00041,브릭하우스76,서울 은평구 연서로 40,(지번) 역촌동 35-29,"호프,요리주점"
41,STORE_OP00042,심야식당세이지,서울 은평구 연서로27길 13-6,(지번) 갈현동 483-3,일식
42,STORE_OP00043,횟집산이네,서울 은평구 통일로66길 4-1,(지번) 불광동 281-154,"해물,생선"
43,STORE_OP00044,넷길이콩나물국밥,서울 은평구 진흥로 139,(지번) 대조동 38-12,국밥
44,STORE_OP00045,휴가,서울 은평구 진관2로 19 휴먼프라자 3층,(지번) 진관동 74,카페
45,STORE_OP00046,태조대림감자국,서울 은평구 응암로 172,(지번) 응암동 603-74,감자탕
46,STORE_OP00047,진김밥,서울 은평구 연서로 130-1,(지번) 역촌동 1-46,분식
47,STORE_OP00048,유라쿠,서울 은평구 연서로 214,(지번) 대조동 198-27,"초밥,롤"
48,STORE_OP00049,원조양평해장국 직영점,서울 은평구 연서로 203,(지번) 갈현동 460-18,해장국
49,STORE_OP00050,YM커피프로젝트,서울 은평구 연서로29길 21-8,(지번) 갈현동 452-26,카페
