,place_code,ItemID,address,local,category
0,STORE_J0001,명동교자 본점,서울 중구 명동10길 29,(지번) 명동2가 25-36,국수
1,STORE_J0002,금돼지식당,서울 중구 다산로 149,(지번) 신당동 370-69,"육류,고기"
2,STORE_J0003,목멱산방,서울 중구 퇴계로20길 71 1층,(지번) 남산동2가 25-4,한식
3,STORE_J0004,우래옥 본점,서울 중구 창경궁로 62-29,(지번) 주교동 118-1,냉면
4,STORE_J0005,평양면옥,서울 중구 장충단로 207,(지번) 장충동1가 13,냉면
5,STORE_J0006,오장동흥남집 본점,서울 중구 마른내로 114,(지번) 오장동 101-7,냉면
6,STORE_J0007,원조만선호프 노가리체인본점,서울 중구 을지로13길 19 1층,(지번) 을지로3가 95-1,"호프,요리주점"
7,STORE_J0008,오장동함흥냉면,서울 중구 마른내로 108,(지번) 오장동 90-10,냉면
8,STORE_J0009,디라이프스타일 키친 광화문점,서울 중구 세종대로 136 파이낸스센터 지하1층 101A호,(지번) 무교동 97,양식
9,STORE_J0010,정원레스토랑 어반가든,서울 중구 정동길 12-15,(지번) 정동 28-2,이탈리안
10,STORE_J0011,하동관 명동본점,서울 중구 명동9길 12,(지번) 명동1가 10-9,곰탕
11,STORE_J0012,진주회관,서울 중구 세종대로11길 26,(지번) 서소문동 120-35,국수
12,STORE_J0013,태극당,서울 중구 동호로24길 7,(지번) 장충동2가 189-5,"제과,베이커리"
13,STORE_J0014,필동면옥,서울 중구 서애로 26,(지번) 필동3가 1-5,냉면
14,STORE_J0015,마복림떡볶이,서울 중구 다산로35길 5 1층,(지번) 신당동 292-112,떡볶이
15,STORE_J0016,을지다락,서울 중구 수표로10길 19 4층,(지번) 초동 156-9,양식
16,STORE_J0017,원조남산왕돈까스,서울 중구 소파로 107,(지번) 예장동 8-53,"돈까스,우동"
17,STORE_J0018,남포면옥,서울 중구 을지로3길 24,(지번) 다동 121-4,냉면
18,STORE_J0019,을지면옥,서울 중구 충무로 72-1,(지번) 입정동 177-1,냉면
19,STORE_J0020,진작,서울 중구 수표로12길 12 1층,(지번) 저동2가 46-27,퓨전일식
20,STORE_J0021,호랑이,서울 중구 을지로 157 대림상가 3층 라열 351호,(지번) 산림동 207-2,카페
21,STORE_J0022,산수갑산,서울 중구 을지로20길 24 1층,(지번) 인현동1가 15-4,순대
22,STORE_J0023,사랑방칼국수,서울 중구 퇴계로27길 46 1층,(지번) 충무로3가 23-1,닭요리
23,STORE_J0024,유즈라멘 만리동점,서울 중구 만리재로 217,(지번) 만리동1가 53-8,일본식라면
24,STORE_J0025,부민옥,서울 중구 다동길 24-12,(지번) 다동 177-2,한식
25,STORE_J0026,은주정,서울 중구 창경궁로8길 32,(지번) 주교동 43-23,한식
26,STORE_J0027,평래옥,서울 중구 마른내로 21-1,(지번) 저동2가 18-1,냉면
27,STORE_J0028,커피앤시가렛,서울 중구 서소문로 116 유원빌딩 17층,(지번) 서소문동 75-95,카페
28,STORE_J0029,덕수궁 리에제와플,서울 중구 덕수궁길 5 1층,(지번) 태평로2가 365,카페
29,STORE_J0030,동원집,서울 중구 을지로11길 22 1~2층,(지번) 을지로3가 96-2,감자탕
30,STORE_J0031,광화문국밥 본점,서울 중구 세종대로21길 53 1층,(지번) 정동 1-48,국밥
31,STORE_J0032,적당,서울 중구 을지로 29 1층,(지번) 을지로1가 87,디저트카페
32,STORE_J0033,호수집 원조닭꼬치,서울 중구 청파로 443,(지번) 중림동 61-4,닭요리
33,STORE_J0034,중림장,서울 중구 청파로 459-1,(지번) 중림동 468,설렁탕
34,STORE_J0035,명동교자 분점,서울 중구 명동10길 8,(지번) 명동2가 33-4,국수
35,STORE_J0036,영덕회식당,서울 중구 창경궁로1길 6,(지번) 충무로4가 56-3,회
36,STORE_J0037,커피한약방,서울 중구 삼일대로12길 16-6,(지번) 을지로2가 101-34,커피전문점
37,STORE_J0038,더하우스1932,서울 중구 만리재로35길 7,(지번) 만리동1가 62-16,카페
38,STORE_J0039,서울신라호텔 더파크뷰,서울 중구 동호로 249 1층,(지번) 장충동2가 202,뷔페
39,STORE_J0040,리사르커피로스터스,서울 중구 다산로8길 16-7 1층,(지번) 신당동 366-32,커피전문점
40,STORE_J0041,양미옥 을지로본점,서울 중구 충무로 62,(지번) 을지로3가 161,"곱창,막창"
41,STORE_J0042,두툼,서울 중구 중림로 10 삼성사이버빌리지 3동 1층 105호,(지번) 중림동 200,"육류,고기"
42,STORE_J0043,황평집,서울 중구 마른내로 74,(지번) 인현동2가 135-13,닭요리
43,STORE_J0044,무교동북어국집,서울 중구 을지로1길 38,(지번) 다동 173,"해물,생선"
44,STORE_J0045,안동장,서울 중구 을지로 124,(지번) 을지로3가 315-18,중화요리
45,STORE_J0046,청와옥 을지로3가 직영점,서울 중구 을지로 110 1층 1호,(지번) 을지로3가 346-1,순대
46,STORE_J0047,루소랩 정동점,서울 중구 정동길 17 이화정동빌딩,(지번) 정동 17-4,카페
47,STORE_J0048,애성회관,서울 중구 남대문로5길 23 대경빌딩 1층,(지번) 북창동 93-36,곰탕
48,STORE_J0049,가메골손왕만두 남대문본점,서울 중구 남대문시장4길 42,(지번) 남창동 60-2,분식
49,STORE_J0050,이나니와요스케 서울시청점,서울 중구 을지로 6 재능빌딩 1층,(지번) 을지로1가 192-11,"돈까스,우동"
50,STORE_J0051,필동함박 충무로1호점,서울 중구 퇴계로 218-16 1층,(지번) 필동2가 28-10,"스테이크,립"
51,STORE_J0052,평안도족발집,서울 중구 장충단로 174-6,(지번) 장충동1가 62-16,"족발,보쌈"
52,STORE_J0053,다전식당,서울 중구 을지로 157,(지번) 산림동 207-2,국수
53,STORE_J0054,명동돈가스,서울 중구 명동3길 8,(지번) 명동1가 59-13,"돈까스,우동"
54,STORE_J0055,촛불1978,서울 중구 소파로 95 1~3층,(지번) 예장동 8-38,이탈리안
55,STORE_J0056,금산제면소,서울 중구 소공로6길 13,(지번) 회현동2가 31-1,일식
56,STORE_J0057,르빵 명동성당점,서울 중구 명동2가 1-18 1898광장 지하 103호,,"제과,베이커리"
