Latitude,Local Code (Place),Longitude
37.29343,(지번) 창동 337-1,127.63346
37.6826056,(지번) 도봉동 470-3,127.0425405
37.65347,(지번) 쌍문동 100-35,127.02715
36.636327,(지번) 창동 700-27,128.1935133
37.65347,(지번) 쌍문동 395-6,127.02715
37.685468549999996,(지번) 도봉1동 600-4,127.0274286535063
36.636327,(지번) 창동 74-25,128.1935133
37.6826056,(지번) 도봉동 596-23,127.0425405
37.6826056,(지번) 도봉동 286-27,127.0425405
37.66442,(지번) 방학동 436-9,127.03333
37.64166375,(지번) 창2동 650-30,127.03680739868314
37.65347,(지번) 쌍문동 81-74,127.02715
37.66504505,(지번) 방학1동 680-14,127.04358593946017
37.66442,(지번) 방학동 598-1,127.03333
36.636327,(지번) 창동 715-4,128.1935133
37.5358868,(지번) 창동 608-142,127.2276072
37.66442,(지번) 방학동 677-20,127.03333
36.636327,(지번) 창동 659-16,128.1935133
37.66442,(지번) 방학동 669-3,127.03333
36.636327,(지번) 창동 674-29,128.1935133
36.636327,(지번) 창동 635-42,128.1935133
35.20637,(지번) 창동 651-5,128.57426
37.6826056,(지번) 도봉동 625-13,127.0425405
36.636327,(지번) 창동 700-29,128.1935133
37.65347,(지번) 쌍문동 47-2,127.02715
37.6826056,(지번) 도봉동 343-2,127.0425405
36.636327,(지번) 창동 750,128.1935133
37.6826056,(지번) 도봉동 635,127.0425405
36.636327,(지번) 창동 269-4,128.1935133
37.6826056,(지번) 도봉동 560-19,127.0425405
37.65347,(지번) 쌍문동 103-30,127.02715
37.65347,(지번) 쌍문동 395-2,127.02715
37.6826056,(지번) 도봉동 279-13,127.0425405
37.29343,(지번) 창동 659-1,127.63346
37.6826056,(지번) 도봉동 597-21,127.0425405
37.5524297,(지번) 창동 26,126.9165021
36.636327,(지번) 창동 813,128.1935133
37.66442,(지번) 방학동 669,127.03333
36.636327,(지번) 창동 658-49,128.1935133
37.66442,(지번) 방학동 716-14,127.03333
