,store_code,ItemID,address,local,category
0,STORE_GN00001,광고삼시세끼 셰프반찬,서울 강남구 강남대로120길 42 지층,(지번) 논현동 181-6,한식
1,STORE_GN00002,카페노티드 청담,서울 강남구 도산대로53길 15 1층,(지번) 신사동 654-9,디저트카페
2,STORE_GN00003,진미평양냉면,서울 강남구 학동로 305-3 정각빌딩 1층,(지번) 논현동 115-10,냉면
3,STORE_GN00004,팀호완 삼성점,서울 강남구 봉은사로86길 30 1층,(지번) 삼성동 148-15,중화요리
4,STORE_GN00005,꽁티드툴레아 도산점,서울 강남구 도산대로49길 39 1층,(지번) 신사동 646-21,테마카페
5,STORE_GN00006,구구당,서울 강남구 강남대로102길 35,(지번) 역삼동 617-6,퓨전요리
6,STORE_GN00007,카츠바이콘반,서울 강남구 선릉로153길 36 1층,(지번) 신사동 647-22,"돈까스,우동"
7,STORE_GN00008,다운타우너 청담,서울 강남구 도산대로53길 14 1층,(지번) 신사동 666-25,햄버거
8,STORE_GN00009,청담스케쥴,서울 강남구 선릉로152길 37,(지번) 청담동 90-19,양식
9,STORE_GN00010,블루보틀 역삼,서울 강남구 테헤란로 129 강남N타워 1층,(지번) 역삼동 648-9,카페
10,STORE_GN00011,울프강스테이크하우스,서울 강남구 선릉로152길 21 영인빌딩 1층,(지번) 청담동 89-6,양식
11,STORE_GN00012,호족반 청담,서울 강남구 언주로164길 39,(지번) 신사동 646-23,퓨전한식
12,STORE_GN00013,압구정공주떡,서울 강남구 논현로161길 10 1층,(지번) 신사동 569-31,"떡,한과"
13,STORE_GN00014,리틀넥 청담,서울 강남구 도산대로51길 17 1층,(지번) 신사동 653-7,양식
14,STORE_GN00015,카페캠프통 압구정살롱점,서울 강남구 압구정로42길 27,(지번) 신사동 643-22,디저트카페
15,STORE_GN00016,중앙해장,서울 강남구 영동대로86길 17 육인빌딩 1층,(지번) 대치동 996-16,해장국
16,STORE_GN00017,어거스트힐,서울 강남구 강남대로106길 25 1층,(지번) 역삼동 616-18,이탈리안
17,STORE_GN00018,보슬보슬,서울 강남구 테헤란로8길 22,(지번) 역삼동 824-29,분식
18,STORE_GN00019,농민백암순대 본점,서울 강남구 선릉로86길 40-4 알앤지타운 1층,(지번) 대치동 896-33,순대
19,STORE_GN00020,랑데자뷰 강남점,서울 강남구 봉은사로6길 39 1층,(지번) 역삼동 618-18,카페
20,STORE_GN00021,바비레드 강남본점,서울 강남구 봉은사로6길 39 지하2층,(지번) 역삼동 618-18,양식
21,STORE_GN00022,땀땀,서울 강남구 역삼동 817-31,,베트남음식
22,STORE_GN00023,몽중헌 청담점,서울 강남구 도산대로 445 엠빌딩 지하1층,(지번) 청담동 97-1,중화요리
23,STORE_GN00024,새벽집 청담점,서울 강남구 도산대로101길 6,(지번) 청담동 129-10,"육류,고기"
24,STORE_GN00025,뽕나무쟁이 선릉본점,서울 강남구 역삼로65길 31,(지번) 대치동 896-5,"족발,보쌈"
25,STORE_GN00026,뱃고동,서울 강남구 언주로172길 54 지하 1층,(지번) 신사동 663,"해물,생선"
26,STORE_GN00027,맘마미아,서울 강남구 압구정로42길 45,(지번) 신사동 645-26,카페
27,STORE_GN00028,라그릴리아 SPC스퀘어점,서울 강남구 강남대로 352 SPC스퀘어 3층,(지번) 역삼동 831-23,이탈리안
28,STORE_GN00029,정돈,서울 강남구 강남대로110길 26 1층,(지번) 역삼동 811-4,"돈까스,우동"
29,STORE_GN00030,어글리스토브 강남역점,서울 강남구 강남대로98길 20,(지번) 역삼동 817-36,양식
30,STORE_GN00031,까폼 본점,서울 강남구 선릉로153길 18 지하1층,(지번) 신사동 655-15,태국음식
31,STORE_GN00032,정식당,서울 강남구 선릉로158길 11,(지번) 청담동 83-24,퓨전한식
32,STORE_GN00033,칙피스,서울 강남구 강남대로152길 69,(지번) 신사동 540-18,양식
33,STORE_GN00034,능라도 강남점,서울 강남구 삼성로 534,(지번) 삼성동 151-7,냉면
34,STORE_GN00035,테라로사 포스코센터점,서울 강남구 테헤란로 440 포스코센터 1층,(지번) 대치동 892,커피전문점
35,STORE_GN00036,영천영화 청담점,서울 강남구 도산대로90길 3,(지번) 청담동 50-13,"육류,고기"
36,STORE_GN00037,수담한정식,서울 강남구 봉은사로 418,(지번) 삼성동 113,한정식
37,STORE_GN00038,정월,서울 강남구 강남대로102길 46 1층,(지번) 역삼동 618-21,카페
38,STORE_GN00039,창고43 강남점,서울 강남구 강남대로 362 대륭강남타워 지하1층,(지번) 역삼동 826-20,"육류,고기"
39,STORE_GN00040,알베르,서울 강남구 강남대로102길 34,(지번) 역삼동 618-11,카페
40,STORE_GN00041,아우어베이커리 가로수길점,서울 강남구 강남대로162길 39,(지번) 신사동 523-19,"제과,베이커리"
41,STORE_GN00042,강강술래 역삼점,서울 강남구 논현로 325,(지번) 역삼동 797-19,"육류,고기"
42,STORE_GN00043,포브라더스 도곡점,서울 강남구 논현로28길 40 덕영빌딩,(지번) 도곡동 423-5,동남아음식
43,STORE_GN00044,카페413프로젝트,서울 강남구 논현로97길 19-11,(지번) 역삼동 640-9,카페
44,STORE_GN00045,썸띵어바웃커피,서울 강남구 강남대로102길 30 1~3층,(지번) 역삼동 618-16,디저트카페
45,STORE_GN00046,페어링룸,서울 강남구 도산대로81길 14 1층,(지번) 청담동 117-12,이탈리안
46,STORE_GN00047,뜨락,서울 강남구 영동대로142길 13-3,(지번) 청담동 130-13,"육류,고기"
47,STORE_GN00048,도산분식 가로수길점,서울 강남구 강남대로162길 35,(지번) 신사동 523-17,분식
48,STORE_GN00049,대낚식당,서울 강남구 역삼로 137 1층,(지번) 역삼동 751-17,"곱창,막창"
49,STORE_GN00050,온달집 본점,서울 강남구 강남대로152길 28 1층,(지번) 신사동 514-4,실내포장마차
50,STORE_GN00051,오리지널 팬케이크하우스 가로수길점,서울 강남구 강남대로162길 41 동원빌딩 1층,(지번) 신사동 523-20,디저트카페
51,STORE_GN00052,피양옥,서울 강남구 삼성로133길 14,(지번) 청담동 32-6,냉면
52,STORE_GN00053,아우어베이커리 도산본점,서울 강남구 도산대로45길 10-11,(지번) 신사동 648-14,"제과,베이커리"
53,STORE_GN00054,오복수산 도산점,서울 강남구 도산대로53길 14 2층,(지번) 신사동 666-25,일식집
54,STORE_GN00055,도수향,서울 강남구 선릉로161길 21-4,(지번) 신사동 662-7,"떡,한과"
55,STORE_GN00056,길목,서울 강남구 영동대로129길 10 1층,(지번) 삼성동 58-6,"육류,고기"
56,STORE_GN00057,을밀대 강남점,서울 강남구 테헤란로4길 46 지하1층,(지번) 역삼동 826-37,냉면
57,STORE_GN00058,구스아일랜드 브루하우스,서울 강남구 역삼로 118,(지번) 역삼동 833-1,양식
58,STORE_GN00059,은행골 신사점,서울 강남구 강남대로152길 42 2층,(지번) 신사동 537-2,"초밥,롤"
59,STORE_GN00060,브루클린더버거조인트 가로수길점,서울 강남구 도산대로15길 12 YG빌딩 1층,(지번) 신사동 540-11,햄버거
60,STORE_GN00061,블루보틀 압구정,서울 강남구 논현로 854 안다즈호텔 101호,(지번) 신사동 610-6,카페
61,STORE_GN00062,육전식당 4호점,서울 강남구 테헤란로8길 11-4 1층,(지번) 역삼동 823-10,"육류,고기"
62,STORE_GN00063,돝고기506,"서울 강남구 역삼로17길 53 서연빌딩 2,3층",(지번) 역삼동 739-13,"육류,고기"
63,STORE_GN00064,해몽,서울 강남구 학동로41길 32,(지번) 논현동 107-11,"육류,고기"
64,STORE_GN00065,스시소라,서울 강남구 삼성로85길 33 현대썬앤빌 203호,(지번) 대치동 894,"초밥,롤"
65,STORE_GN00066,진전복삼계탕,서울 강남구 선릉로129길 21 1층,(지번) 논현동 243-5,삼계탕
66,STORE_GN00067,한일관 압구정점,서울 강남구 압구정로38길 14,(지번) 신사동 619-4,한정식
67,STORE_GN00068,신동궁감자탕뼈숯불구이 선릉직영점,서울 강남구 선릉로86길 39,(지번) 대치동 890-44,감자탕
68,STORE_GN00069,피양콩할마니 본점,서울 강남구 삼성로81길 30,(지번) 대치동 894-14,한식
69,STORE_GN00070,경천애인2237,서울 강남구 테헤란로 421 암천빌딩 3층,(지번) 삼성동 142-46,"육류,고기"
70,STORE_GN00071,마켓오 도곡점,서울 강남구 남부순환로 2745,(지번) 도곡동 177-2,패밀리레스토랑
71,STORE_GN00072,갓덴스시 강남점,서울 강남구 테헤란로 109 강남제일빌딩 1층,(지번) 역삼동 822-4,"초밥,롤"
72,STORE_GN00073,미미면가 본점,서울 강남구 강남대로160길 29 1층,(지번) 신사동 521-16,일식
73,STORE_GN00074,긴자 청담점,서울 강남구 도산대로 534,(지번) 청담동 52-2,일식집
