,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,SC000001,STORE_SC00001,광고마산콧털네,11b08qg,,5,2020.10.23.
1,SC000002,STORE_SC00001,광고마산콧털네,v32d49,신사동 아구찜 골목에서 찐 인정하는 집. 맛있네요~,5,2020.10.13.
2,SC000003,STORE_SC00001,광고마산콧털네,mtl9ng,,4,2020.10.04.
3,SC000004,STORE_SC00001,광고마산콧털네,beiv97,신사동 아구찜 다 쓰레긴줄 알았는데 여긴 인정합니다,5,2020.02.06.
4,SC000005,STORE_SC00001,광고마산콧털네,uf5n37,아구찜 넘버원 인정 진짜 맛있네요!,5,2019.02.11.
5,SC000006,STORE_SC00001,광고마산콧털네,le80ac,,5,2018.02.10.
6,SC000007,STORE_SC00001,광고마산콧털네,le74vr,아구생물 처음먹어본집,5,2018.02.10.
7,SC000008,STORE_SC00002,카페노티드 서래,s50g6f,줄 서긴 하지만 맛있어용,5,2021.08.08.
8,SC000009,STORE_SC00002,카페노티드 서래,95a69o,,5,2021.08.03.
9,SC000010,STORE_SC00002,카페노티드 서래,10tj0fo,강아지 있었어서 지루하지않아 하나 더 드립니다.한 팀 씩 메뉴 고르는거 너무 비효율적이에요 코로나때문이라면 웨이팅 줄도 띄어 놔야죠,3,2021.08.02.
10,SC000011,STORE_SC00002,카페노티드 서래,uj8349,한여름에 그늘막 하나 없이 땡볕에 웨이팅 시키는 개념없는 가게,1,2021.07.31.
11,SC000012,STORE_SC00002,카페노티드 서래,fu2biu,,1,2021.07.21.
12,SC000013,STORE_SC00002,카페노티드 서래,duhrmm,서래가 아니고 방배자나요 ㅠㅠ ,3,2021.07.01.
13,SC000014,STORE_SC00002,카페노티드 서래,1kus951,,4,2021.06.21.
14,SC000015,STORE_SC00002,카페노티드 서래,1556dko,예뻐서 마음이 정화되는 기분,5,2021.06.11.
15,SC000016,STORE_SC00002,카페노티드 서래,19oqdrn,당 땡길때마다 가는 곳 압구정보다 줄이 짧아서 좋습니다 포장해서 집에서 먹는걸 추천해요,5,2021.05.31.
16,SC000017,STORE_SC00002,카페노티드 서래,k7mut1,"11시에 예약하고 갔는데 줄 전혀 없었어요!!ㅎㅎ 총 5개 사서 16000정도? 나왔어요 맛은 사실 어어엄청 기대하고 갔는데 기본 우유만 먹엇는데 그렇게까진 맛있진 않았어요,,, 저는 이거 먹으려고 한시간 걸려서 와서 그런건데 집 주변에 있는거였으면 더 좋았을것같아요ㅎㅎ",4,2021.05.28.
17,SC000018,STORE_SC00002,카페노티드 서래,14dq4g1,솔직히 왜 줄서서 먹는지 모르겟음..,1,2021.05.26.
18,SC000019,STORE_SC00002,카페노티드 서래,mavnif,너무 좁습니다.,1,2021.05.02.
19,SC000020,STORE_SC00002,카페노티드 서래,bfsol3,줄서는 것 어떻게 개선안될까요.. 코로나 시대에 매장안 앉는 자리 좀 줄이고 계산대 장소좀 넓혀주세요.. 90%이상이 빵 테이크아웃인데 매번 기본 30분 이상씩 기다려야 한다는게 이해안가요. 가끔 오지만 줄 서 있는 손님들도 다들 너무 힘들어 합니다...,1,2021.05.02.
20,SC000021,STORE_SC00002,카페노티드 서래,fkflon,일부러 줄을 길게 늘어뜨려 지나가는 사람들이 모두 관심 갖게 만드는 시스템을 운영함 한사람이 매장 들어오면 결제 끝날때까지 다른 사람 결제를 안한다고 보는게 정확함,1,2021.04.17.
21,SC000022,STORE_SC00002,카페노티드 서래,o2sttq,줄길다ㅜ,5,2021.04.11.
22,SC000023,STORE_SC00002,카페노티드 서래,1hoov1f,오래걸리는거 빼고 좋아요^^-,3,2021.04.06.
23,SC000024,STORE_SC00002,카페노티드 서래,14kc3rd,생각보다 더 맛있어요! 비오는 날이라 그런지 주말인데도 줄도 오래 안섰네요ㅎㅎ그리고 매장에서 사자마자 도넛 하나 떨어뜨렸는데ㅠㅠ매니저분이신지 직원분께서 새로 다시 주셔서 넘 감사했습니다ㅠㅠ,5,2021.04.03.
24,SC000025,STORE_SC00002,카페노티드 서래,13keh4o,패키지랑 인테리어가 귀여워요,5,2021.03.01.
25,SC000026,STORE_SC00002,카페노티드 서래,kppkkr,요새는 도넛도 빨리빨리 채워져서 좋아요 밀크크림 맛있어요,5,2021.02.12.
26,SC000027,STORE_SC00002,카페노티드 서래,o7mol7,대기시스템이....직원은 많은데 비효율적인 주문 시스템으로 줄은 계속 길어지고...,1,2021.02.10.
27,SC000028,STORE_SC00002,카페노티드 서래,17e8fnf,도넛이 진짜 맛있다 음료 일회용컵에만 담아주는건 아쉽..,4,2021.02.05.
28,SC000029,STORE_SC00002,카페노티드 서래,1327nn7,한팀씩 도너츠 고르고 계산하고..시간이 오래 걸릴수밖에 없는..줄이 길수밖에 없는 시스템,3,2021.01.24.
29,SC000030,STORE_SC00002,카페노티드 서래,1fhuu3h,동네에 있다는게 너무 맘에 듦. 외부 사람들은 찾기 힘들다. 진열대와 계산대가 비좁아서 직원들도 손님들도 힘든게 난센스,4,2021.01.15.
30,SC000031,STORE_SC00002,카페노티드 서래,v21363,아메리카노 큰 사이즈가 있으면 더 좋을 것 같습니다!,5,2021.01.08.
31,SC000032,STORE_SC00002,카페노티드 서래,7kc4is,이 지점 직원분들 중 특히 카운터의 머리 묶고 있는 있는 여자 직원.. 서비스 마인드 좀 갖췄으면 합니다.. 빵사러 갔다가 기분 나쁜거 처음이네요  삼성점 기대 중 입니다.,1,2020.12.29.
32,SC000033,STORE_SC00002,카페노티드 서래,1d53oi5,도넛은 맛맛 하지만 도넛 집기도 너무 불편하고. 공간이 너~~무 좁음...,3,2020.12.10.
33,SC000034,STORE_SC00002,카페노티드 서래,v47tfs,기다려서 먹을만한 뛰어난 도넛은 아니예요.안에 들어있는 여러종류의 크림들이 다 느끼해서 반개 먹으면 끝~도넛보다 빵.,2,2020.12.05.
34,SC000035,STORE_SC00002,카페노티드 서래,19d99hn,"저는 점심 좀 지나서 갔나 암튼 직원분 전 불친절 하진 않았어요 괜찮던데,, 암튼 근데 도넛이 막 춈맛탱 까진 아니었어요 ㅜㅡㅠ ... 그래두 그건 제 기대치가 넘높앗던거니까.. 빵만 두고 보면 먹을만 해온 ",5,2020.11.24.
35,SC000036,STORE_SC00002,카페노티드 서래,d0sh26,카스타드 소스가 젤 마식음 청담점보다 늦게까지 빵 많아서 좋음,4,2020.11.17.
36,SC000037,STORE_SC00002,카페노티드 서래,8v1uoe,바닥이 끈적거려서 청결하지 못하다는 인상을 받음,1,2020.11.07.
37,SC000038,STORE_SC00002,카페노티드 서래,k96rpa,공간이 귀엽고 도너츠랑 다른 빵들도 다 맛있었어요~ 커피 양이 너무 적어서 아쉬웠습니다ㅜ,4,2020.11.03.
38,SC000039,STORE_SC00002,카페노티드 서래,7l5tfq,좁은 공간에 개업하려고 했으면 좀 더 신중했어야 했는데 고객 동선이 엉망이어서 불편합니다.,2,2020.09.27.
39,SC000040,STORE_SC00002,카페노티드 서래,st2hjo,맛있어요 여기 생겨서 넘좋아오,5,2020.09.11.
40,SC000041,STORE_SC00002,카페노티드 서래,1bpfugo,도넛 너무 맛있어요ㅠㅠ 종종 포장해서 먹어요,5,2020.09.05.
41,SC000042,STORE_SC00002,카페노티드 서래,av671d,빵맛잇능데 커피는 그저그룸,3,2020.08.20.
42,SC000043,STORE_SC00002,카페노티드 서래,botn03,,5,2020.08.18.
43,SC000044,STORE_SC00002,카페노티드 서래,19eciap,가격이 진짜 사악하고 직원도 불친절하고 별로였어요. 그런데 내부는 엄청 예쁘고 빵도 맛있었어요.,3,2020.07.16.
44,SC000045,STORE_SC00002,카페노티드 서래,bffgfn,가격 사악한건 원래 알고 있었어요 직원 불친절하다는 리뷰는 솔직히 댓글 알바일줄 알았는데 그게 아닐수도 있다는 생각 오늘 처음 해보네요.. 시시때때로 바뀌는 임신한 와이프 입맛에 맞게 빵을 골랐다가 도넛몇개 더 먹고싶다고 하서 구매한지 3분도 안되어 교환을 요청드렸는데 딱잘라 안된다함..ㅠㅠ 마음의상처 오지네요 이번주말은 삼시세끼 빵각 덕분에 ,1,2020.07.03.
45,SC000046,STORE_SC00002,카페노티드 서래,uaf14r,직원들 엄청 불친절한거 맞는데 일단 가격도 사악함 빵두개사면 15000원대 ㅋㅋ,1,2020.06.07.
46,SC000047,STORE_SC00002,카페노티드 서래,tmrcio,도넛사러 아침에 갔더니 11시에 나온다네요   직원들은 불친절한거 맞네요 ,1,2020.05.28.
47,SC000048,STORE_SC00002,카페노티드 서래,u4a15o,직원들이 무지하게 불친절한 것을 넘어 아예 고객 배려마인드 자체가 없는 곳... 돈 쓰고 기분 잡치고 옴,1,2020.05.05.
48,SC000049,STORE_SC00002,카페노티드 서래,e4j352,"빵은 맛나서 몇번 갔는데 직원 분이 굉장히 불친절하시네요,  ",2,2020.05.05.
49,SC000050,STORE_SC00002,카페노티드 서래,7p9gt6,맛도 있고 가게도 빵도 예뻐요. 근데 점원이 너무 불친절하시네요. 도넛도 대충대충 옆에 다 흘리고 상자에 묻고... 돈쓰고 기분 상한 느낌입니다.,2,2020.03.28.
50,SC000051,STORE_SC00002,카페노티드 서래,e8m2ot,다른 곳보다 맛있고 느낌있는 인테리어와 포장 인정합니다. 저도 제 맛집 리스트 추가하고 자주 가려고 했습니다만.. 참 아쉬운 부분이  보입니다. 우선 요즘 같이 민감한 시기에 빵만드시는 분들이 마스크를 턱에 걸치고 작업하시던데.. 그럴꺼면 왜 썼나 싶었습니다. 또 9시 오픈시각 도착해서 샌드위치 크라상 문의드리니 30분 후에 나온다고 해서 근처 돌다가 30...,1,2020.03.21.
51,SC000052,STORE_SC00002,카페노티드 서래,k69a47,커피랑 빵 비록 하나씩밖에 안먹었지만 맛은 있어요!!!! 친절하세요!! 근데 카페가 15평은 되려나?? 뭔가 카페가 디게 작은데 테이블이 너무 많아서 다닥다닥붙어있고... 옆사람테이블에 같이 합석한느낌??ㅋㅋㅋㅋㅋ 뭐 그런와중에 사람은많고 좀 많이 정신사나워요ㅠㅠ 조용한 주택단지에 있는데 어떻게 찾아가시는지 인기가 많아서 그런가? 조용한 그런카페는 아니고 ...,4,2020.03.05.
52,SC000053,STORE_SC00002,카페노티드 서래,tja2ov,빵도 맛있고 분위기가 너무 예뻐요.,5,2020.02.26.
