,store_code,ItemID,address,local,category
0,STORE_SC00001,광고마산콧털네,서울 서초구 신반포로47길 118,(지번) 잠원동 20-1,"해물,생선"
1,STORE_SC00002,카페노티드 서래,서울 서초구 방배로32길 30-9 1층,(지번) 방배동 838-29,카페
2,STORE_SC00003,서관면옥,서울 서초구 서초대로56길 11 1층,(지번) 서초동 1675-6,냉면
3,STORE_SC00004,애플하우스,서울 서초구 신반포로 50,(지번) 반포동 978,떡볶이
4,STORE_SC00005,텍사스데브라질 센트럴시티점,서울 서초구 사평대로 205 BP 4-5 파미에가든 4층,(지번) 반포동 118-3,"스테이크,립"
5,STORE_SC00006,프릳츠 양재점,서울 서초구 강남대로37길 24-11 서림빌딩 1층,(지번) 서초동 1363-10,카페
6,STORE_SC00007,삼육가 사당역점,서울 서초구 방배천로 10,(지번) 방배동 450-16,"육류,고기"
7,STORE_SC00008,마루심 본점,서울 서초구 고무래로10길 10 청구빌딩 1층,(지번) 반포동 54-10,장어
8,STORE_SC00009,루엘드파리,서울 서초구 서초중앙로 18 112호,(지번) 서초동 1445-13,"제과,베이커리"
9,STORE_SC00010,공미학,서울 서초구 서초대로48길 101 1층,(지번) 서초동 1564-1,커피전문점
10,STORE_SC00011,세광양대창 교대본점 본관,"서울 서초구 반포대로28길 79 1,2층",(지번) 서초동 1571-19,"곱창,막창"
11,STORE_SC00012,백년옥 본관,서울 서초구 남부순환로 2407,(지번) 서초동 1450-6,두부전문점
12,STORE_SC00013,하이디라오 강남점,서울 서초구 서초대로77길 54 서초w타워 2층,(지번) 서초동 1303-37,샤브샤브
13,STORE_SC00014,설마중,서울 서초구 남부순환로 2648,(지번) 양재동 2-3,갈비
14,STORE_SC00015,3대삼계장인,서울 서초구 반포대로28길 56-3 1층,(지번) 서초동 1557-17,삼계탕
15,STORE_SC00016,낙원타코 강남역점,서울 서초구 서초대로73길 9 타임빌딩 3층,(지번) 서초동 1316-29,"멕시칸,브라질"
16,STORE_SC00017,교대이층집 본점,서울 서초구 서초대로50길 24 청화빌딩 2층,(지번) 서초동 1571-18,"육류,고기"
17,STORE_SC00018,봉산옥 서초동본점,서울 서초구 반포대로8길 5-6,(지번) 서초3동 1451-9,국수
18,STORE_SC00019,한소반 청계산점,서울 서초구 청계산로 249,(지번) 신원동 192-82,한식
19,STORE_SC00020,캐틀앤비 양재천점,서울 서초구 양재천로 131,(지번) 양재동 90-4,디저트카페
20,STORE_SC00021,이자카야나무 강남3호점,서울 서초구 서초대로75길 23,(지번) 서초동 1307-11,일본식주점
21,STORE_SC00022,쉐이크쉑 센트럴시티점,서울 서초구 신반포로 176 센트럴시티빌딩 1층 119호,(지번) 반포동 19-3,햄버거
22,STORE_SC00023,임병주산동칼국수,서울 서초구 강남대로37길 65,(지번) 서초동 1365,국수
23,STORE_SC00024,카페토다,서울 서초구 성촌6길 39,(지번) 우면동 176-5,카페
