,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
0,GC000001,STORE_GC00001,광고만두라,tghmif,드뎌열은듯? 전화가네 ,4,2021.08.12.
1,GC000002,STORE_GC00001,광고만두라,1m4d6dq,ㅜㅜ 방문했는데 아직 안열었네요ㅠㅠ 맛보고싶었는데ㅜ,4,2021.07.22.
2,GC000003,STORE_GC00001,광고만두라,ssnvg6,주변 상인들 말로는 6월달부터 영업하신다고 전달받았는데 아직까지도 영업하지 않으심.. 5월 중순부터 3번은 찾아가본 듯 한데 언제쯤 먹어볼 수 있을지…,3,2021.06.16.
3,GC000004,STORE_GC00001,광고만두라,8uv76b,못먹어봐서 ㅠ 6월10일 어제 갔는데 개인 사정으로 당분간 쉰다고 적혀 있었어요 ㅠ 언제까지 쉬는지는 잘 모름 안적혀 있었음.,3,2021.06.11.
4,GC000005,STORE_GC00001,광고만두라,n1gc3v,만두로는 최고,5,2021.05.19.
5,GC000006,STORE_GC00001,광고만두라,11b08qg,금천구 맛집 찾다가 들렸는데 김치만두 최고네요~~ 속도 꽉차고 3개 먹으니 너무 배불르네요,5,2020.11.27.
6,GC000007,STORE_GC00001,광고만두라,1bvq504,,5,2020.10.22.
7,GC000008,STORE_GC00001,광고만두라,1bpbrba,우연히 예전 방송에 나온거 보고 갑자기 먹고 싶어서 방문했는데 동네 만두집하고 큰 차이는 모르겠어요 ㅠㅠ,3,2020.09.05.
8,GC000009,STORE_GC00001,광고만두라,bfrqdf,통만두 맛집,5,2020.08.21.
9,GC000010,STORE_GC00001,광고만두라,ec1ve9,"만두 맛집이라고해서 따라가서 먹은 집. 김치만두만 먹어서 김치만두국 먹었는데, 김치만두는 정말 별로였음..",2,2020.08.09.
10,GC000011,STORE_GC00001,광고만두라,1b1ftqu,맛은 그럭저럭 평범하고 불친절해요,2,2020.08.07.
11,GC000012,STORE_GC00001,광고만두라,csgujd,공구단지내 종사자와 방문객들의 오랜 사랑을 받고 있는 집으로 속이 비치는 육향가득 통만두가 맛이 좋다.,4,2020.04.25.
12,GC000013,STORE_GC00001,광고만두라,9jrrcp,"통만두는 맛있지만 김치만두는 최악.만두국도 맛없고 김치만두가 맛있어야 진짜 잘하는집인데, 일반 시장통 만두집에 비해 별차이없는 흔한맛에 공구상가 월세가 비쌀리도 없는데 모든 메뉴가 비싼편이고 만두는 3500원, 만두국은 6천원 받아야 적당한 가격임. ",1,2020.02.21.
13,GC000014,STORE_GC00001,광고만두라,pn0fj5,김치통만두랑 만둣국 시켰음 매장안은 깔끔하고 만두도 금방 나옴 매장분들 모두 정말 친절하심 김치만두는 평소에 비려서 많이 안좋아하는데 굉장히 부드럽고 공장만두보다 간이 삼삼해서 좋음 만둣국은 사골국물에 물만두가 나오는데  정말정말 부드러워서 후루룩 마셔먹을수 있음 만족만족 대만족 재방문 의사 있음,5,2020.01.15.
14,GC000015,STORE_GC00001,광고만두라,10mgd53,만두피가 얇고 부드러워요. 만두 속도 잘 다져져있어서 피랑 굉장히 잘어울려요. 만둣국이랑 김치만두 먹었는데 둘다 최고!! 만둣국은 사골국물이 진하고 김치만두는 속이 비리지않고 김치맛이 적당히 나서 좋았어요ㅠㅠ 가격도 저렴하고 서비스도 훌륭해요. 만둣국 시키면 밥을 주시는데 리필 가능한 듯 해요!! 많이들 가셨으면 좋겠습니다:-D,5,2020.01.15.
15,GC000016,STORE_GC00001,광고만두라,m8c8qs,,3,2019.12.26.
16,GC000017,STORE_GC00001,광고만두라,tknu55,,5,2019.02.09.
17,GC000018,STORE_GC00001,광고만두라,7lro0a,"부들부들한 만두피에 한 입에 먹기 좋은 만두가 가득 들어있는 사골만두국이 이 집의 Top. 더 달라하면 얼마든지 내주는 밥과 겉절이김치까지 먹을 수 있다. 주인 내외분들도 친절하시고, 가게도 깨끗해서 다녀오면 기분까지 좋아지는 밥집이다. 점심 피크타임을 비켜 가면 주차도 한결 수월하다.",5,2018.11.16.
18,GC000019,STORE_GC00001,광고만두라,gfsi8i,정직한맛. 굳이 단점을 찾자면 주차장때문에 가기 꺼려진다..,5,2018.11.15.
19,GC000020,STORE_GC00001,광고만두라,bgpuf2,맛나네용.  점심 먹으러 들렀는데 역시 육수가 좋아요,4,2018.05.30.
20,GC000021,STORE_GC00001,광고만두라,lumufu,맛있어요,5,2018.03.10.
21,GC000022,STORE_GC00001,광고만두라,msecl5,,5,2017.08.13.
22,GC000023,STORE_GC00001,광고만두라,7killg,시흥3동 954-21 공구상가4번건물 2번출입구,3,2016.03.12.
23,GC000024,STORE_GC00001,광고만두라,,"맛으로는 8점, 친절과 위생, 가격을 더한다면 10점 만점... 기회(?)가 된다면 다시 가볼 것 같다...",5,2019.04.04.
24,GC000025,STORE_GC00001,광고만두라,,,4,2018.10.28.
25,GC000026,STORE_GC00001,광고만두라,,,5,2018.10.19.
26,GC000027,STORE_GC00001,광고만두라,,생활의 달인에 이어 수요미식회 만두 맛집~ 만두국이 특히 맛있었어요^^,4,2018.10.17.
27,GC000028,STORE_GC00001,광고만두라,,"""HOLY Mandu""  전세계 돌아 다녀도 이정도 가격에 이정도 가성비 찾기 힘듬.  상황상 군만두를 과감히 뺀거 보면 만두 아시는 분임.  다만 알바들이 문제....서비스 해본적 없는...분들 쓰시는듯...  단 메뉴 볼것 없고 통만두 2인분 모밀국수 1인분..만육천원으로 행복한 오후 보낸다.  부대시설 인테리어 화장실 이런건 안드로메다로 보내고 가야 ...",5,2018.03.22.
28,GC000029,STORE_GC00001,광고만두라,,,3,2016.06.28.
29,GC000030,STORE_GC00001,광고만두라,,꼭  방문하겠습니다,5,2018.03.10.
30,GC000031,STORE_GC00002,가산물갈비&백년불고기,1kbkdss,,5,2021.07.15.
31,GC000032,STORE_GC00002,가산물갈비&백년불고기,kl3tq0,회식 장소로는 갸우뚱. 하지만 동성 친구끼리 가성비 있게 먹을 장소로 제격입니다. 양 많고 맛 좋고 서비스 괜찮아요.,5,2021.05.23.
32,GC000033,STORE_GC00002,가산물갈비&백년불고기,tl6oe5,"여기가 맛있어요? 회식장소로 좋아요? 아 내돈 내산은 안좋다는거죠 갔을때 먹고, 아 여긴 두번다시 안올맛이다. 싶어요 한약재로 만들었다고 하는데,그게 진짜 사족의맛 이에요.",1,2021.05.13.
33,GC000034,STORE_GC00002,가산물갈비&백년불고기,9hhb1j,회식장소로 좋구요 오징어튀김이 별미예요 엄청 바삭해요 ,5,2021.04.23.
34,GC000035,STORE_GC00002,가산물갈비&백년불고기,td5904,맛있음,5,2021.03.27.
35,GC000036,STORE_GC00002,가산물갈비&백년불고기,vcc55l,회식으로는 딱입니다,5,2020.12.22.
36,GC000037,STORE_GC00002,가산물갈비&백년불고기,1boevfl,맛있어요 양도많고ㅋ,4,2020.10.16.
37,GC000038,STORE_GC00002,가산물갈비&백년불고기,1cqonqd,맵찔이는 먹기 힘들어요! 그러나 오징어튀김 있으니까 괜찮아요 ㅋㅋㅋ 맛있음다,4,2020.10.16.
