Address (Store1),Address (Store1) - 분할 2,Catrgory Code (Store1),Local Code (Store1),Store Code (Store1),Store Name (Store1)
서울 도봉구 노해로 327 5층,도봉구,한식,(지번) 창동 337-1,STORE_DB00001,하누소 창동본점
서울 도봉구 도봉로169길 202,도봉구,양식,(지번) 도봉동 470-3,STORE_DB00002,메이다이닝
서울 도봉구 도봉로109길 30 1층,도봉구,"육류,고기",(지번) 쌍문동 100-35,STORE_DB00003,동적불고기 쌍문점
서울 도봉구 노해로 261 1층,도봉구,디저트카페,(지번) 창동 700-27,STORE_DB00004,도봉관
서울 도봉구 우이천로24길 49 1층,도봉구,중화요리,(지번) 쌍문동 395-6,STORE_DB00005,쌍문동판다쓰
서울 도봉구 도봉로165길 15,도봉구,"육류,고기",(지번) 도봉1동 600-4,STORE_DB00006,무수옥
서울 도봉구 노해로63길 84 지하1층,도봉구,"돈까스,우동",(지번) 창동 74-25,STORE_DB00007,마쯔무라돈까스 본점
서울 도봉구 도봉로165길 4,도봉구,"곱창,막창",(지번) 도봉동 596-23,STORE_DB00008,삼오집
서울 도봉구 도봉산4가길 14-9 1층,도봉구,"게,대게",(지번) 도봉동 286-27,STORE_DB00009,옹기꽃게장
서울 도봉구 시루봉로 139-6,도봉구,한정식,(지번) 방학동 436-9,STORE_DB00010,대문
서울 도봉구 도봉로110길 8,도봉구,"초밥,롤",(지번) 창2동 650-30,STORE_DB00011,스시혼 창동점
서울 도봉구 도봉로121길 32,도봉구,분식,(지번) 쌍문동 81-74,STORE_DB00012,호호분식
서울 도봉구 도봉로 663-8,도봉구,회,(지번) 방학1동 680-14,STORE_DB00013,동해수산
서울 도봉구 방학로 312,도봉구,쌈밥,(지번) 방학동 598-1,STORE_DB00014,황금정원
서울 도봉구 해등로 139 상가 1층,도봉구,"굴,전복",(지번) 창동 715-4,STORE_DB00015,착한전복 창동점
서울 도봉구 도봉로110아길 19 1층,도봉구,이탈리안,(지번) 창동 608-142,STORE_DB00016,헬로파스타
서울 도봉구 방학로 99-16,도봉구,중식,(지번) 방학동 677-20,STORE_DB00017,방학사거리짬뽕집 본점
서울 도봉구 도봉로118길 6-8,도봉구,"제과,베이커리",(지번) 창동 659-16,STORE_DB00018,글림 쌍문점
서울 도봉구 방학로 173,도봉구,중화요리,(지번) 방학동 669-3,STORE_DB00019,수정궁
서울 도봉구 도봉로110아길 7,도봉구,닭강정,(지번) 창동 674-29,STORE_DB00020,스마일닭강정
서울 도봉구 우이천로20길 7 건영아파트 상가 103동 1층 118호,도봉구,일식집,(지번) 창동 635-42,STORE_DB00021,코노하
서울 도봉구 도봉로112길 26,도봉구,"돈까스,우동",(지번) 창동 651-5,STORE_DB00022,구월십일
서울 도봉구 도봉로164길 38,도봉구,한식,(지번) 도봉동 625-13,STORE_DB00023,묵은지사랑
서울 도봉구 도봉로 526 2층,도봉구,한식,(지번) 창동 700-29,STORE_DB00024,신화푸드빌리지 서울창동점
서울 도봉구 방학로7길 99,도봉구,"초밥,롤",(지번) 쌍문동 47-2,STORE_DB00025,사이코우스시 쌍문점
서울 도봉구 도봉로191길 99-6,도봉구,"육류,고기",(지번) 도봉동 343-2,STORE_DB00026,도봉산양고기
서울 도봉구 도봉로 610 2층,도봉구,일식집,(지번) 창동 750,STORE_DB00027,삿뽀로 창동점
서울 도봉구 마들로 684,도봉구,"초밥,롤",(지번) 도봉동 635,STORE_DB00028,은행골 도봉점
"서울 도봉구 해등로16길 67 1,2층",도봉구,카페,(지번) 창동 269-4,STORE_DB00029,꿀소담
서울 도봉구 도봉로 909 1층,도봉구,고기뷔페,(지번) 도봉동 560-19,STORE_DB00030,소도둑 도봉동점
서울 도봉구 우이천로24길 69 1층,도봉구,카페,(지번) 쌍문동 103-30,STORE_DB00031,매일이기념일
서울 도봉구 도봉로109길 35-26,도봉구,떡볶이,(지번) 쌍문동 395-2,STORE_DB00032,영즉석 떡볶이
서울 도봉구 도봉산길 12-10,도봉구,"육류,고기",(지번) 도봉동 279-13,STORE_DB00033,인디언소울2
서울 도봉구 도봉로118길 10 2층,도봉구,디저트카페,(지번) 창동 659-1,STORE_DB00034,카페작약
서울 도봉구 도봉로169나길 42 1층,도봉구,태국음식,(지번) 도봉동 597-21,STORE_DB00035,써이포차나 본점
서울 도봉구 노해로 384,도봉구,일본식주점,(지번) 창동 26,STORE_DB00036,쉐프마인드
서울 도봉구 해등로16길 12 현대아파트상가동 2층 201호,도봉구,커피전문점,(지번) 창동 813,STORE_DB00037,카페오븐
서울 도봉구 방학로 183 1동 1층,도봉구,중화요리,(지번) 방학동 669,STORE_DB00038,윤짬뽕
서울 도봉구 도봉로116길 5 1층,도봉구,커피전문점,(지번) 창동 658-49,STORE_DB00039,쌍문동커피
서울 도봉구 도봉로150마길 15,도봉구,커피전문점,(지번) 방학동 716-14,STORE_DB00040,와겐커피 방학점
서울 도봉구 도봉로114길 40 1층,도봉구,일식,(지번) 창동 657-68,STORE_DB00041,하이쿠
