,ItemID,address,local,category
0,조연탄,서울 강서구 곰달래로60길 29,(지번) 화곡동 782-12,"육류,고기"
1,먹자대게,서울 양천구 목동서로 213 세신비젼프라자 1층 108호,(지번) 목동 923,"게,대게"
2,착한낙지 목동점,서울 양천구 국회대로 289,(지번) 목동 802-9,"해물,생선"
3,일미락 목동본점,서울 양천구 목동동로 226-16 1층,(지번) 목동 406-126,"육류,고기"
4,원조소금구이,서울 강서구 곰달래로60길 5 1층,(지번) 화곡동 781-12,"육류,고기"
5,엉털네숯불꼼장어,서울 양천구 등촌로 36,(지번) 목동 792-2,장어
6,더아리엘 목동점,서울 양천구 오목로 300 현대하이페리온2차 206동 지하1층 109~115호,(지번) 목동 961-1,뷔페
7,양천옥설렁탕,서울 양천구 등촌로 86,(지번) 목동 730-2,설렁탕
8,오목집 목동본점,서울 양천구 목동서로 155 목동파라곤 지하상가 45호,(지번) 목동 917,"족발,보쌈"
9,스타벅스 화곡DT점,서울 강서구 등촌로 57,(지번) 화곡동 772-67,커피전문점
10,쭉심 목동사거리점,서울 강서구 등촌로3길 14,(지번) 화곡동 780-27,"해물,생선"
11,팔각도 목동본점,서울 양천구 목동동로 266-1 금강빌딩 1층,(지번) 목동 406-227,닭요리
12,우장창창 목동본점,서울 양천구 목동중앙서로1길 17,(지번) 목동 792-9,"곱창,막창"
13,개성집,서울 양천구 목동중앙서로 48,(지번) 목동 799-7,한식
14,은행골 목동점,서울 양천구 목동서로 155,(지번) 목동 917,"초밥,롤"
15,강릉스낵,서울 양천구 목동동로 228-2 1층,(지번) 목동 406-65,실내포장마차
16,만복순대국,서울 양천구 목동로 219 1층,(지번) 신정동 899-5,순대
17,닥터로빈 목동점,서울 양천구 오목로 299,(지번) 목동 962,양식
18,락희안 목동점,"서울 양천구 오목로 330 2,3층",(지번) 목동 405-285,중화요리
19,구도커피,"서울 강서구 등촌로35길 121 1,2층",(지번) 등촌동 565-18,커피전문점
20,특별하면돼지 2호점,서울 강서구 곰달래로60길 33 1층,(지번) 화곡동 782-11,"육류,고기"
21,젠틀한식탁,서울 양천구 목동동로14길 6-1 1층,(지번) 목동 405-201,이탈리안
22,봉평메밀막국수 목동본점,서울 양천구 목동중앙서로 8,(지번) 목동 794-2,국수
23,KFC 목동사거리점,서울 강서구 등촌로 19,(지번) 화곡동 781-4,패스트푸드
24,서정숯불갈비,서울 양천구 목동중앙로1길 11,(지번) 목동 802-1,갈비
25,족발신선생 목동점,서울 양천구 신정중앙로 98 1층,(지번) 신정동 902-6,"족발,보쌈"
26,양천뼈다귀 본점,서울 양천구 목동동로 258,(지번) 목동 934,국밥
27,가랑삼계탕,서울 양천구 목동로 210 타운빌딩 2층,(지번) 목동 810-1,삼계탕
28,조연탄함흥냉면,서울 강서구 곰달래로60길 27 1층,(지번) 화곡동 782-13,냉면
29,아웃백스테이크하우스 목동점,서울 양천구 목동동로 293 현대41타워 3층,(지번) 목동 917-9,패밀리레스토랑
30,카카오독애견카페 목동점,서울 강서구 곰달래로60길 33,(지번) 화곡동 782-11,애견카페
31,설악산칡냉면 본점,서울 양천구 목동중앙남로3가길 59 상가101동 102호,(지번) 목4동 722-6,냉면
32,냅다청양집 목동직영점,서울 양천구 신정중앙로 85,(지번) 신정동 886-6,"육류,고기"
33,밥초,서울 양천구 오목로48길 10 1층,(지번) 신정동 990-19,"초밥,롤"
34,옛날마차,서울 양천구 신정중앙로 84,(지번) 신정동 904-6,실내포장마차
35,만나한정식,서울 양천구 목동서로 155 파라곤상가 지하1층 25호,(지번) 목동 917,한정식
36,야심잔기지떡 목동점,서울 양천구 목동중앙서로 17-1,(지번) 목동 790-28,"떡,한과"
37,창고43 목동점,서울 양천구 목동서로 159-1 CBS빌딩 1층,(지번) 목동 917-1,"육류,고기"
38,명랑한우,서울 양천구 목동중앙서로6길 20-16 101호,(지번) 목동 794-14,"육류,고기"
39,정진식당,서울 양천구 신정중앙로 94 1층,(지번) 신정동 902-3,"육류,고기"
40,주막해물촌,서울 양천구 목동중앙서로1길 16 케이빌딩 1층,(지번) 목동 791-3,"해물,생선"
41,고기준 목동점,"서울 양천구 오목로 313-7 1,2층",(지번) 목동 406-68,"육류,고기"
42,락앤웍 목동점,서울 양천구 목동동로 233-3 삼성화재서비스빌딩 1층,(지번) 목동 923-12,중화요리
43,한우나주곰탕,서울 양천구 오목로 313-2,(지번) 목동 406-120,곰탕
44,맥도날드 목동점,서울 양천구 목동로 221,(지번) 신정동 899-6,패스트푸드
45,마루샤브 목동점,서울 양천구 목동동로 339 목동트윈빌 지하1층,(지번) 목동 905-22,샤브샤브
46,대가,서울 양천구 신정중앙로 66,(지번) 신정4동 905-1,갈비
47,디저트39 목동점,"서울 양천구 목동서로 221 굿모닝탑 116, 117호",(지번) 목동 923-15,디저트카페
48,남춘네숯불닭갈비,서울 강서구 등촌로 47-1 1층,(지번) 화곡동 775-2,닭요리
49,명륜진사갈비 서울화곡본점,서울 강서구 곰달래로 258,(지번) 화곡동 796-17,갈비
50,커피별녹색잔,서울 양천구 목동로21길 26,(지번) 신정동 988-14,커피전문점
51,한옥안동국시,서울 양천구 목동서로 213,(지번) 목동 923,국수
52,갈삼시대,서울 양천구 목동중앙서로7가길 38,(지번) 목동 788-12,"육류,고기"
53,이화정원 목동점,서울 양천구 목동서로 225 20층,(지번) 목동 923-6,"육류,고기"
54,김선장참치,서울 양천구 신정중앙로 99,(지번) 신정동 888-36,참치회
55,특별하면돼지 목동점,서울 양천구 오목로50길 1,(지번) 신정동 994-8,"육류,고기"
56,댓짱돈까스,서울 양천구 목동서로 225,(지번) 목동 923-6,"돈까스,우동"
57,육즙,서울 양천구 오목로 337-10 1층,(지번) 목동 406-271,삼겹살
58,고양이부엌 목동점,서울 양천구 목동동로 233-1 현대드림타워 1층 102호,(지번) 목동 923-14,떡볶이
59,매드포갈릭 목동점,서울 양천구 목동동로 233-3 삼성화재서비스빌딩 지하1층,(지번) 목동 923-13,패밀리레스토랑
60,노브랜드버거 목동역점,서울 양천구 신정중앙로 103 담우빌딩 1층,(지번) 신정동 888-47,패스트푸드
61,대복 2호직영점,서울 양천구 오목로 276 2층,(지번) 목1동 408-114,복어
62,양촌리화로구이,서울 양천구 목동로 234 경원빌딩 1층,(지번) 목동 808-1,"육류,고기"
63,주문진횟집,서울 양천구 오목로 313-6 1층,(지번) 목동 406-113,회
64,스타벅스 목동역점,서울 양천구 목동로 203,(지번) 신정동 900-10,커피전문점
65,삿뽀로 목동점,서울 양천구 목동동로 189 삼성쉐르빌1 지하1층,(지번) 신정동 318-10,일식집
66,최우영스시 목동점,서울 양천구 목동서로 170 1층,(지번) 목동 919-7,"초밥,롤"
67,칸지,서울 양천구 목동동로 264,(지번) 목동 406-207,일본식주점
68,백년초버섯칼국수,서울 양천구 목동중앙로 45,(지번) 목동 773-2,국수
69,비엔나커피하우스 목동7단지점,서울 양천구 목동서로 211 1층,(지번) 목동 923-11,커피전문점
70,스시노미찌,서울 양천구 목동동로 293 현대 41타워 33호,(지번) 목동 917-9,"초밥,롤"
71,육화식당,"서울 양천구 오목로 337-6 지하1층, 1,2층",(지번) 목동 406-297,"육류,고기"
72,갓포 쿠마카세,서울 양천구 목동동로 228-12,(지번) 목동 406-71,일식
73,패닉이스케이프 목동지점,서울 양천구 신정중앙로 96 4층,(지번) 신정동 902-5,테마카페
74,천사곱창 목동점,서울 양천구 신정중앙로 100 1층,(지번) 신정동 902-7,"곱창,막창"
75,이름없는파스타 목동역점,서울 양천구 목동로21길 2 1층,(지번) 신정동 992-4,양식
76,교촌치킨 목동1호점,서울 양천구 목동중앙서로 24,(지번) 목동 797-3,치킨
77,라화쿵부 목동역점,서울 양천구 신정중앙로23길 8-1,(지번) 신정동 900-7,중화요리
78,모던주막꿀꿀,서울 강서구 등촌로3길 17 1층,(지번) 화곡동 783-23,"육류,고기"
79,왕돈까스&왕냉면 목동점,서울 강서구 등촌로 25,(지번) 화곡동 781-1,냉면
80,스타벅스 목동7단지점,서울 양천구 목동서로 213 세션비전프라자 1층 107호,(지번) 목동 923,커피전문점
81,이자와 목동점,서울 양천구 목동서로 155 파라곤아파트 지하,(지번) 목동 917,"돈까스,우동"
82,조개천하 목동직영점,서울 양천구 신정중앙로 68 해풍빌딩 101호,(지번) 신정동 905-2,조개
83,스시가든 (휴업중),서울 양천구 목동서로 159-1 CBS 방송국 지하1층,(지번) 목동 917-1,"초밥,롤"
84,서가앤쿡 서울목동점,서울 양천구 오목로 286 2층,(지번) 목동 405-270,양식
85,금정,서울 양천구 목동동로14길 7-1,(지번) 목동 405-160,중화요리
86,사랑방손칼국수 목동점,서울 강서구 국회대로 249-1,(지번) 화곡4동 785-3,국수
87,징차이짜장,서울 양천구 신정중앙로 83 1층,(지번) 신정동 886-10,중화요리
88,청춘어랑,서울 강서구 곰달래로60길 37 1층,(지번) 화곡동 782-9,회
89,스시로맨스,서울 양천구 목동중앙서로1길 16 목동K빌딩 1층,(지번) 목동 791-3,"초밥,롤"
90,포이스트 목동점,서울 양천구 목동중앙서로 7 1층,(지번) 목동 791-10,동남아음식
91,일도씨닭갈비 목동점,서울 양천구 목동동로 293 현대41타워 3층,(지번) 목동 917-9,닭요리
92,가츠앤밀,서울 양천구 목동로 224 1층,(지번) 목동 808-6,"돈까스,우동"
93,카페제하,서울 양천구 목동동로 177 삼성쉐르빌2차 1층,(지번) 신정동 318-12,카페
94,도시의숲,서울 강서구 등촌로 65 1층,(지번) 등촌동 721,카페
95,화정양꼬치,서울 강서구 곰달래로 271,(지번) 화곡동 776-7,양꼬치
96,원할머니보쌈족발 목동사거리점,서울 양천구 국회대로 265,(지번) 목동 807-6,"족발,보쌈"
97,바다횟집,서울 양천구 목동중앙남로 46 목사랑시장 101호,(지번) 목동 958,회
98,명태어장 곰달래점,서울 강서구 곰달래로 244,(지번) 화곡동 793-1,"해물,생선"
99,가랑누룽지삼계탕,서울 양천구 목동동로14길 5,(지번) 목동 405-161,삼계탕
100,삼촌네춘천닭갈비,서울 양천구 목동중앙서로1길 15 삼성쉐르빌 101호,(지번) 목동 792-13,닭요리
101,목동마카롱,서울 양천구 목동중앙남로3길 43 1층,(지번) 목동 781-6,디저트카페
102,처갓집양념치킨 목동점,서울 양천구 목동중앙서로 40,(지번) 목동 798-22,치킨
103,후라이드참잘하는집 화곡점,서울 강서구 등촌로13길 25,(지번) 화곡동 773-27,치킨
104,진대감 목동점,서울 양천구 오목로 337-10,(지번) 목동 406-271,"육류,고기"
105,목동아구찜,서울 양천구 목동서로 213 세신비젼프라자 지하108호,(지번) 목동 923,아구
106,진아구 목동직영점,서울 양천구 신정중앙로 85 로데오프라자 108호,(지번) 신정동 886-6,아구
107,스시다마,서울 양천구 오목로 313-8,(지번) 목동 406-77,일식
108,아티제 목동홈플러스점,서울 양천구 목동서로 170 1층,(지번) 목동 919-7,"제과,베이커리"
109,진미 즉석해물야채떡볶이,서울 양천구 목동로19길 6,(지번) 신정동 993-6,떡볶이
110,영칼로리 목동직영점,서울 양천구 목동중앙서로 43 1층,(지번) 목동 774-9,베트남음식
111,만년닭강정 화곡점,서울 강서구 곰달래로51길 23 1층,(지번) 화곡동 831-9,닭강정
112,피자알볼로 목동1호점,서울 양천구 목동중앙서로 30 1층,(지번) 목동 797-8,피자
113,도미노피자 목동점,서울 양천구 목동중앙로 85 금호종합상가,(지번) 목동 758-1,피자
114,스타벅스 목동파라곤점,서울 양천구 목동서로 155 지하2층,(지번) 목동 917,커피전문점
115,광참치,서울 양천구 신정중앙로 95 2층,(지번) 신정동 887-8,참치회
116,한방오리농장,서울 강서구 곰달래로59길 8 1층,(지번) 화곡동 776-8,한식
117,지리산어탕국수,서울 양천구 목동서로 234,(지번) 목동 926-8,국수
118,60계 서울화곡점,서울 강서구 등촌로 17,(지번) 화곡동 781-6,치킨
119,라고파스타,서울 양천구 목동동로 293 현대41타워 1층,(지번) 목1동 917-9,이탈리안
120,해몽,서울 양천구 오목로 339 1층,(지번) 목동 406-34,삼겹살
121,그린매니저 목동점,서울 양천구 목동서로 155 목동파라곤 지하 1층 38호,(지번) 목동 917,양식
122,비스트로 파니엔테,서울 양천구 오목로 329-6 2층,(지번) 목동 406-258,양식
123,서오릉피자 등촌점,서울 강서구 등촌로 65,(지번) 등촌동 721,피자
124,버거킹 목동역점,서울 양천구 오목로 238,(지번) 신정동 994-2,패스트푸드
125,예담골 남원추어탕,서울 강서구 곰달래로 256,(지번) 화곡동 796-16,추어
126,이조면옥 목동본점,서울 양천구 신목로 88,(지번) 신정2동 118-1,냉면
127,에그드랍 목동점,서울 양천구 목동서로 170 1층,(지번) 목동 919-7,샌드위치
128,애슐리퀸즈 목동행복한백화점점,서울 양천구 목동동로 309 5층,(지번) 목동 917-6,패밀리레스토랑
129,빌리엔젤 목동41타워점,서울 양천구 목동동로 293 목동41타워 3층 301호,(지번) 목동 917-9,디저트카페
130,타르타르 목동41타워점,서울 양천구 목동동로 293,(지번) 목동 917-9,디저트카페
