,store_code,ItemID,address,local,category
0,STORE_GA00001,광고옥돌집,서울 관악구 관악로 208,(지번) 봉천동 62-17,갈비
1,STORE_GA00002,쟝블랑제리,서울 관악구 낙성대역길 8,(지번) 봉천동 1660-7,"제과,베이커리"
2,STORE_GA00003,월화고기 보라매직영점,서울 관악구 보라매로3길 16,(지번) 봉천동 732-3,"육류,고기"
3,STORE_GA00004,원조민속순대타운,서울 관악구 신림로59길 14,(지번) 신림동 1640-31,순대
4,STORE_GA00005,강강술래 신림점,서울 관악구 남부순환로 1660,(지번) 신림동 10-518,"육류,고기"
5,STORE_GA00006,온정돈까스,서울 관악구 조원로 60 1층,(지번) 신림동 546-1,"돈까스,우동"
6,STORE_GA00007,은행골 본점신관,서울 관악구 조원로 10-1 1층,(지번) 신림동 1654-8,"초밥,롤"
7,STORE_GA00008,디자이너리카페,서울 관악구 관천로 71-1 4층,(지번) 신림동 1465-12,카페
8,STORE_GA00009,텐동요츠야,서울 관악구 관악로14길 35 1층,(지번) 봉천동 1603-19,일식
9,STORE_GA00010,오월의김밥,서울 관악구 봉천로 605,(지번) 봉천동 1657-21,분식
10,STORE_GA00011,오목눈이,서울 관악구 장군봉1길 32 2층,(지번) 봉천동 1527-1,디저트카페
11,STORE_GA00012,복돈이부추삼겹살 사당본점,"서울 관악구 남현1길 68-14 1, 2층",(지번) 남현동 1061-12,삼겹살
12,STORE_GA00013,정담은보쌈 신림점,서울 관악구 남부순환로 1661,(지번) 봉천동 959-4,"족발,보쌈"
13,STORE_GA00014,막불감동 신림본점,서울 관악구 남부순환로 1599 지하1층,(지번) 신림동 1433-60,냉면
14,STORE_GA00015,논밭골 봉천점,서울 관악구 청룡길 30,(지번) 봉천동 915-26,갈비
15,STORE_GA00016,아리차이 신림점,서울 관악구 신림동길 4 1층,(지번) 신림동 1430-11,중화요리
16,STORE_GA00017,킷사서울,서울 관악구 남부순환로226길 31 2층,(지번) 봉천동 1603-4,일식
17,STORE_GA00018,만성찬팅,서울 관악구 신림로 322-4 1층,(지번) 신림동 75-42,양꼬치
18,STORE_GA00019,서울갈비 신림점,서울 관악구 남부순환로 1645,(지번) 신림동 1410-17,갈비
19,STORE_GA00020,외래향 서울대점,서울 관악구 남부순환로 1801 2층,(지번) 봉천동 874-4,중화요리
20,STORE_GA00021,사생활,서울 관악구 신사로14길 19 지하1층,(지번) 신림동 496-37,카페
21,STORE_GA00022,청송산오징어,서울 관악구 남현1길 8,(지번) 남현동 1065-1,회
22,STORE_GA00023,우리가참순대,서울 관악구 관악로 148 지하1층,(지번) 봉천동 1598-20,순대
23,STORE_GA00024,모힝,서울 관악구 남부순환로226길 36 2층,(지번) 봉천동 1598-6,이탈리안
24,STORE_GA00025,마뇨떡볶이,서울 관악구 신원로 35 삼모더프라임타워 2층,(지번) 신림동 1638-1,떡볶이
25,STORE_GA00026,기절초풍왕순대,서울 관악구 봉천로62길 2,(지번) 봉천동 1620-38,순대
26,STORE_GA00027,안녕베트남,서울 관악구 관악로14길 70 지하1층,(지번) 봉천동 1619-1,동남아음식
27,STORE_GA00028,발루토,서울 관악구 신림로23길 28 1층,(지번) 신림동 1524-5,카페
28,STORE_GA00029,미가할매집,서울 관악구 신림로 374,(지번) 신림동 1428-21,"육류,고기"
29,STORE_GA00030,중화요리팔공,서울 관악구 남부순환로 1680 지하 1층,(지번) 신림동 10-621,중화요리
30,STORE_GA00031,고모네정육식당 신원시장점,서울 관악구 신원로 23,(지번) 신림동 1602-1,"육류,고기"
31,STORE_GA00032,미림분식,서울 관악구 호암로 553,(지번) 신림동 298-3,분식
32,STORE_GA00033,고기굽는사람들,서울 관악구 관악로14길 70 1층,(지번) 봉천동 1619-1,"육류,고기"
33,STORE_GA00034,포말커피,서울 관악구 신림로67길 25 2층,(지번) 신림동 1432-119,카페
34,STORE_GA00035,스시려,서울 관악구 봉천로 456,(지번) 봉천동 874-1,"초밥,롤"
35,STORE_GA00036,깡통닭갈비,서울 관악구 남부순환로 1597-14,(지번) 신림동 1433-69,닭요리
36,STORE_GA00037,안녕부산,서울 관악구 관악로14길 45,(지번) 봉천동 1611-21,한식
37,STORE_GA00038,멕스칸즉석햄버거,서울 관악구 당곡길 9,(지번) 봉천동 698-28,분식
38,STORE_GA00039,초밥아저씨,서울 관악구 신원로 23 1층,(지번) 신림동 1602-2,"초밥,롤"
39,STORE_GA00040,황홀경,서울 관악구 관악로14길 37 지하1층,(지번) 봉천동 1603-20,디저트카페
40,STORE_GA00041,데일리오아시스 샤로수길점,서울 관악구 관악로14길 74-3 1층,(지번) 봉천동 1619-6,디저트카페
