LOCAL_CODE,Latitude,Longitude
(지번) 창동 337-1,37.6515216,127.0448197
(지번) 도봉동 470-3,37.6778840,127.0350221
(지번) 쌍문동 100-35,37.6470746,127.0317349
(지번) 창동 700-27,37.6516054,127.0371727
(지번) 쌍문동 395-6,37.6455584,127.0316909
(지번) 도봉1동 600-4,37.6770293,127.0442246
(지번) 창동 74-25,37.6527816,127.0465943
(지번) 도봉동 596-23,37.6776812,127.0446190
(지번) 도봉동 286-27,37.6884947,127.0412684
(지번) 방학동 436-9,37.6637000,127.0275085
(지번) 창2동 650-30,37.6462226,127.0339834
(지번) 쌍문동 81-74,37.6524670,127.0348372
(지번) 방학1동 680-14,37.6637620,127.0418934
(지번) 방학동 598-1,37.6629043,127.0177423
(지번) 창동 715-4,37.6556935,127.0402759
(지번) 창동 608-142,37.6453208,127.0376707
(지번) 방학동 677-20,37.6620784,127.0416226
(지번) 창동 659-16,37.6487732,127.0353515
(지번) 방학동 669-3,37.6621416,127.0329285
(지번) 창동 674-29,37.6459430,127.0376074
(지번) 창동 635-42,37.6414397,127.0340481
(지번) 창동 651-5,37.6467972,127.0361567
(지번) 도봉동 625-13,37.6753326,127.0467757
(지번) 창동 700-29,37.6519705,127.0371641
(지번) 쌍문동 47-2,37.6581878,127.0363972
(지번) 도봉동 343-2,37.6898893,127.0417201
(지번) 창동 750,37.6590815,127.0413217
(지번) 도봉동 635,37.6710126,127.0467425
(지번) 창동 269-4,37.6550629,127.0437815
(지번) 도봉동 560-19,37.6855921,127.0457235
(지번) 쌍문동 103-30,37.6464130,127.0322075
(지번) 쌍문동 395-2,37.6458893,127.0316974
(지번) 도봉동 279-13,37.6880067,127.0444506
(지번) 창동 659-1,37.6489576,127.0356746
(지번) 도봉동 597-21,37.6778352,127.0435680
(지번) 창동 26,37.6512705,127.0503498
(지번) 창동 813,37.6557963,127.0408817
(지번) 방학동 669,37.6619228,127.0321416
(지번) 창동 658-49,37.6481928,127.0357229
(지번) 방학동 716-14,37.6667843,127.0449792
(지번) 창동 657-68,37.6474565,127.0365121
(지번) 창동 651-5,37.6467972,127.0361567
(지번) 쌍문동 422-80,37.6513811,127.0138945
(지번) 창동 651-51,37.6463846,127.0364906
(지번) 창동 333,37.6516911,127.0455307
(지번) 창동 651-64,37.6465370,127.0357736
(지번) 창동 715-32,37.6548394,127.0390335
(지번) 방학동 590-2,37.6631072,127.0206781
(지번) 창동 657-111,37.6476233,127.0365419
(지번) 창동 621-31,37.6456809,127.0374499
(지번) 창동 134-2,37.6536297,127.0461940
(지번) 쌍문동 423-17,37.6518074,127.0130399
(지번) 창동 446-4,37.6396245,127.0401516
(지번) 창동 74-25,37.6527816,127.0465943
(지번) 방학동 675-33,37.6618930,127.0404715
(지번) 방학동 664,37.6641626,127.0346144
(지번) 쌍문동 315-354,37.6501948,127.0285043
(지번) 창동 750,37.6590815,127.0413217
(지번) 도봉동 597-20,37.6779359,127.0435660
(지번) 창동 286-10,37.6551726,127.0423698
(지번) 창동 661-80,37.6499211,127.0359569
(지번) 방학동 592-1,37.6632129,127.0199380
(지번) 창동 338,37.6514541,127.0459465
(지번) 방학동 263-75,37.6612730,127.0350927
(지번) 창동 820,37.6561935,127.0452356
(지번) 창동 715-4,37.6556935,127.0402759
(지번) 방학동 670-2,37.6621356,127.0334342
(지번) 창동 4,37.6529347,127.0492326
(지번) 쌍문동 88-116,37.6480131,127.0340240
(지번) 창동 74-8,37.6525537,127.0463482
(지번) 쌍문동 44-1,37.6577812,127.0373319
(지번) 창동 715-27,37.6547613,127.0404700
(지번) 창동 667-5,37.6477931,127.0385091
(지번) 창동 651-77,37.6467373,127.0357579
(지번) 쌍문동 96-27,37.6474515,127.0335737
(지번) 쌍문동 103-66,37.6440344,127.0314921
(지번) 도봉동 411-1,37.6862084,127.0373003
(지번) 도봉2동 636-15,37.6694874,127.0467932
(지번) 쌍문동 700,37.6536802,127.0371953
(지번) 창동 657-143,37.6472287,127.0356947
(지번) 창동 659-5,37.6483392,127.0348935
(지번) 쌍문동 96-9,37.6470523,127.0329601
(지번) 쌍문동 88-115,37.6502293,127.0352967
(지번) 창동 731-72,37.6568761,127.0400444
(지번) 창동 657-125,37.6475693,127.0359259
(지번) 방학동 264-46,37.6612798,127.0365867
(지번) 방학동 676-21,37.6626399,127.0406059
(지번) 방학동 703-14,37.6655866,127.0421838
(지번) 창동 676-77,37.6466452,127.0389245
(지번) 쌍문동 206-10,37.6583971,127.0344021
(지번) 창동 659-32,37.6476216,127.0349834
(지번) 창동 828,37.6446375,127.0331560
(지번) 도봉동 616-14,37.6734263,127.0436099
(지번) 방학동 584,37.6626009,127.0210960
(지번) 쌍문동 20-4,37.6587142,127.0354527
(지번) 도봉동 600-27,37.6764418,127.0443567
(지번) 창동 655-6,37.6467263,127.0345247
(지번) 쌍문동 259,37.6568597,127.0283055
(지번) 창동 659-9,37.6477971,127.0350882
(지번) 쌍문1동 343-2,37.6493119,127.0271380
(지번) 방학동 695-8,37.6645431,127.0359907
(지번) 창동 75-3,37.6517649,127.0468981
(지번) 쌍문동 580,37.6582500,127.0401182
(지번) 도봉동 622-64,37.6696013,127.0454872
(지번) 창동 676-76,37.6466833,127.0390243
(지번) 도봉동 635-2,37.6708469,127.0466761
(지번) 쌍문동 88-21,37.6493959,127.0348347
(지번) 쌍문동 88-4,37.6504720,127.0353223
(지번) 방학동 716,37.6667749,127.0447218
(지번) 도봉동 623-77,37.6725729,127.0455721
(지번) 창동 134-36,37.6531281,127.0462645
(지번) 도봉동 596-2,37.6775403,127.0438625
(지번) 도봉동 384-9,37.6898673,127.0401055
(지번) 쌍문동 88-70,37.6494926,127.0346105
(지번) 창동 657-126,37.6475269,127.0352982
(지번) 쌍문동 85-31,37.6513846,127.0342867
(지번) 방학동 717-2,37.6673078,127.0448579
(지번) 창동 650-45,37.6452707,127.0331588
(지번) 쌍문동 309-21,37.6504104,127.0270332
(지번) 방학동 593-2,37.6629545,127.0192976
(지번) 방학동 703-54,37.6658709,127.0425260
(지번) 창동 16,37.6527753,127.0513676
(지번) 창동 254-21,37.6540152,127.0455866
(지번) 창동 14,37.6536747,127.0509766
(지번) 도봉동 62-3,37.6826576,127.0470701
(지번) 창동 9-2,37.6525525,127.0504795
(지번) 쌍문동 423-99,37.6506093,127.0134386
(지번) 도봉동 629-30,37.6779862,127.0494460
(지번) 방학동 703-14,37.6655866,127.0421838
(지번) 쌍문동 350-3,37.6478543,127.0250355
(지번) 도봉1동 572,37.6855925,127.0417922
(지번) 창동 659-11,37.6487565,127.0352080
(지번) 창동 731-55,37.6570252,127.0401355
(지번) 창동 657-83,37.6469711,127.0363371
(지번) 방학동 706-9,37.6666355,127.0434562
(지번) 쌍문동 423-17,37.6518074,127.0130399
(지번) 도봉동 574-28,37.6849382,127.0435396
(지번) 도봉동 92-48,37.6782670,127.0455919
(지번) 쌍문동 94-50,37.6483456,127.0332789
(지번) 창동 286-6,37.6550090,127.0428281
(지번) 도봉동 560-14,37.6857476,127.0457190
(지번) 창동 655-15,37.6469944,127.0342335
(지번) 창동 651-31,37.6468330,127.0368115
(지번) 창동 715-1,37.6562372,127.0397755
(지번) 쌍문동 668-18,37.6554252,127.0373311
(지번) 방학동 682-7,37.6650593,127.0416794
(지번) 방학동 695,37.6640164,127.0352344
(지번) 창동 655-11,37.6466940,127.0339683
(지번) 창동 338,37.6514541,127.0459465
(지번) 창동 659-4,37.6484016,127.0352129
(지번) 창동 288-40,37.6551449,127.0433679
(지번) 도봉동 596-27,37.6776468,127.0438451
(지번) 쌍문동 44-1,37.6577812,127.0373319
(지번) 도봉동 575-2,37.6847201,127.0427775
(지번) 쌍문동 81-270,37.6523873,127.0344529
(지번) 쌍문동 80-49,37.6516934,127.0361297
(지번) 방학동 701-24,37.6670502,127.0397538
(지번) 방학동 307-2,37.6642381,127.0281998
(지번) 방학동 724-37,37.6618601,127.0486250
(지번) 도봉동 293-2,37.6880701,127.0437344
(지번) 방학동 653-17,37.6691047,127.0432158
(지번) 방학동 278-5,37.6622597,127.0294337
(지번) 쌍문동 94-26,37.6485629,127.0334759
(지번) 창동 661-3,37.6503682,127.0361095
(지번) 창동 655-5,37.6468339,127.0345068
(지번) 방학동 455-8,37.6612490,127.0247230
(지번) 도봉동 282-316,37.6882722,127.0419278
(지번) 쌍문동 100-30,37.6469282,127.0324060
(지번) 창동 650-47,37.6462126,127.0337351
(지번) 쌍문동 657,37.6558849,127.0385921
(지번) 쌍문동 88-110,37.6485594,127.0338975
(지번) 창동 135-12,37.6535421,127.0465094
(지번) 도봉동 92-46,37.6784975,127.0456719
(지번) 방학동 696-17,37.6654132,127.0371103
(지번) 창동 453-1,37.6380680,127.0407393
(지번) 방학동 637-38,37.6665451,127.0370473
(지번) 방학동 670-1,37.6620446,127.0332943
(지번) 창동 13-1,37.6534453,127.0499703
(지번) 창동 826,37.6557245,127.0428805
(지번) 쌍문동 513-12,37.6596334,127.0143324
(지번) 쌍문동 103-1,37.6463084,127.0329073
(지번) 방학동 720-33,37.6680345,127.0470805
(지번) 방학동 455-2,37.6613347,127.0253470
(지번) 창동 557-79,37.6372590,127.0385369
(지번) 창동 9-1,37.6525018,127.0502688
(지번) 창동 715-4,37.6556935,127.0402759
