"시군구코드","지정년도","지정번호","신청일자","지정일자","업소명","소재지도로명","소재지지번","허가(신고)번호","업태명","주된음식","영업장면적(㎡)","행정동명","급수시설구분","소재지전화번호"
"3070000","2020","0004","20200929","20201124","기찬 전통육개장 흑염소 전문점","서울특별시 성북구 솔샘로 71 (정릉동1층)","서울특별시 성북구 정릉동  290번지 54호  1층","3070000-101-2010-00141","한식","돼지갈비","85.01","정릉제4동","상수도전용","02  982 5070"
"3070000","2020","0006","20200929","20201124","김태완의초밥좋은날","서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층)","서울특별시 성북구 동소문동5가  107번지  ","3070000-101-2012-00208","식육(숯불구이)","삼겹살","95.00","삼선동","","02  923 8628"
"3070000","2020","0006","20200929","20201124","김태완의초밥좋은날","서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층)","서울특별시 성북구 동소문동5가  107번지  ","3070000-101-2012-00208","식육(숯불구이)","삼겹살","95.00","삼선동","","02  923 8628"
"3070000","2020","0006","20200929","20201124","김태완의초밥좋은날","서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층)","서울특별시 성북구 동소문동5가  107번지  ","3070000-101-2012-00208","식육(숯불구이)","삼겹살","95.00","삼선동","","02  923 8628"
"3070000","2020","0006","20200929","20201124","만복식당(성신여대점)","서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층)","서울특별시 성북구 동소문동5가  107번지  ","3070000-101-2012-00208","식육(숯불구이)","삼겹살","95.00","삼선동","","02  923 8628"
"3070000","2020","0006","20200929","20201124","만복식당(성신여대점)","서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층)","서울특별시 성북구 동소문동5가  107번지  ","3070000-101-2012-00208","식육(숯불구이)","삼겹살","95.00","삼선동","","02  923 8628"
"3070000","2020","0006","20200929","20201124","만복식당(성신여대점)","서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층)","서울특별시 성북구 동소문동5가  107번지  ","3070000-101-2012-00208","식육(숯불구이)","삼겹살","95.00","삼선동","","02  923 8628"
"3070000","2020","0006","20200929","20201124","만복식당(성신여대점)","서울특별시 성북구 동소문로20길 28-4 (동소문동5가 2층)","서울특별시 성북구 동소문동5가  107번지  ","3070000-101-2012-00208","식육(숯불구이)","삼겹살","95.00","삼선동","","02  923 8628"
"3070000","2020","0009","20200929","20201124","유자유 김치떡볶이","서울특별시 성북구 인촌로24길 48 2층 (안암동5가)","서울특별시 성북구 안암동5가  102번지 37호  ","3070000-101-2018-00318","한식","김치떡볶이","201.11","안암동","","02  928 7754"
"3070000","2020","0004","20200929","20201124","기찬 전통육개장 흑염소 전문점","서울특별시 성북구 솔샘로 71 (정릉동1층)","서울특별시 성북구 정릉동  290번지 54호  1층","3070000-101-2010-00141","한식","돼지갈비","85.01","정릉제4동","상수도전용","02  982 5070"
"3070000","2020","0004","20200929","20201124","약산 전통육개장 흑염소 전문점","서울특별시 성북구 솔샘로 71 (정릉동1층)","서울특별시 성북구 정릉동  290번지 54호  1층","3070000-101-2010-00141","한식","돼지갈비","85.01","정릉제4동","상수도전용","02  982 5070"
"3070000","2020","0012","20200929","20201124","정릉곤드레밥","서울특별시 성북구 보국문로18가길 5-13 (정릉동)","서울특별시 성북구 정릉동  266번지 401호  지상1층","3070000-101-2020-00025","한식","곤드레밥","110.00","정릉제4동","",""
"3070000","2020","0010","20200929","20201124","만복식당","서울특별시 성북구 개운사길 34 지1층 (안암동5가)","서울특별시 성북구 안암동5가  15번지 14호  ","3070000-101-2019-00234","한식","삼겹살","108.60","안암동","",""
"3070000","2020","0008","20200929","20201124","치폴레옹(고려대점)","서울특별시 성북구 인촌로24길 45 2층 (안암동5가)","서울특별시 성북구 안암동5가  103번지 101호  ","3070000-101-2018-00214","경양식","치킨스테이크","96.43","안암동","",""
"3070000","2020","0011","20200929","20201124","원진노기순청국장","서울특별시 성북구 안암로9가길 94 1층 (안암동5가)","서울특별시 성북구 안암동5가  136번지 12호  ","3070000-101-2019-00312","한식","청국장","129.85","안암동","","02  925 5733"
"3070000","2020","0004","20200929","20201124","담소면옥","서울특별시 성북구 솔샘로 71 (정릉동1층)","서울특별시 성북구 정릉동  290번지 54호  1층","3070000-101-2010-00141","한식","돼지갈비","85.01","정릉제4동","상수도전용","02  982 5070"
"3070000","2020","0004","20200929","20201124","담소면옥","서울특별시 성북구 솔샘로 71 (정릉동1층)","서울특별시 성북구 정릉동  290번지 54호  1층","3070000-101-2010-00141","한식","돼지갈비","85.01","정릉제4동","상수도전용","02  982 5070"
"3070000","2020","0004","20200929","20201124","약산 전통육개장 흑염소 전문점","서울특별시 성북구 솔샘로 71 (정릉동1층)","서울특별시 성북구 정릉동  290번지 54호  1층","3070000-101-2010-00141","한식","돼지갈비","85.01","정릉제4동","상수도전용","02  982 5070"
"3070000","2020","0002","20200929","20201124","녹천","서울특별시 성북구 동소문로2길 51 (동소문동2가)","서울특별시 성북구 동소문동2가  153번지  ","3070000-101-2007-00190","한식","동태탕","105.60","삼선동","상수도전용","02 7478005"
"3070000","2020","0002","20200929","20201124","녹천","서울특별시 성북구 동소문로2길 51 (동소문동2가)","서울특별시 성북구 동소문동2가  153번지  ","3070000-101-2007-00190","한식","동태탕","105.60","삼선동","상수도전용","02 7478005"
