,file,class_number
0,01_011_01011001_160291763739186_1.txt,"['0', '0']"
1,01_011_01011001_160301231598701_1.txt,"['1', '1']"
2,01_011_01011001_160301897883952_1.txt,"['0', '0']"
3,01_011_01011001_160405700871975_0.txt,"['0', '0']"
4,01_012_01012004_160562783211459_1.txt,"['0', '1', '1']"
5,01_012_01012004_161105474157283_1.txt,['0']
6,01_012_01012004_161127646436215_1.txt,['0']
7,01_012_01012004_161129570937804_1.txt,['0']
8,01_012_01012004_161140751382078_1.txt,['0']
9,01_012_01012004_161140786334793_0.txt,['0']
10,01_012_01012004_161145044718866_0.txt,['0']
11,01_012_01012004_161145044718866_1.txt,['0']
12,01_012_01012004_161149098367230_0.txt,['0']
13,01_012_01012004_161157259361372_0.txt,['0']
14,01_012_01012004_161170388416304_1.txt,['0']
15,01_012_01012004_161182658082051_0.txt,['0']
16,01_012_01012004_161189383463094_0.txt,['0']
17,01_012_01012004_161193959616586_0.txt,['0']
18,01_012_01012004_161194066759372_0.txt,['0']
19,01_012_01012004_161196382816523_0.txt,['0']
20,01_012_01012004_161198137497704_1.txt,['0']
21,01_012_01012004_161198170774048_0.txt,['0']
22,01_012_01012004_161198170774048_1.txt,['0']
23,01_012_01012004_161198190811551_0.txt,['0']
24,01_012_01012004_161198412969718_0.txt,['0']
25,01_012_01012004_161198412969718_1.txt,['0']
26,01_012_01012004_161198419911648_0.txt,['0']
27,01_012_01012004_161198419911648_1.txt,['0']
28,01_012_01012004_161201187977400_1.txt,['0']
29,01_012_01012004_161201200557888_0.txt,['0']
30,01_012_01012004_161201246133625_0.txt,['0']
31,01_012_01012004_161201294762635_1.txt,['0']
32,01_012_01012004_161220021392306_0.txt,['0']
33,01_012_01012004_161220021392306_1.txt,['0']
34,01_012_01012004_161220028028180_0.txt,['0']
35,01_012_01012004_161220042510675_0.txt,['0']
36,01_012_01012004_161220058584839_0.txt,['0']
37,01_012_01012004_161220065149173_1.txt,['0']
38,01_012_01012004_161220067248319_1.txt,['0']
39,01_012_01012004_161220069879431_1.txt,['0']
40,01_012_01012004_161220082992097_0.txt,['0']
41,01_012_01012004_161220102052944_0.txt,['0']
42,01_012_01012004_161220123874627_1.txt,['0']
43,01_012_01012004_161220128082151_0.txt,['0']
44,01_012_01012004_161220131656709_1.txt,['0']
45,01_012_01012004_161220142235804_0.txt,['0']
46,01_012_01012004_161228296922307_0.txt,['0']
47,01_012_01012004_161228298857718_1.txt,['0']
48,01_012_01012004_161228301118467_0.txt,['0']
49,01_012_01012004_161228305788216_0.txt,['0']
50,01_012_01012004_161228305788216_1.txt,['0']
51,01_012_01012004_161228375750795_0.txt,['0']
52,01_012_01012004_161228375750795_1.txt,['0']
53,01_012_01012004_161228390137569_0.txt,['0']
54,01_012_01012004_161228397299334_0.txt,['0']
55,01_012_01012004_161228415126023_1.txt,['0']
56,01_012_01012004_161228418514714_0.txt,['0']
57,01_012_01012004_161228418514714_1.txt,['0']
58,01_012_01012004_161228423017622_1.txt,['0']
59,01_012_01012004_161228426859944_0.txt,['0']
60,01_012_01012004_161228430547823_0.txt,['0']
61,01_012_01012004_161228486874748_0.txt,['0']
62,01_012_01012004_161228486874748_1.txt,['0']
63,01_012_01012004_161228499696121_1.txt,['0']
64,01_012_01012004_161232075536854_0.txt,['0']
65,01_012_01012004_161234196660885_1.txt,['0']
66,01_012_01012004_161234199794002_0.txt,['0']
67,01_012_01012004_161234201471432_0.txt,['0']
68,01_012_01012004_161234203194814_1.txt,['0']
69,01_012_01012004_161234213241567_0.txt,['0']
70,01_012_01012004_161234215241685_1.txt,['0']
71,01_012_01012004_161234217361588_1.txt,['0']
72,01_012_01012004_161234221845954_0.txt,['0']
73,01_012_01012004_161234647579156_1.txt,['0']
74,01_012_01012005_161197788719061_1.txt,['0']
75,01_012_01012005_161197792362531_0.txt,['0']
